Orthogroup	MHP_UFV01_genes	MHP_F72C_genes
OG0000263	FEF30_RS00675	EHI52_RS00375
OG0000264	FEF30_RS00690	EHI52_RS00390
OG0000265	FEF30_RS00700	EHI52_RS00400
OG0000266	FEF30_RS00715	EHI52_RS00415
OG0000267	FEF30_RS00730	EHI52_RS00430
OG0000268	FEF30_RS00735	EHI52_RS00435
OG0000269	FEF30_RS00750	EHI52_RS00450
OG0000270	FEF30_RS04155	EHI52_RS03490
OG0000271	FEF30_RS00205	EHI52_RS03485
OG0000272	FEF30_RS00200	EHI52_RS03480
OG0000273	FEF30_RS00195	EHI52_RS03475
OG0000274	FEF30_RS00175	EHI52_RS03455
OG0000275	FEF30_RS04145	EHI52_RS03450
OG0000276	FEF30_RS00165	EHI52_RS03445
OG0000277	FEF30_RS00155	EHI52_RS03435
OG0000278	FEF30_RS00150	EHI52_RS03430
OG0000279	FEF30_RS00140	EHI52_RS03420
OG0000280	FEF30_RS00135	EHI52_RS03415
OG0000281	FEF30_RS00130	EHI52_RS03410
OG0000282	FEF30_RS04135	EHI52_RS03385
OG0000283	FEF30_RS00100	EHI52_RS03380
OG0000284	FEF30_RS00095	EHI52_RS03375
OG0000285	FEF30_RS04130	EHI52_RS03370
OG0000286	FEF30_RS02795	EHI52_RS02425
OG0000287	FEF30_RS02895	EHI52_RS02515
OG0000288	FEF30_RS02905	EHI52_RS02525
OG0000289	FEF30_RS02910	EHI52_RS02530
OG0000290	FEF30_RS03020	EHI52_RS02640
OG0000291	FEF30_RS03010	EHI52_RS02630
OG0000292	FEF30_RS03005	EHI52_RS02625
OG0000293	FEF30_RS03000	EHI52_RS02620
OG0000294	FEF30_RS02990	EHI52_RS02610
OG0000295	FEF30_RS02985	EHI52_RS02605
OG0000296	FEF30_RS02945	EHI52_RS02565
OG0000297	FEF30_RS02940	EHI52_RS02560
OG0000298	FEF30_RS00490	EHI52_RS00175
OG0000299	FEF30_RS00510	EHI52_RS00200
OG0000300	FEF30_RS00685	EHI52_RS00385
OG0000301	FEF30_RS00720	EHI52_RS00420
OG0000302	FEF30_RS00725	EHI52_RS00425
OG0000303	FEF30_RS00870	EHI52_RS00575
OG0000304	FEF30_RS01385	EHI52_RS01145
OG0000305	FEF30_RS03260	EHI52_RS02870
OG0000306	FEF30_RS03185	EHI52_RS02795
OG0000307	FEF30_RS03145	EHI52_RS02760
OG0000308	FEF30_RS03040	EHI52_RS02660
OG0000309	FEF30_RS02975	EHI52_RS02595
OG0000310	FEF30_RS02900	EHI52_RS02520
OG0000311	FEF30_RS02855	EHI52_RS02485
OG0000312	FEF30_RS02840	EHI52_RS02470
OG0000313	FEF30_RS01915	EHI52_RS01655
OG0000314	FEF30_RS02335	EHI52_RS01980
OG0000315	FEF30_RS02365	EHI52_RS01950
OG0000316	FEF30_RS02375	EHI52_RS01940
OG0000317	FEF30_RS02470	EHI52_RS01850
OG0000318	FEF30_RS04320	EHI52_RS01935
OG0000319	FEF30_RS02605	EHI52_RS02240
OG0000320	FEF30_RS02735	EHI52_RS02370
OG0000321	FEF30_RS01645	EHI52_RS01395
OG0000322	FEF30_RS01695	EHI52_RS01440
OG0000323	FEF30_RS01825	EHI52_RS01570
OG0000324	FEF30_RS02645	EHI52_RS02280
OG0000325	FEF30_RS01010	EHI52_RS00700
OG0000326	FEF30_RS01105	EHI52_RS00795
OG0000327	FEF30_RS01110	EHI52_RS00800
OG0000328	FEF30_RS01195	EHI52_RS00885
OG0000329	FEF30_RS01215	EHI52_RS00905
OG0000330	FEF30_RS01415	EHI52_RS01175
OG0000331	FEF30_RS03350	EHI52_RS02965
OG0000332	FEF30_RS03460	EHI52_RS03130
OG0000333	FEF30_RS03470	EHI52_RS03140
OG0000334	FEF30_RS03565	EHI52_RS03240
OG0000335	FEF30_RS03575	EHI52_RS03250
OG0000336	FEF30_RS04140	EHI52_RS03400
OG0000337	FEF30_RS00285	EHI52_RS03575
OG0000338	FEF30_RS00325	EHI52_RS03615
OG0000339	FEF30_RS02710	EHI52_RS02340
OG0000340	FEF30_RS01625	EHI52_RS01375
OG0000341	FEF30_RS02665	EHI52_RS02300
OG0000342	FEF30_RS01040	EHI52_RS00730
OG0000343	FEF30_RS03480	EHI52_RS03150
OG0000344	FEF30_RS00885	EHI52_RS00590
OG0000345	FEF30_RS01330	EHI52_RS01090
OG0000346	FEF30_RS00125	EHI52_RS03405
OG0000347	FEF30_RS01720	EHI52_RS01465
OG0000348	FEF30_RS01115	EHI52_RS00805
OG0000349	FEF30_RS04150	EHI52_RS03465
OG0000350	FEF30_RS03135	EHI52_RS02750
OG0000351	FEF30_RS00805	EHI52_RS00510
OG0000352	FEF30_RS02315	EHI52_RS02000
OG0000353	FEF30_RS01690	EHI52_RS01435
OG0000354	FEF30_RS00950	EHI52_RS00650
OG0000355	FEF30_RS04310	EHI52_RS02030
OG0000356	FEF30_RS04315	EHI52_RS01945
OG0000357	FEF30_RS04390	EHI52_RS03110
OG0000358	FEF30_RS03445	EHI52_RS03115
OG0000359	FEF30_RS04215	EHI52_RS00775
OG0000360	FEF30_RS00590	EHI52_RS00285
OG0000361	FEF30_RS00620	EHI52_RS00315
OG0000362	FEF30_RS02920	EHI52_RS02540
OG0000363	FEF30_RS01760	EHI52_RS01505
OG0000365	FEF30_RS04335	EHI52_RS01905
OG0000366	FEF30_RS02440	EHI52_RS01880
OG0000367	FEF30_RS02450	EHI52_RS01870
OG0000368	FEF30_RS00390	EHI52_RS00060
OG0000369	FEF30_RS04170	EHI52_RS00025
OG0000370	FEF30_RS00350	EHI52_RS00020
OG0000371	FEF30_RS00345	EHI52_RS00015
OG0000372	FEF30_RS00340	EHI52_RS00010
OG0000373	FEF30_RS00315	EHI52_RS03605
OG0000374	FEF30_RS00305	EHI52_RS03595
OG0000375	FEF30_RS02600	EHI52_RS02235
OG0000376	FEF30_RS02750	EHI52_RS02385
OG0000377	FEF30_RS02740	EHI52_RS02375
OG0000378	FEF30_RS01605	EHI52_RS01355
OG0000379	FEF30_RS01685	EHI52_RS01430
OG0000380	FEF30_RS01710	EHI52_RS01455
OG0000381	FEF30_RS01750	EHI52_RS01495
OG0000382	FEF30_RS01780	EHI52_RS01525
OG0000383	FEF30_RS01820	EHI52_RS01565
OG0000384	FEF30_RS00825	EHI52_RS00530
OG0000385	FEF30_RS00830	EHI52_RS00535
OG0000386	FEF30_RS00850	EHI52_RS00555
OG0000387	FEF30_RS00875	EHI52_RS00580
OG0000388	FEF30_RS04205	EHI52_RS00585
