Orthogroup	MHP_UFV01_genes	MHP_ES2L_genes
OG0000168	FEF30_RS02360	HZK19_RS01945
OG0000169	FEF30_RS03395	HZK19_RS02990
OG0000170	FEF30_RS04475	HZK19_RS03005
OG0000171	FEF30_RS03420	HZK19_RS03110
OG0000172	FEF30_RS03425	HZK19_RS03115
OG0000173	FEF30_RS03430	HZK19_RS03120
OG0000174	FEF30_RS03435	HZK19_RS03125
OG0000175	FEF30_RS03450	HZK19_RS03140
OG0000176	FEF30_RS03495	HZK19_RS03190
OG0000177	FEF30_RS03500	HZK19_RS03195
OG0000178	FEF30_RS03505	HZK19_RS03200
OG0000179	FEF30_RS03515	HZK19_RS03210
OG0000180	FEF30_RS03520	HZK19_RS03215
OG0000181	FEF30_RS04395	HZK19_RS03265
OG0000182	FEF30_RS03570	HZK19_RS03275
OG0000183	FEF30_RS03605	HZK19_RS03310
OG0000184	FEF30_RS00025	HZK19_RS03355
OG0000185	FEF30_RS00010	HZK19_RS03340
OG0000186	FEF30_RS04275	HZK19_RS01490
OG0000187	FEF30_RS01855	HZK19_RS01505
OG0000188	FEF30_RS01865	HZK19_RS01515
OG0000189	FEF30_RS04355	HZK19_RS02270
OG0000190	FEF30_RS02670	HZK19_RS02265
OG0000191	FEF30_RS02650	HZK19_RS02245
OG0000192	FEF30_RS01530	HZK19_RS01180
OG0000193	FEF30_RS01515	HZK19_RS01175
OG0000194	FEF30_RS01000	HZK19_RS00665
OG0000195	FEF30_RS01005	HZK19_RS00670
OG0000196	FEF30_RS01025	HZK19_RS00690
OG0000197	FEF30_RS01030	HZK19_RS00695
OG0000198	FEF30_RS01045	HZK19_RS00710
OG0000199	FEF30_RS01050	HZK19_RS00715
OG0000200	FEF30_RS01065	HZK19_RS00730
OG0000201	FEF30_RS01075	HZK19_RS00740
OG0000202	FEF30_RS01130	HZK19_RS00795
OG0000203	FEF30_RS01135	HZK19_RS00800
OG0000204	FEF30_RS01140	HZK19_RS00805
OG0000205	FEF30_RS01145	HZK19_RS00810
OG0000206	FEF30_RS01165	HZK19_RS00830
OG0000207	FEF30_RS01180	HZK19_RS00845
OG0000208	FEF30_RS01185	HZK19_RS00850
OG0000209	FEF30_RS01190	HZK19_RS00855
OG0000210	FEF30_RS01235	HZK19_RS00900
OG0000211	FEF30_RS01245	HZK19_RS00910
OG0000212	FEF30_RS01255	HZK19_RS00920
OG0000213	FEF30_RS01260	HZK19_RS00925
OG0000214	FEF30_RS01265	HZK19_RS00930
OG0000215	FEF30_RS01270	HZK19_RS00935
OG0000216	FEF30_RS01275	HZK19_RS00940
OG0000217	FEF30_RS01280	HZK19_RS00945
OG0000218	FEF30_RS01290	HZK19_RS00955
OG0000219	FEF30_RS01295	HZK19_RS00960
OG0000220	FEF30_RS01300	HZK19_RS00965
OG0000221	FEF30_RS01305	HZK19_RS00970
OG0000222	FEF30_RS01310	HZK19_RS00975
OG0000223	FEF30_RS01315	HZK19_RS00980
OG0000224	FEF30_RS01325	HZK19_RS00990
OG0000225	FEF30_RS01335	HZK19_RS01000
OG0000226	FEF30_RS01340	HZK19_RS01005
OG0000227	FEF30_RS01345	HZK19_RS01010
OG0000228	FEF30_RS04410	HZK19_RS03950
OG0000229	FEF30_RS01355	HZK19_RS01020
OG0000230	FEF30_RS01360	HZK19_RS01025
OG0000231	FEF30_RS01370	HZK19_RS01035
OG0000232	FEF30_RS01380	HZK19_RS01045
OG0000233	FEF30_RS01405	HZK19_RS01070
OG0000234	FEF30_RS01440	HZK19_RS01105
OG0000235	FEF30_RS01450	HZK19_RS01115
OG0000236	FEF30_RS01455	HZK19_RS01120
OG0000237	FEF30_RS01460	HZK19_RS01125
OG0000238	FEF30_RS01465	HZK19_RS01130
