Orthogroup	MHP_UFV01_genes	MHP_ES2L_genes
OG0000510	FEF30_RS00610	HZK19_RS00280
OG0000511	FEF30_RS00745	HZK19_RS00415
OG0000513	FEF30_RS00145	HZK19_RS03475
OG0000514	FEF30_RS03240	HZK19_RS02825
OG0000515	FEF30_RS01895, FEF30_RS01890, FEF30_RS01885	HZK19_RS01530
OG0000516	FEF30_RS04330	HZK19_RS01975
OG0000517	FEF30_RS00395	HZK19_RS00065
OG0000518	FEF30_RS03455	HZK19_RS03145
OG0000519	FEF30_RS01095	HZK19_RS00760
OG0000520	FEF30_RS01220	HZK19_RS00885
OG0000521	FEF30_RS00580	HZK19_RS00250
OG0000522	FEF30_RS00615	HZK19_RS00285
OG0000523	FEF30_RS00080	HZK19_RS03410
OG0000524	FEF30_RS03045	HZK19_RS02640
OG0000525	FEF30_RS04105	HZK19_RS03375
OG0000526	FEF30_RS02235	HZK19_RS03755
OG0000527	FEF30_RS02175	HZK19_RS01730
OG0000528	FEF30_RS02395	HZK19_RS01980
OG0000529	FEF30_RS02615	HZK19_RS02210
OG0000530	FEF30_RS02720	HZK19_RS02315
OG0000531	FEF30_RS01715	HZK19_RS01365
OG0000532	FEF30_RS01945	HZK19_RS01590
OG0000533	FEF30_RS00915	HZK19_RS00590
OG0000534	FEF30_RS00695	HZK19_RS00365
OG0000535	FEF30_RS04175	HZK19_RS00045
OG0000536	FEF30_RS00260	HZK19_RS03590
OG0000537	FEF30_RS01035	HZK19_RS00700
OG0000538	FEF30_RS01435	HZK19_RS01100
OG0000539	FEF30_RS00530	HZK19_RS00200
OG0000540	FEF30_RS03015	HZK19_RS02605
OG0000541	FEF30_RS03095	HZK19_RS02685
OG0000542	FEF30_RS00665	HZK19_RS00335
OG0000544	FEF30_RS04245	HZK19_RS01215
OG0000545	FEF30_RS02225	HZK19_RS01785
OG0000546	FEF30_RS03165	HZK19_RS02755
OG0000547	FEF30_RS03290	HZK19_RS02875
OG0000548	FEF30_RS01910	HZK19_RS01560
OG0000549	FEF30_RS04100	HZK19_RS03365
OG0000550	FEF30_RS00180	HZK19_RS03510
OG0000551	FEF30_RS03360	HZK19_RS02945
OG0000552	FEF30_RS03490	HZK19_RS03180
OG0000553	FEF30_RS04365	HZK19_RS02655
OG0000554	FEF30_RS02765	HZK19_RS02360
OG0000555	FEF30_RS03295	HZK19_RS02880
OG0000556	FEF30_RS04300	HZK19_RS03035
OG0000557	FEF30_RS01575	HZK19_RS01230
OG0000558	FEF30_RS01545	HZK19_RS01195
OG0000559	FEF30_RS02015	HZK19_RS01670
OG0000560	FEF30_RS02215	HZK19_RS01770
OG0000561	FEF30_RS01420	HZK19_RS01085
OG0000562	FEF30_RS02220	HZK19_RS01775
OG0000563	FEF30_RS02205	HZK19_RS01760
OG0000564	FEF30_RS01600	HZK19_RS03725
OG0000565	FEF30_RS02260	HZK19_RS01835
OG0000566	FEF30_RS02245	HZK19_RS01815
OG0000567	FEF30_RS02230	HZK19_RS01790
OG0000568	FEF30_RS00995	HZK19_RS00660
OG0000569	FEF30_RS01550	HZK19_RS01200
OG0000570	FEF30_RS04240	HZK19_RS01205
OG0000571	FEF30_RS01560	HZK19_RS01210
OG0000572	FEF30_RS01580	HZK19_RS01235
OG0000573	FEF30_RS02010	HZK19_RS01665
OG0000574	FEF30_RS01620	HZK19_RS01275
OG0000575	FEF30_RS01535	HZK19_RS01185
OG0000576	FEF30_RS01970	HZK19_RS01615
OG0000577	FEF30_RS03035	HZK19_RS02625
OG0000578	FEF30_RS03055	HZK19_RS02650
OG0000579	FEF30_RS02195	HZK19_RS01750
OG0000580	FEF30_RS03170	HZK19_RS02760
OG0000581	FEF30_RS02180	HZK19_RS01735
OG0000582	FEF30_RS04250	HZK19_RS01225
OG0000583	FEF30_RS02000	HZK19_RS01655
OG0000584	FEF30_RS02075	HZK19_RS03070
OG0000585	FEF30_RS02585	HZK19_RS02180
OG0000586	FEF30_RS01985	HZK19_RS01635
OG0000587	FEF30_RS04465	HZK19_RS03875
OG0000588	FEF30_RS01960	HZK19_RS01610
OG0000589	FEF30_RS02520	HZK19_RS02120
OG0000591	FEF30_RS03985	HZK19_RS03885
OG0000592	FEF30_RS03025	HZK19_RS02615
OG0000593	FEF30_RS00245	HZK19_RS03575
OG0000594	FEF30_RS01540	HZK19_RS01190
OG0000595	FEF30_RS04470	HZK19_RS02965
OG0000597	FEF30_RS03375	HZK19_RS02960
OG0000600	FEF30_RS02080	HZK19_RS03065
OG0000601	FEF30_RS02210	HZK19_RS01765
OG0000602	FEF30_RS02420	HZK19_RS02005
OG0000603	FEF30_RS02090	HZK19_RS03060
OG0000604	FEF30_RS04060	HZK19_RS03900
OG0000605	FEF30_RS02095	HZK19_RS03055
OG0000606	FEF30_RS02185	HZK19_RS01740
OG0000614	FEF30_RS02535	HZK19_RS02140
OG0000615	FEF30_RS03065	HZK19_RS02660
OG0000618	FEF30_RS03625	HZK19_RS03330
OG0000619	FEF30_RS02190	HZK19_RS01745
OG0000621	FEF30_RS03980	HZK19_RS03880
