Orthogroup	MHP_F72C_genes	MHP_UFV01_genes
OG0000132	EHI52_RS01575	FEF30_RS04270
OG0000133	EHI52_RS00545	FEF30_RS00840
OG0000134	EHI52_RS00550	FEF30_RS00845
OG0000135	EHI52_RS00565	FEF30_RS00860
OG0000136	EHI52_RS00570	FEF30_RS00865
OG0000137	EHI52_RS00600	FEF30_RS00905
OG0000138	EHI52_RS00635	FEF30_RS00935
OG0000139	EHI52_RS00665	FEF30_RS00965
OG0000140	EHI52_RS00670	FEF30_RS00970
OG0000141	EHI52_RS02925	FEF30_RS03310
OG0000142	EHI52_RS02920	FEF30_RS04385
OG0000143	EHI52_RS02895	FEF30_RS03285
OG0000144	EHI52_RS02885	FEF30_RS03275
OG0000145	EHI52_RS02875	FEF30_RS03265
OG0000146	EHI52_RS02865	FEF30_RS03255
OG0000147	EHI52_RS02860	FEF30_RS03250
OG0000148	EHI52_RS02845	FEF30_RS03235
OG0000149	EHI52_RS02835	FEF30_RS03225
OG0000150	EHI52_RS02820	FEF30_RS03210
OG0000151	EHI52_RS02775	FEF30_RS03160
OG0000152	EHI52_RS02770	FEF30_RS03155
OG0000153	EHI52_RS02765	FEF30_RS03150
OG0000154	EHI52_RS02755	FEF30_RS03140
OG0000155	EHI52_RS02715	FEF30_RS03100
OG0000156	EHI52_RS02705	FEF30_RS03090
OG0000157	EHI52_RS02700	FEF30_RS04375
OG0000158	EHI52_RS03885	FEF30_RS04370
OG0000159	EHI52_RS03925	FEF30_RS02835
OG0000160	EHI52_RS02460	FEF30_RS02830
OG0000161	EHI52_RS02455	FEF30_RS02825
OG0000162	EHI52_RS02445	FEF30_RS02815
OG0000163	EHI52_RS02440	FEF30_RS02810
OG0000164	EHI52_RS01665	FEF30_RS01925
OG0000165	EHI52_RS01995	FEF30_RS02320
OG0000166	EHI52_RS01975	FEF30_RS02340
OG0000167	EHI52_RS01960	FEF30_RS02355
OG0000168	EHI52_RS01955	FEF30_RS02360
OG0000169	EHI52_RS03055	FEF30_RS03395
OG0000170	EHI52_RS03075	FEF30_RS04475
OG0000171	EHI52_RS03085	FEF30_RS03420
OG0000172	EHI52_RS03095	FEF30_RS03425
OG0000173	EHI52_RS03100	FEF30_RS03430
OG0000174	EHI52_RS03105	FEF30_RS03435
OG0000175	EHI52_RS03120	FEF30_RS03450
OG0000176	EHI52_RS03170	FEF30_RS03495
OG0000177	EHI52_RS03175	FEF30_RS03500
OG0000178	EHI52_RS03180	FEF30_RS03505
OG0000179	EHI52_RS03190	FEF30_RS03515
OG0000180	EHI52_RS03195	FEF30_RS03520
OG0000181	EHI52_RS03235	FEF30_RS04395
OG0000182	EHI52_RS03245	FEF30_RS03570
OG0000183	EHI52_RS03280	FEF30_RS03605
OG0000184	EHI52_RS03325	FEF30_RS00025
OG0000185	EHI52_RS03310	FEF30_RS00010
OG0000186	EHI52_RS01585	FEF30_RS04275
OG0000187	EHI52_RS01600	FEF30_RS01855
OG0000188	EHI52_RS01610	FEF30_RS01865
OG0000189	EHI52_RS02310	FEF30_RS04355
OG0000190	EHI52_RS02305	FEF30_RS02670
OG0000191	EHI52_RS02285	FEF30_RS02650
OG0000192	EHI52_RS01280	FEF30_RS01530
OG0000193	EHI52_RS01270	FEF30_RS01515
OG0000194	EHI52_RS00690	FEF30_RS01000
OG0000195	EHI52_RS00695	FEF30_RS01005
OG0000196	EHI52_RS00715	FEF30_RS01025
OG0000197	EHI52_RS00720	FEF30_RS01030
OG0000198	EHI52_RS00735	FEF30_RS01045
OG0000199	EHI52_RS00740	FEF30_RS01050
OG0000200	EHI52_RS00755	FEF30_RS01065
OG0000201	EHI52_RS00765	FEF30_RS01075
OG0000202	EHI52_RS00820	FEF30_RS01130
OG0000203	EHI52_RS00825	FEF30_RS01135
OG0000204	EHI52_RS00830	FEF30_RS01140
OG0000205	EHI52_RS00835	FEF30_RS01145
OG0000206	EHI52_RS00855	FEF30_RS01165
OG0000207	EHI52_RS00870	FEF30_RS01180
OG0000208	EHI52_RS00875	FEF30_RS01185
OG0000209	EHI52_RS00880	FEF30_RS01190
OG0000210	EHI52_RS00925	FEF30_RS01235
OG0000211	EHI52_RS01005	FEF30_RS01245
OG0000212	EHI52_RS01015	FEF30_RS01255
OG0000213	EHI52_RS01020	FEF30_RS01260
OG0000214	EHI52_RS01025	FEF30_RS01265
OG0000215	EHI52_RS01030	FEF30_RS01270
OG0000216	EHI52_RS01035	FEF30_RS01275
OG0000217	EHI52_RS01040	FEF30_RS01280
OG0000218	EHI52_RS01050	FEF30_RS01290
OG0000219	EHI52_RS01055	FEF30_RS01295
OG0000220	EHI52_RS01060	FEF30_RS01300
OG0000221	EHI52_RS01065	FEF30_RS01305
OG0000222	EHI52_RS01070	FEF30_RS01310
OG0000223	EHI52_RS01075	FEF30_RS01315
OG0000224	EHI52_RS01085	FEF30_RS01325
OG0000225	EHI52_RS01095	FEF30_RS01335
OG0000226	EHI52_RS01100	FEF30_RS01340
OG0000227	EHI52_RS01105	FEF30_RS01345
OG0000228	EHI52_RS03905	FEF30_RS04410
OG0000229	EHI52_RS01115	FEF30_RS01355
OG0000230	EHI52_RS01120	FEF30_RS01360
OG0000231	EHI52_RS01130	FEF30_RS01370
OG0000232	EHI52_RS01140	FEF30_RS01380
OG0000233	EHI52_RS01165	FEF30_RS01405
OG0000234	EHI52_RS01200	FEF30_RS01440
OG0000235	EHI52_RS01210	FEF30_RS01450
OG0000236	EHI52_RS01215	FEF30_RS01455
OG0000237	EHI52_RS01220	FEF30_RS01460
OG0000238	EHI52_RS01230	FEF30_RS01465
OG0000239	EHI52_RS02935	FEF30_RS03320
OG0000240	EHI52_RS02940	FEF30_RS03325
OG0000241	EHI52_RS02950	FEF30_RS03335
OG0000242	EHI52_RS02955	FEF30_RS03340
OG0000243	EHI52_RS02960	FEF30_RS03345
OG0000244	EHI52_RS02970	FEF30_RS03355
OG0000245	EHI52_RS02980	FEF30_RS03365
OG0000246	EHI52_RS00140	FEF30_RS00455
OG0000247	EHI52_RS00150	FEF30_RS00465
OG0000248	EHI52_RS00160	FEF30_RS00475
OG0000249	EHI52_RS00165	FEF30_RS03675, FEF30_RS00480
OG0000250	EHI52_RS00180	FEF30_RS00495
OG0000251	EHI52_RS00215	FEF30_RS00525
OG0000252	EHI52_RS00225	FEF30_RS00535
OG0000253	EHI52_RS00230	FEF30_RS00540
