Orthogroup	MHP_F72C_genes	MHP_UFV01_genes
OG0000512	EHI52_RS02550	FEF30_RS02930
OG0000513	EHI52_RS03425	FEF30_RS00145
OG0000514	EHI52_RS02850	FEF30_RS03240
OG0000515	EHI52_RS02090	FEF30_RS01895, FEF30_RS01890, FEF30_RS01885
OG0000516	EHI52_RS01925	FEF30_RS04330
OG0000517	EHI52_RS00065	FEF30_RS00395
OG0000518	EHI52_RS03125	FEF30_RS03455
OG0000519	EHI52_RS00785	FEF30_RS01095
OG0000520	EHI52_RS00910	FEF30_RS01220
OG0000521	EHI52_RS00275	FEF30_RS00580
OG0000522	EHI52_RS00310	FEF30_RS00615
OG0000523	EHI52_RS03360	FEF30_RS00080
OG0000524	EHI52_RS02665	FEF30_RS03045
OG0000525	EHI52_RS03345	FEF30_RS04105
OG0000526	EHI52_RS03800	FEF30_RS02235
OG0000527	EHI52_RS02185	FEF30_RS02175
OG0000528	EHI52_RS01920	FEF30_RS02395
OG0000529	EHI52_RS02250	FEF30_RS02615
OG0000530	EHI52_RS02355	FEF30_RS02720
OG0000531	EHI52_RS01460	FEF30_RS01715
OG0000532	EHI52_RS01685	FEF30_RS01945
OG0000534	EHI52_RS00395	FEF30_RS00695
OG0000535	EHI52_RS00045	FEF30_RS04175
OG0000536	EHI52_RS03545	FEF30_RS00260
OG0000537	EHI52_RS00725	FEF30_RS01035
OG0000538	EHI52_RS01195	FEF30_RS01435
OG0000539	EHI52_RS00220	FEF30_RS00530
OG0000540	EHI52_RS02635	FEF30_RS03015
OG0000541	EHI52_RS02710	FEF30_RS03095
OG0000542	EHI52_RS00365	FEF30_RS00665
OG0000544	EHI52_RS01315	FEF30_RS04245
OG0000546	EHI52_RS02780	FEF30_RS03165
OG0000547	EHI52_RS02900	FEF30_RS03290
OG0000548	EHI52_RS01650	FEF30_RS01910
OG0000549	EHI52_RS03335	FEF30_RS04100
OG0000550	EHI52_RS03460	FEF30_RS00180
OG0000551	EHI52_RS02975	FEF30_RS03360
OG0000553	EHI52_RS02680	FEF30_RS04365
OG0000554	EHI52_RS02400	FEF30_RS02765
OG0000555	EHI52_RS03850	FEF30_RS03295
OG0000557	EHI52_RS01325	FEF30_RS01575
OG0000558	EHI52_RS01295	FEF30_RS01545
OG0000559	EHI52_RS01755	FEF30_RS02015
OG0000560	EHI52_RS02125	FEF30_RS02215
OG0000561	EHI52_RS01180	FEF30_RS01420
OG0000562	EHI52_RS02120	FEF30_RS02220
OG0000563	EHI52_RS02135	FEF30_RS02205
OG0000564	EHI52_RS03770	FEF30_RS01600
OG0000565	EHI52_RS02070	FEF30_RS02260
OG0000566	EHI52_RS02080	FEF30_RS02245
OG0000567	EHI52_RS02105	FEF30_RS02230
OG0000568	EHI52_RS00685	FEF30_RS00995
OG0000569	EHI52_RS01300	FEF30_RS01550
OG0000570	EHI52_RS01305	FEF30_RS04240
OG0000571	EHI52_RS01310	FEF30_RS01560
OG0000572	EHI52_RS01330	FEF30_RS01580
OG0000573	EHI52_RS01750	FEF30_RS02010
OG0000574	EHI52_RS01370	FEF30_RS01620
OG0000575	EHI52_RS01285	FEF30_RS01535
OG0000576	EHI52_RS01710	FEF30_RS01970
OG0000577	EHI52_RS02655	FEF30_RS03035
OG0000578	EHI52_RS02675	FEF30_RS03055
OG0000579	EHI52_RS02170	FEF30_RS02195
OG0000580	EHI52_RS03845	FEF30_RS03170
OG0000581	EHI52_RS02175	FEF30_RS02180
OG0000582	EHI52_RS03765	FEF30_RS04250
OG0000583	EHI52_RS01740	FEF30_RS02000
OG0000585	EHI52_RS02220	FEF30_RS02585
OG0000586	EHI52_RS01725	FEF30_RS01985
OG0000587	EHI52_RS03915	FEF30_RS04465
OG0000588	EHI52_RS01700	FEF30_RS01960
OG0000589	EHI52_RS00950	FEF30_RS02520
OG0000591	EHI52_RS02045	FEF30_RS03985
OG0000592	EHI52_RS02645	FEF30_RS03025
OG0000593	EHI52_RS03525	FEF30_RS00245
OG0000594	EHI52_RS01290	FEF30_RS01540
OG0000595	EHI52_RS03000	FEF30_RS04470
OG0000596	EHI52_RS01785	FEF30_RS02140
OG0000597	EHI52_RS02995	FEF30_RS03375
OG0000598	EHI52_RS01790	FEF30_RS02145
OG0000599	EHI52_RS01795	FEF30_RS02150
OG0000601	EHI52_RS02130	FEF30_RS02210
OG0000602	EHI52_RS01900	FEF30_RS02420
OG0000604	EHI52_RS03890	FEF30_RS04060
OG0000606	EHI52_RS02160	FEF30_RS02185
OG0000607	EHI52_RS03630	FEF30_RS01525
OG0000612	EHI52_RS01800	FEF30_RS02155
OG0000615	EHI52_RS02685	FEF30_RS03065
OG0000618	EHI52_RS03300	FEF30_RS03625
