Orthogroup	MHP_F72C_genes	MHP_111A_genes
OG0000536	EHI52_RS03545	NB623_RS03735
OG0000540	EHI52_RS02635	NB623_RS02805
OG0000541	EHI52_RS02710	NB623_RS02880
OG0000544	EHI52_RS01315	NB623_RS01375
OG0000545	EHI52_RS02110	NB623_RS02270
OG0000546	EHI52_RS02780	NB623_RS02950
OG0000552	EHI52_RS03160	NB623_RS03300
OG0000553	EHI52_RS02680	NB623_RS02855
OG0000554	EHI52_RS02400	NB623_RS02535
OG0000555	EHI52_RS03850	NB623_RS03080
OG0000557	EHI52_RS01325	NB623_RS01385
OG0000558	EHI52_RS01295	NB623_RS01355
OG0000559	EHI52_RS01755	NB623_RS01825
OG0000560	EHI52_RS02125	NB623_RS02290
OG0000561	EHI52_RS01180	NB623_RS01240
OG0000562	EHI52_RS02120	NB623_RS02280
OG0000563	EHI52_RS02135	NB623_RS02295
OG0000564	EHI52_RS03770	NB623_RS01405
OG0000565	EHI52_RS02070	NB623_RS02220
OG0000566	EHI52_RS02080	NB623_RS02240
OG0000567	EHI52_RS02105	NB623_RS02265
OG0000568	EHI52_RS00685	NB623_RS00685
OG0000569	EHI52_RS01300	NB623_RS01360
OG0000570	EHI52_RS01305	NB623_RS01365
OG0000571	EHI52_RS01310	NB623_RS01370
OG0000572	EHI52_RS01330	NB623_RS01390
OG0000573	EHI52_RS01750	NB623_RS01820
OG0000574	EHI52_RS01370	NB623_RS01425
OG0000575	EHI52_RS01285	NB623_RS01350
OG0000576	EHI52_RS01710	NB623_RS01775
OG0000577	EHI52_RS02655	NB623_RS02825
OG0000578	EHI52_RS02675	NB623_RS02850
OG0000579	EHI52_RS02170	NB623_RS02305
OG0000580	EHI52_RS03845	NB623_RS02955
OG0000581	EHI52_RS02175	NB623_RS02310
OG0000582	EHI52_RS03765	NB623_RS01380
OG0000583	EHI52_RS01740	NB623_RS01810
OG0000585	EHI52_RS02220	NB623_RS02350
OG0000586	EHI52_RS01725	NB623_RS01795
OG0000587	EHI52_RS03915	NB623_RS02215
OG0000588	EHI52_RS01700	NB623_RS01765
OG0000589	EHI52_RS00950	NB623_RS01010
OG0000591	EHI52_RS02045	NB623_RS02200
OG0000592	EHI52_RS02645	NB623_RS02815
OG0000593	EHI52_RS03525	NB623_RS03720
OG0000595	EHI52_RS03000	NB623_RS03160
OG0000596	EHI52_RS01785	NB623_RS01870
OG0000597	EHI52_RS02995	NB623_RS03155
OG0000598	EHI52_RS01790	NB623_RS01875
OG0000599	EHI52_RS01795	NB623_RS01880
OG0000604	EHI52_RS03890	NB623_RS02965
OG0000607	EHI52_RS03630	NB623_RS01335
OG0000608	EHI52_RS02115	NB623_RS02275
OG0000609	EHI52_RS03640	NB623_RS02250
OG0000611	EHI52_RS00090	NB623_RS00100
OG0000612	EHI52_RS01800	NB623_RS01885
OG0000613	EHI52_RS03785	NB623_RS02205
OG0000622	EHI52_RS03730	NB623_RS00960
OG0000623	EHI52_RS03895, EHI52_RS03875	NB623_RS01895
OG0000623	EHI52_RS03645	NB623_RS02335
