Orthogroup	MHP_F72C_genes	MHP_111A_genes
OG0000098	EHI52_RS03590	NB623_RS03780
OG0000099	EHI52_RS03540	NB623_RS03730
OG0000100	EHI52_RS03520	NB623_RS03715
OG0000101	EHI52_RS03515	NB623_RS03710
OG0000102	EHI52_RS01760	NB623_RS01830
OG0000103	EHI52_RS02225	NB623_RS02355
OG0000104	EHI52_RS02230	NB623_RS02360
OG0000105	EHI52_RS02245	NB623_RS02380
OG0000106	EHI52_RS02255	NB623_RS02385
OG0000107	EHI52_RS02265	NB623_RS02395
OG0000108	EHI52_RS02270	NB623_RS02400
OG0000109	EHI52_RS02275	NB623_RS02405
OG0000110	EHI52_RS02395	NB623_RS02525
OG0000111	EHI52_RS02390	NB623_RS02520
OG0000112	EHI52_RS02380	NB623_RS02510
OG0000113	EHI52_RS02360	NB623_RS02490
OG0000114	EHI52_RS02350	NB623_RS02485
OG0000115	EHI52_RS02335	NB623_RS02470
OG0000116	EHI52_RS01360	NB623_RS01415
OG0000117	EHI52_RS01365	NB623_RS01420
OG0000118	EHI52_RS01400	NB623_RS01455
OG0000119	EHI52_RS01405	NB623_RS01465
OG0000120	EHI52_RS01420	NB623_RS01475
OG0000121	EHI52_RS01445	NB623_RS01505
OG0000122	EHI52_RS01450	NB623_RS01510
OG0000123	EHI52_RS01470	NB623_RS01530
OG0000124	EHI52_RS01475	NB623_RS01535
OG0000125	EHI52_RS01480	NB623_RS01545
OG0000126	EHI52_RS01490	NB623_RS01550
OG0000127	EHI52_RS01500	NB623_RS01560
OG0000128	EHI52_RS01515	NB623_RS01575
OG0000129	EHI52_RS01520	NB623_RS01580
OG0000130	EHI52_RS01530	NB623_RS01590
OG0000131	EHI52_RS01560	NB623_RS01620
OG0000132	EHI52_RS01575	NB623_RS01635
OG0000133	EHI52_RS00545	NB623_RS00525
OG0000134	EHI52_RS00550	NB623_RS00530
OG0000135	EHI52_RS00565	NB623_RS00545
OG0000136	EHI52_RS00570	NB623_RS00550
OG0000137	EHI52_RS00600	NB623_RS00590
OG0000138	EHI52_RS00635	NB623_RS00615
OG0000139	EHI52_RS00665	NB623_RS00645
OG0000140	EHI52_RS00670	NB623_RS00650
OG0000141	EHI52_RS02925	NB623_RS03095
OG0000142	EHI52_RS02920	NB623_RS03090
OG0000143	EHI52_RS02895	NB623_RS03075
OG0000144	EHI52_RS02885	NB623_RS03060
OG0000145	EHI52_RS02875	NB623_RS03050
OG0000146	EHI52_RS02865	NB623_RS03040
OG0000147	EHI52_RS02860	NB623_RS03035
OG0000148	EHI52_RS02845	NB623_RS03020
OG0000149	EHI52_RS02835	NB623_RS03010
OG0000150	EHI52_RS02820	NB623_RS02995
OG0000151	EHI52_RS02775	NB623_RS02945
OG0000152	EHI52_RS02770	NB623_RS02940
OG0000153	EHI52_RS02765	NB623_RS02935
OG0000154	EHI52_RS02755	NB623_RS02925
OG0000155	EHI52_RS02715	NB623_RS02885
OG0000156	EHI52_RS02705	NB623_RS02875
OG0000157	EHI52_RS02700	NB623_RS02870
OG0000158	EHI52_RS03885	NB623_RS02860
OG0000159	EHI52_RS03925	NB623_RS02615
OG0000160	EHI52_RS02460	NB623_RS02610
OG0000161	EHI52_RS02455	NB623_RS02605
OG0000162	EHI52_RS02445	NB623_RS02595
OG0000163	EHI52_RS02440	NB623_RS02590
OG0000164	EHI52_RS01665	NB623_RS01725
OG0000165	EHI52_RS01995	NB623_RS02155
OG0000166	EHI52_RS01975	NB623_RS02135
