Orthogroup	MHP_F72C_genes	MHP_J_genes
OG0000511	EHI52_RS00445	MHJ_RS00410
OG0000512	EHI52_RS02550	MHJ_RS02510
OG0000513	EHI52_RS03425	MHJ_RS03395
OG0000514	EHI52_RS02850	MHJ_RS02830
OG0000515	EHI52_RS02090	MHJ_RS01535
OG0000516	EHI52_RS01925	MHJ_RS01965
OG0000517	EHI52_RS00065	MHJ_RS00065
OG0000518	EHI52_RS03125	MHJ_RS03080
OG0000519	EHI52_RS00785	MHJ_RS00760
OG0000520	EHI52_RS00910	MHJ_RS00885
OG0000521	EHI52_RS00275	MHJ_RS00245
OG0000522	EHI52_RS00310	MHJ_RS00280
OG0000523	EHI52_RS03360	MHJ_RS03335
OG0000524	EHI52_RS02665	MHJ_RS02635
OG0000525	EHI52_RS03345	MHJ_RS03305
OG0000526	EHI52_RS03800	MHJ_RS03870, MHJ_RS01785
OG0000527	EHI52_RS02185	MHJ_RS03865
OG0000528	EHI52_RS01920	MHJ_RS01970
OG0000529	EHI52_RS02250	MHJ_RS02190
OG0000530	EHI52_RS02355	MHJ_RS02290
OG0000531	EHI52_RS01460	MHJ_RS01370
OG0000532	EHI52_RS01685	MHJ_RS01585
OG0000534	EHI52_RS00395	MHJ_RS00360
OG0000535	EHI52_RS00045	MHJ_RS00045
OG0000536	EHI52_RS03545	MHJ_RS03510
OG0000537	EHI52_RS00725	MHJ_RS00705
OG0000538	EHI52_RS01195	MHJ_RS01095
OG0000539	EHI52_RS00220	MHJ_RS00190
OG0000540	EHI52_RS02635	MHJ_RS02600
OG0000541	EHI52_RS02710	MHJ_RS02680
OG0000542	EHI52_RS00365	MHJ_RS00330
OG0000544	EHI52_RS01315	MHJ_RS01225
OG0000545	EHI52_RS02110	MHJ_RS01770
OG0000546	EHI52_RS02780	MHJ_RS02755
OG0000547	EHI52_RS02900	MHJ_RS02885
OG0000548	EHI52_RS01650	MHJ_RS01550
OG0000549	EHI52_RS03335	MHJ_RS03295
OG0000550	EHI52_RS03460	MHJ_RS03430
OG0000551	EHI52_RS02975	MHJ_RS02965
OG0000552	EHI52_RS03160	MHJ_RS03115
OG0000553	EHI52_RS02680	MHJ_RS02650
OG0000554	EHI52_RS02400	MHJ_RS02335
OG0000555	EHI52_RS03850	MHJ_RS03945
OG0000557	EHI52_RS01325	MHJ_RS01235
OG0000558	EHI52_RS01295	MHJ_RS01205
OG0000559	EHI52_RS01755	MHJ_RS01645
OG0000560	EHI52_RS02125	MHJ_RS01760
OG0000561	EHI52_RS01180	MHJ_RS01080
OG0000562	EHI52_RS02120	MHJ_RS01765
OG0000563	EHI52_RS02135	MHJ_RS01750
OG0000564	EHI52_RS03770	MHJ_RS01260
OG0000565	EHI52_RS02070	MHJ_RS01820
OG0000566	EHI52_RS02080	MHJ_RS01810
OG0000567	EHI52_RS02105	MHJ_RS01780
OG0000568	EHI52_RS00685	MHJ_RS00665
OG0000569	EHI52_RS01300	MHJ_RS01210
OG0000570	EHI52_RS01305	MHJ_RS01215
OG0000571	EHI52_RS01310	MHJ_RS01220
OG0000572	EHI52_RS01330	MHJ_RS01240
OG0000573	EHI52_RS01750	MHJ_RS01640
OG0000574	EHI52_RS01370	MHJ_RS01280
OG0000575	EHI52_RS01285	MHJ_RS01195
OG0000576	EHI52_RS01710	MHJ_RS03625
OG0000577	EHI52_RS02655	MHJ_RS02620
OG0000578	EHI52_RS02675	MHJ_RS02645
OG0000579	EHI52_RS02170	MHJ_RS01740
OG0000580	EHI52_RS03845	MHJ_RS02760
OG0000581	EHI52_RS02175	MHJ_RS01725
OG0000582	EHI52_RS03765	MHJ_RS03835
OG0000583	EHI52_RS01740	MHJ_RS01630
OG0000585	EHI52_RS02220	MHJ_RS03590
OG0000586	EHI52_RS01725	MHJ_RS01620
OG0000587	EHI52_RS03915	MHJ_RS04025
OG0000588	EHI52_RS01700	MHJ_RS01600
OG0000589	EHI52_RS00950	MHJ_RS03650
OG0000591	EHI52_RS02045	MHJ_RS03990
OG0000592	EHI52_RS02645	MHJ_RS02610
OG0000593	EHI52_RS03525	MHJ_RS03495
OG0000594	EHI52_RS01290	MHJ_RS01200
OG0000595	EHI52_RS03000	MHJ_RS03020
OG0000596	EHI52_RS01785	MHJ_RS01685
OG0000598	EHI52_RS01790	MHJ_RS01690
OG0000599	EHI52_RS01795	MHJ_RS01695
OG0000601	EHI52_RS02130	MHJ_RS01755
OG0000602	EHI52_RS01900	MHJ_RS01990
OG0000606	EHI52_RS02160	MHJ_RS01730
OG0000607	EHI52_RS03630	MHJ_RS03755
OG0000612	EHI52_RS01800	MHJ_RS03855
OG0000615	EHI52_RS02685	MHJ_RS02655
