Orthogroup	MHP_F72C_genes	MHP_J_genes
OG0000175	EHI52_RS03120	MHJ_RS03075
OG0000176	EHI52_RS03170	MHJ_RS03125
OG0000177	EHI52_RS03175	MHJ_RS03130
OG0000178	EHI52_RS03180	MHJ_RS03135
OG0000179	EHI52_RS03190	MHJ_RS03145
OG0000180	EHI52_RS03195	MHJ_RS03150
OG0000181	EHI52_RS03235	MHJ_RS03200
OG0000182	EHI52_RS03245	MHJ_RS03210
OG0000183	EHI52_RS03280	MHJ_RS03245
OG0000184	EHI52_RS03325	MHJ_RS03285
OG0000185	EHI52_RS03310	MHJ_RS03270
OG0000186	EHI52_RS01585	MHJ_RS01495
OG0000187	EHI52_RS01600	MHJ_RS01510
OG0000188	EHI52_RS01610	MHJ_RS01520
OG0000189	EHI52_RS02310	MHJ_RS02250
OG0000190	EHI52_RS02305	MHJ_RS02245
OG0000191	EHI52_RS02285	MHJ_RS02225
OG0000192	EHI52_RS01280	MHJ_RS01190
OG0000193	EHI52_RS01270	MHJ_RS01180
OG0000194	EHI52_RS00690	MHJ_RS00670
OG0000195	EHI52_RS00695	MHJ_RS00675
OG0000196	EHI52_RS00715	MHJ_RS00695
OG0000197	EHI52_RS00720	MHJ_RS00700
OG0000198	EHI52_RS00735	MHJ_RS00715
OG0000199	EHI52_RS00740	MHJ_RS00720
OG0000200	EHI52_RS00755	MHJ_RS00730
OG0000201	EHI52_RS00765	MHJ_RS00740
OG0000202	EHI52_RS00820	MHJ_RS00795
OG0000203	EHI52_RS00825	MHJ_RS00800
OG0000204	EHI52_RS00830	MHJ_RS00805
OG0000205	EHI52_RS00835	MHJ_RS00810
OG0000206	EHI52_RS00855	MHJ_RS00830
OG0000207	EHI52_RS00870	MHJ_RS00845
OG0000208	EHI52_RS00875	MHJ_RS00850
OG0000209	EHI52_RS00880	MHJ_RS00855
OG0000210	EHI52_RS00925	MHJ_RS00900
OG0000211	EHI52_RS01005	MHJ_RS00910
OG0000212	EHI52_RS01015	MHJ_RS00920
OG0000213	EHI52_RS01020	MHJ_RS00925
OG0000214	EHI52_RS01025	MHJ_RS00930
OG0000215	EHI52_RS01030	MHJ_RS00935
OG0000216	EHI52_RS01035	MHJ_RS00940
OG0000217	EHI52_RS01040	MHJ_RS00945
OG0000218	EHI52_RS01050	MHJ_RS00955
OG0000219	EHI52_RS01055	MHJ_RS00960
OG0000220	EHI52_RS01060	MHJ_RS00965
OG0000221	EHI52_RS01065	MHJ_RS00970
OG0000222	EHI52_RS01070	MHJ_RS00975
OG0000223	EHI52_RS01075	MHJ_RS00980
OG0000224	EHI52_RS01085	MHJ_RS00990
OG0000225	EHI52_RS01095	MHJ_RS01000
OG0000226	EHI52_RS01100	MHJ_RS01005
OG0000227	EHI52_RS01105	MHJ_RS01010
OG0000228	EHI52_RS03905	MHJ_RS04015
OG0000229	EHI52_RS01115	MHJ_RS01020
OG0000230	EHI52_RS01120	MHJ_RS01025
OG0000231	EHI52_RS01130	MHJ_RS01035
OG0000232	EHI52_RS01140	MHJ_RS01045
OG0000233	EHI52_RS01165	MHJ_RS01065
OG0000234	EHI52_RS01200	MHJ_RS01100
OG0000235	EHI52_RS01210	MHJ_RS01110
OG0000236	EHI52_RS01215	MHJ_RS01115
OG0000237	EHI52_RS01220	MHJ_RS01120
OG0000238	EHI52_RS01230	MHJ_RS01130
OG0000239	EHI52_RS02935	MHJ_RS02925
OG0000240	EHI52_RS02940	MHJ_RS02930
OG0000241	EHI52_RS02950	MHJ_RS02940
OG0000242	EHI52_RS02955	MHJ_RS02945
OG0000243	EHI52_RS02960	MHJ_RS02950
OG0000244	EHI52_RS02970	MHJ_RS02960
OG0000245	EHI52_RS02980	MHJ_RS02970
OG0000246	EHI52_RS00140	MHJ_RS00115
OG0000247	EHI52_RS00150	MHJ_RS00125
OG0000248	EHI52_RS00160	MHJ_RS00135
OG0000249	EHI52_RS00165	MHJ_RS00140
OG0000250	EHI52_RS00180	MHJ_RS00155
OG0000251	EHI52_RS00215	MHJ_RS00185
OG0000252	EHI52_RS00225	MHJ_RS00195
OG0000253	EHI52_RS00230	MHJ_RS00200
OG0000254	EHI52_RS00240	MHJ_RS00210
OG0000255	EHI52_RS00250	MHJ_RS00220
OG0000256	EHI52_RS00255	MHJ_RS00225
OG0000257	EHI52_RS00280	MHJ_RS00250
OG0000258	EHI52_RS00290	MHJ_RS00260
OG0000259	EHI52_RS00320	MHJ_RS00290
OG0000260	EHI52_RS00330	MHJ_RS00300
OG0000261	EHI52_RS00340	MHJ_RS00310
OG0000262	EHI52_RS00360	MHJ_RS00325
OG0000263	EHI52_RS00375	MHJ_RS00340
OG0000264	EHI52_RS00390	MHJ_RS00355
OG0000265	EHI52_RS00400	MHJ_RS00365
OG0000266	EHI52_RS00415	MHJ_RS00380
OG0000267	EHI52_RS00430	MHJ_RS00395
OG0000268	EHI52_RS00435	MHJ_RS00400
OG0000269	EHI52_RS00450	MHJ_RS00415
OG0000270	EHI52_RS03490	MHJ_RS03460
OG0000271	EHI52_RS03485	MHJ_RS03455
OG0000272	EHI52_RS03480	MHJ_RS03450
OG0000273	EHI52_RS03475	MHJ_RS03445
OG0000274	EHI52_RS03455	MHJ_RS03425
OG0000275	EHI52_RS03450	MHJ_RS03420
OG0000276	EHI52_RS03445	MHJ_RS03415
OG0000277	EHI52_RS03435	MHJ_RS03405
OG0000278	EHI52_RS03430	MHJ_RS03400
OG0000279	EHI52_RS03420	MHJ_RS03390
OG0000280	EHI52_RS03415	MHJ_RS03385
OG0000281	EHI52_RS03410	MHJ_RS03705
OG0000282	EHI52_RS03385	MHJ_RS03360
OG0000283	EHI52_RS03380	MHJ_RS03355
OG0000284	EHI52_RS03375	MHJ_RS03350
OG0000285	EHI52_RS03370	MHJ_RS03345
OG0000286	EHI52_RS02425	MHJ_RS02375
OG0000287	EHI52_RS02515	MHJ_RS02475
OG0000288	EHI52_RS02525	MHJ_RS02485
OG0000289	EHI52_RS02530	MHJ_RS02495
OG0000290	EHI52_RS02640	MHJ_RS02605
OG0000291	EHI52_RS02630	MHJ_RS02595
OG0000292	EHI52_RS02625	MHJ_RS02590
OG0000293	EHI52_RS02620	MHJ_RS02585
OG0000294	EHI52_RS02610	MHJ_RS02570
OG0000295	EHI52_RS02605	MHJ_RS02565
OG0000296	EHI52_RS02565	MHJ_RS02525
OG0000297	EHI52_RS02560	MHJ_RS02520
OG0000298	EHI52_RS00175	MHJ_RS00150
OG0000299	EHI52_RS00200	MHJ_RS00170
OG0000300	EHI52_RS00385	MHJ_RS00350
OG0000301	EHI52_RS00420	MHJ_RS00385
OG0000302	EHI52_RS00425	MHJ_RS00390
OG0000303	EHI52_RS00575	MHJ_RS00545
OG0000304	EHI52_RS01145	MHJ_RS01050
OG0000305	EHI52_RS02870	MHJ_RS02850
OG0000306	EHI52_RS02795	MHJ_RS02775
OG0000307	EHI52_RS02760	MHJ_RS02730
OG0000308	EHI52_RS02660	MHJ_RS02625
OG0000309	EHI52_RS02595	MHJ_RS02555
OG0000310	EHI52_RS02520	MHJ_RS02480
OG0000311	EHI52_RS02485	MHJ_RS02435
OG0000312	EHI52_RS02470	MHJ_RS02420
OG0000313	EHI52_RS01655	MHJ_RS01555
OG0000314	EHI52_RS01980	MHJ_RS01910
OG0000315	EHI52_RS01950	MHJ_RS01940
OG0000316	EHI52_RS01940	MHJ_RS01950
OG0000317	EHI52_RS01850	MHJ_RS02040
OG0000318	EHI52_RS01935	MHJ_RS01955
OG0000319	EHI52_RS02240	MHJ_RS02180
OG0000320	EHI52_RS02370	MHJ_RS02305
OG0000321	EHI52_RS01395	MHJ_RS01305
OG0000322	EHI52_RS01440	MHJ_RS01350
OG0000323	EHI52_RS01570	MHJ_RS01480
OG0000324	EHI52_RS02280	MHJ_RS02220
OG0000325	EHI52_RS00700	MHJ_RS00680
OG0000326	EHI52_RS00795	MHJ_RS00770
OG0000327	EHI52_RS00800	MHJ_RS00775
OG0000328	EHI52_RS00885	MHJ_RS00860
OG0000329	EHI52_RS00905	MHJ_RS00880
OG0000330	EHI52_RS01175	MHJ_RS01075
OG0000331	EHI52_RS02965	MHJ_RS02955
OG0000332	EHI52_RS03130	MHJ_RS03085
OG0000333	EHI52_RS03140	MHJ_RS03095
OG0000334	EHI52_RS03240	MHJ_RS03205
OG0000335	EHI52_RS03250	MHJ_RS03215
OG0000336	EHI52_RS03400	MHJ_RS03375
OG0000337	EHI52_RS03575	MHJ_RS03535
OG0000338	EHI52_RS03615	MHJ_RS03575
OG0000339	EHI52_RS02340	MHJ_RS02280
OG0000340	EHI52_RS01375	MHJ_RS01285
OG0000341	EHI52_RS02300	MHJ_RS02240
OG0000342	EHI52_RS00730	MHJ_RS00710
OG0000343	EHI52_RS03150	MHJ_RS03105
OG0000344	EHI52_RS00590	MHJ_RS00560
OG0000345	EHI52_RS01090	MHJ_RS00995
OG0000346	EHI52_RS03405	MHJ_RS03380
OG0000347	EHI52_RS01465	MHJ_RS01375
OG0000348	EHI52_RS00805	MHJ_RS00780
OG0000349	EHI52_RS03465	MHJ_RS03435
OG0000350	EHI52_RS02750	MHJ_RS02720
OG0000351	EHI52_RS00510	MHJ_RS00475
OG0000352	EHI52_RS02000	MHJ_RS01885
OG0000353	EHI52_RS01435	MHJ_RS01345
OG0000354	EHI52_RS00650	MHJ_RS00620
OG0000355	EHI52_RS02030	MHJ_RS01855
OG0000356	EHI52_RS01945	MHJ_RS01945
OG0000357	EHI52_RS03110	MHJ_RS03065
OG0000358	EHI52_RS03115	MHJ_RS03070
OG0000359	EHI52_RS00775	MHJ_RS00750
OG0000360	EHI52_RS00285	MHJ_RS00255
OG0000361	EHI52_RS00315	MHJ_RS00285
OG0000362	EHI52_RS02540	MHJ_RS02500
OG0000363	EHI52_RS01505	MHJ_RS03840
OG0000364	EHI52_RS03790, EHI52_RS02055	MHJ_RS03765
OG0000365	EHI52_RS01905	MHJ_RS01985
OG0000366	EHI52_RS01880	MHJ_RS02010
OG0000367	EHI52_RS01870	MHJ_RS02020
OG0000368	EHI52_RS00060	MHJ_RS00060
OG0000369	EHI52_RS00025	MHJ_RS00025
OG0000370	EHI52_RS00020	MHJ_RS00020
OG0000371	EHI52_RS00015	MHJ_RS00015
OG0000372	EHI52_RS00010	MHJ_RS00010
OG0000373	EHI52_RS03605	MHJ_RS03565
OG0000374	EHI52_RS03595	MHJ_RS03555
OG0000375	EHI52_RS02235	MHJ_RS02175
OG0000376	EHI52_RS02385	MHJ_RS02320
OG0000377	EHI52_RS02375	MHJ_RS02310
OG0000378	EHI52_RS01355	MHJ_RS01265
OG0000379	EHI52_RS01430	MHJ_RS01340
OG0000380	EHI52_RS01455	MHJ_RS01365
OG0000381	EHI52_RS01495	MHJ_RS01405
OG0000382	EHI52_RS01525	MHJ_RS01435
OG0000383	EHI52_RS01565	MHJ_RS01475
OG0000384	EHI52_RS00530	MHJ_RS00500
OG0000385	EHI52_RS00535	MHJ_RS00505
OG0000386	EHI52_RS00555	MHJ_RS00525
OG0000387	EHI52_RS00580	MHJ_RS00550
OG0000388	EHI52_RS00585	MHJ_RS00555
OG0000389	EHI52_RS00630	MHJ_RS00600
OG0000390	EHI52_RS02890	MHJ_RS02875
OG0000391	EHI52_RS02880	MHJ_RS02865
OG0000392	EHI52_RS02855	MHJ_RS02835
OG0000393	EHI52_RS02800	MHJ_RS02780
OG0000394	EHI52_RS02725	MHJ_RS02695
OG0000395	EHI52_RS02720	MHJ_RS02690
OG0000396	EHI52_RS02430	MHJ_RS02380
OG0000397	EHI52_RS02015	MHJ_RS01870
OG0000398	EHI52_RS02010	MHJ_RS01875
OG0000399	EHI52_RS01965	MHJ_RS01925
OG0000400	EHI52_RS03070	MHJ_RS03030
OG0000401	EHI52_RS03135	MHJ_RS03090
OG0000402	EHI52_RS03145	MHJ_RS03100
OG0000403	EHI52_RS03155	MHJ_RS03110
OG0000404	EHI52_RS03185	MHJ_RS03140
OG0000405	EHI52_RS03200	MHJ_RS03155
OG0000406	EHI52_RS03255	MHJ_RS03220
OG0000407	EHI52_RS03260	MHJ_RS03225
OG0000408	EHI52_RS03265	MHJ_RS03230
