ABLE99_RS01060 WP_406823237.1
ABLE99_RS01065 WP_011290071.1
ABLE99_RS01070 WP_406823238.1
ABLE99_RS01075 WP_011206016.1
ABLE99_RS01080 WP_094521603.1
ABLE99_RS01085 WP_011206014.1
ABLE99_RS01090 WP_160584674.1
ABLE99_RS01095 WP_146379532.1
ABLE99_RS01100 WP_041361598.1
ABLE99_RS01105 WP_020835610.1
ABLE99_RS01110 WP_020835611.1
ABLE99_RS01115 WP_020835612.1
ABLE99_RS01120 WP_406823239.1
ABLE99_RS01125 WP_406823240.1
ABLE99_RS01130 WP_011206005.1
ABLE99_RS01135 WP_020835615.1
ABLE99_RS01140 WP_044272373.1
ABLE99_RS01145 WP_160606769.1
ABLE99_RS01150 WP_044272377.1
ABLE99_RS01155 WP_228366127.1
ABLE99_RS01160 WP_348602763.1
ABLE99_RS01165 WP_406823241.1
ABLE99_RS01170 WP_094521610.1
ABLE99_RS01175 WP_020835622.1
ABLE99_RS01180 WP_158209054.1
ABLE99_RS01185 WP_404912441.1
ABLE99_RS01190 WP_406823242.1
ABLE99_RS01195 WP_406823243.1
ABLE99_RS01200 WP_406823294.1
ABLE99_RS01205 WP_406823244.1
ABLE99_RS01210 WP_406823245.1
ABLE99_RS01215 WP_406823246.1
ABLE99_RS01220 WP_011205986.1
ABLE99_RS01225 WP_308507042.1
ABLE99_RS01230 WP_404924434.1
ABLE99_RS01235 WP_406823247.1
ABLE99_RS01240 WP_406823248.1
ABLE99_RS01245 WP_406823249.1
ABLE99_RS01250 WP_406823250.1
ABLE99_RS01255 WP_041361605.1
ABLE99_RS01260 WP_406823251.1
ABLE99_RS01265 WP_011290103.1
ABLE99_RS01270 WP_044272388.1
ABLE99_RS01275 WP_011284018.1
ABLE99_RS01280 WP_011205973.1
ABLE99_RS01285 WP_044272391.1
ABLE99_RS01290 WP_020835635.1
ABLE99_RS01295 WP_020835636.1
ABLE99_RS01300 WP_011205969.1
ABLE99_RS01305 WP_011290108.1
ABLE99_RS01310 WP_160585678.1
ABLE99_RS01315 WP_020835639.1
ABLE99_RS01320 WP_011205965.1
ABLE99_RS01325 WP_406823252.1
ABLE99_RS01330 WP_044284614.1
ABLE99_RS01335 WP_406823253.1
ABLE99_RS01340 WP_160607804.1
ABLE99_RS01345 WP_406823254.1
ABLE99_RS01350 WP_011284032.1
ABLE99_RS01355 WP_020835643.1
ABLE99_RS01360 WP_160588252.1
ABLE99_RS01365 WP_020835645.1
ABLE99_RS01370 WP_011205955.1
ABLE99_RS01375 WP_011205954.1
ABLE99_RS01380 WP_011290118.1
ABLE99_RS01385 WP_011205952.1
ABLE99_RS01390 WP_348572060.1
ABLE99_RS01395 WP_160606641.1
ABLE99_RS01400 WP_348572061.1
ABLE99_RS01405 WP_011290122.1
ABLE99_RS01410 WP_269076322.1
ABLE99_RS01415 WP_406823255.1
ABLE99_RS01420 WP_406823256.1
ABLE99_RS01425 WP_014579732.1
ABLE99_RS01430 WP_406823257.1
ABLE99_RS01435 WP_011284046.1
ABLE99_RS01465 WP_011284047.1
ABLE99_RS01470 WP_014579735.1
ABLE99_RS01475 WP_044284744.1
ABLE99_RS01480 WP_160588229.1
ABLE99_RS01485 WP_243216061.1
ABLE99_RS01490 WP_348572074.1
ABLE99_RS01495 WP_011290131.1
ABLE99_RS01500 WP_020835657.1
ABLE99_RS01505 WP_011284055.1
ABLE99_RS01510 WP_011284056.1
ABLE99_RS01515 WP_011205932.1
ABLE99_RS01520 WP_014579742.1
ABLE99_RS01525 WP_240536643.1
ABLE99_RS01530 WP_225973031.1
ABLE99_RS01535 WP_135618726.1
ABLE99_RS01540 WP_406823295.1
ABLE99_RS01545 WP_160606621.1
ABLE99_RS01550 WP_011206141.1
ABLE99_RS01555 WP_348572080.1
ABLE99_RS01560 WP_406823258.1
ABLE99_RS01565 WP_406823259.1
ABLE99_RS01570 WP_406823260.1
ABLE99_RS01575 WP_406823261.1
ABLE99_RS01580 WP_406823262.1
ABLE99_RS01585 WP_406823263.1
ABLE99_RS01590 WP_406823264.1
ABLE99_RS01595 WP_406823265.1
ABLE99_RS01600 WP_011284072.1
ABLE99_RS01605 WP_406823296.1
ABLE99_RS01610 WP_406823266.1
ABLE99_RS01615 WP_160607943.1
ABLE99_RS01620 WP_406823267.1
ABLE99_RS01625 WP_081430780.1
ABLE99_RS01630 WP_406823268.1
ABLE99_RS01635 WP_406823269.1
ABLE99_RS01640 WP_406823270.1
ABLE99_RS01645 WP_348602814.1
ABLE99_RS01650 WP_014579758.1
ABLE99_RS01655 WP_348602859.1
ABLE99_RS01660 WP_160606775.1
ABLE99_RS01665 WP_406823271.1
ABLE99_RS01670 WP_406823272.1
ABLE99_RS01675 WP_406823273.1
ABLE99_RS01680 WP_371863323.1
ABLE99_RS01685 WP_406823274.1
ABLE99_RS01690 WP_406823275.1
ABLE99_RS01695 WP_348602819.1
ABLE99_RS01700 WP_348602820.1
ABLE99_RS01705 WP_406823276.1
ABLE99_RS01710 WP_160587871.1
ABLE99_RS01715 WP_406823277.1
ABLE99_RS01720 WP_011206179.1
ABLE99_RS01725 WP_011284098.1
ABLE99_RS01730 WP_020835695.1
ABLE99_RS01735 WP_011284100.1
ABLE99_RS01740 WP_146379618.1
ABLE99_RS01745 WP_406823278.1
ABLE99_RS01750 WP_406823279.1
ABLE99_RS01755 WP_406823280.1
ABLE99_RS01760 WP_406823281.1
ABLE99_RS01765 WP_157696717.1
ABLE99_RS01770 WP_406823282.1
ABLE99_RS01775 WP_406823283.1
ABLE99_RS01780 WP_135618818.1
ABLE99_RS01790 WP_406823284.1
ABLE99_RS01795 WP_406823285.1
ABLE99_RS01800 WP_160585026.1
ABLE99_RS01805 WP_258555395.1
ABLE99_RS01810 WP_258555396.1
ABLE99_RS01825 WP_011206194.1
ABLE99_RS01830 WP_014579804.1
ABLE99_RS01835 WP_011206196.1
ABLE99_RS01840 WP_146379611.1
ABLE99_RS01845 WP_406823286.1
ABLE99_RS01850 WP_406823287.1
ABLE99_RS01855 WP_011206200.1
ABLE99_RS01860 WP_406823288.1
ABLE99_RS01865 WP_406823289.1
ABLE99_RS01870 WP_406823290.1
ABLE99_RS01875 WP_160590029.1
ABLE99_RS01880 WP_406823291.1
ABLE99_RS01885 WP_348571612.1
ABLE99_RS01890 WP_011206207.1
ABLE99_RS01895 WP_135618848.1
ABLE99_RS01900 WP_011290197.1
ABLE99_RS01905 WP_308507057.1
ABLE99_RS01910 WP_179696008.1
ABLE99_RS01915 WP_406823292.1
ABLE99_RS01920 WP_406823293.1
ABLE99_RS01925 WP_011206214.1
ABLE99_RS01930 WP_406823087.1
ABLE99_RS01935 WP_014579823.1
ABLE99_RS01940 WP_014579824.1
ABLE99_RS01945 WP_011206218.1
ABLE99_RS01950 WP_406823088.1
ABLE99_RS01955 WP_406823089.1
ABLE99_RS01960 WP_406823090.1
ABLE99_RS01965 WP_011284142.1
ABLE99_RS01970 WP_011206223.1
ABLE99_RS01975 WP_011206224.1
ABLE99_RS01980 WP_406823091.1
ABLE99_RS01985 WP_406823092.1
ABLE99_RS01990 WP_348602501.1
ABLE99_RS01995 WP_020835732.1
ABLE99_RS02000 WP_406823093.1
ABLE99_RS02005 WP_146379589.1
ABLE99_RS02010 WP_011290212.1
ABLE99_RS02015 WP_011290213.1
ABLE99_RS02030 WP_406823094.1
ABLE99_RS02035 WP_160606963.1
ABLE99_RS02040 WP_258555377.1
ABLE99_RS02045 WP_160588364.1
ABLE99_RS02050 WP_406823095.1
ABLE99_RS02055 WP_011206239.1
ABLE99_RS02060 WP_146379628.1
ABLE99_RS02065 WP_406823096.1
ABLE99_RS02070 WP_094521691.1
ABLE99_RS02075 WP_406823097.1
ABLE99_RS02080 WP_146379631.1
ABLE99_RS02085 WP_225972975.1
ABLE99_RS02090 WP_011284169.1
ABLE99_RS02095 WP_192894278.1
ABLE99_RS02100 WP_160606848.1
ABLE99_RS02105 WP_094521693.1
ABLE99_RS02110 WP_020835755.1
ABLE99_RS02115 WP_406823098.1
ABLE99_RS02120 WP_406823099.1
ABLE99_RS02125 WP_011290226.1
ABLE99_RS02130 WP_146379637.1
ABLE99_RS02135 WP_406823100.1
ABLE99_RS02140 WP_406823101.1
ABLE99_RS02145 WP_406823102.1
ABLE99_RS02150 WP_406823103.1
ABLE99_RS02155 WP_406823104.1
ABLE99_RS02160 WP_011284157.1
ABLE99_RS02165 WP_002557993.1
ABLE99_RS02170 WP_002557992.1
ABLE99_RS02175 WP_406823105.1
ABLE99_RS02180 WP_020835740.1
ABLE99_RS02185 WP_406823106.1
ABLE99_RS02190 WP_406823107.1
ABLE99_RS02195 WP_406823297.1
ABLE99_RS02200 WP_406823108.1
ABLE99_RS02205 WP_002557988.1
ABLE99_RS02210 WP_406823109.1
ABLE99_RS02215 WP_406823110.1
ABLE99_RS02220 WP_406823111.1
ABLE99_RS02225 WP_406823112.1
ABLE99_RS02230 WP_225972978.1
ABLE99_RS02235 WP_011290245.1
ABLE99_RS02240 WP_406823113.1
ABLE99_RS02245 WP_258555507.1
ABLE99_RS02250 WP_160585298.1
ABLE99_RS02255 WP_406823114.1
ABLE99_RS02260 WP_406823115.1
ABLE99_RS02265 WP_406823116.1
ABLE99_RS02270 WP_011206271.1
ABLE99_RS02275 WP_406823117.1
ABLE99_RS02280 WP_406823118.1
ABLE99_RS02285 WP_404924516.1
ABLE99_RS02290 WP_406823119.1
ABLE99_RS02295 WP_406823120.1
ABLE99_RS02300 WP_406823121.1
ABLE99_RS02305 WP_081450695.1
ABLE99_RS02310 WP_406823122.1
ABLE99_RS02315 WP_406823123.1
ABLE99_RS02320 WP_406823124.1
ABLE99_RS02325 WP_044272526.1
ABLE99_RS02330 WP_348571728.1
ABLE99_RS02340 WP_406823125.1
ABLE99_RS02345 WP_135619210.1
ABLE99_RS02350 WP_406823126.1
ABLE99_RS02355 WP_406823127.1
ABLE99_RS02360 WP_406823128.1
ABLE99_RS02365 WP_011206289.1
ABLE99_RS02370 WP_406823129.1
ABLE99_RS02375 WP_348602541.1
ABLE99_RS02380 WP_348602542.1
ABLE99_RS02385 WP_014579885.1
ABLE99_RS02400 WP_406823130.1
ABLE99_RS02405 WP_406823131.1
ABLE99_RS02410 WP_406823132.1
ABLE99_RS02415 WP_406823133.1
ABLE99_RS02420 WP_406823134.1
ABLE99_RS02425 WP_348602548.1
ABLE99_RS02430 WP_348602549.1
ABLE99_RS02435 WP_348602550.1
ABLE99_RS02440 WP_348602551.1
ABLE99_RS02445 WP_348602552.1
ABLE99_RS02450 WP_011206304.1
ABLE99_RS02455 WP_020835797.1
ABLE99_RS02460 WP_406823135.1
ABLE99_RS02465 WP_041361673.1
ABLE99_RS02470 WP_406823136.1
ABLE99_RS02475 WP_094521720.1
ABLE99_RS02480 WP_406823137.1
ABLE99_RS02485 WP_406823138.1
ABLE99_RS02490 WP_406823139.1
ABLE99_RS02495 WP_406823140.1
ABLE99_RS02500 WP_406823141.1
ABLE99_RS02505 WP_011206315.1
ABLE99_RS02510 WP_406823142.1
ABLE99_RS02515 WP_348571773.1
ABLE99_RS02520 WP_348571776.1
ABLE99_RS02525 WP_044284681.1
ABLE99_RS02530 WP_011206320.1
ABLE99_RS02535 WP_406823143.1
ABLE99_RS02540 WP_011290297.1
ABLE99_RS02545 WP_011290298.1
ABLE99_RS02550 WP_406823144.1
ABLE99_RS02555 WP_011290300.1
ABLE99_RS02560 WP_020835811.1
ABLE99_RS02565 WP_406823145.1
ABLE99_RS02570 WP_406823146.1
ABLE99_RS02575 WP_406823147.1
ABLE99_RS02580 WP_011206330.1
ABLE99_RS02585 WP_406823148.1
ABLE99_RS02590 WP_406823149.1
ABLE99_RS02595 WP_406823150.1
ABLE99_RS02600 WP_020835818.1
ABLE99_RS02605 WP_406823151.1
ABLE99_RS02610 WP_406823151.1
ABLE99_RS02615 WP_020835820.1
ABLE99_RS02620 WP_406823152.1
ABLE99_RS02625 WP_014579921.1
ABLE99_RS02630 WP_011290314.1
ABLE99_RS02635 WP_406823153.1
ABLE99_RS02640 WP_406823154.1
ABLE99_RS02645 WP_406823155.1
ABLE99_RS02650 WP_406823156.1
ABLE99_RS02655 WP_011206345.1
ABLE99_RS02660 WP_348602578.1
ABLE99_RS02665 WP_406823157.1
ABLE99_RS02670 WP_406823158.1
ABLE99_RS02675 WP_020835828.1
ABLE99_RS02680 WP_406823159.1
ABLE99_RS02685 WP_258555240.1
ABLE99_RS02690 WP_240536609.1
ABLE99_RS02695 WP_258555242.1
