E5E95_RS00915 WP_135618601.1
E5E95_RS00920 WP_135618603.1
E5E95_RS00925 WP_135618604.1
E5E95_RS00930 WP_135618606.1
E5E95_RS00935 WP_135618608.1
E5E95_RS03960 WP_225973020.1
E5E95_RS03965 WP_220190648.1
E5E95_RS00945 WP_220190648.1
E5E95_RS00950 WP_220190648.1
E5E95_RS00955 WP_135618610.1
E5E95_RS00960 WP_011206049.1
E5E95_RS00965 WP_011206048.1
E5E95_RS00970 WP_011283963.1
E5E95_RS00975 WP_011206047.1
E5E95_RS00980 WP_011206046.1
E5E95_RS00985 WP_011283965.1
E5E95_RS00990 WP_135618612.1
E5E95_RS00995 WP_135618612.1
E5E95_RS01000 WP_011206042.1
E5E95_RS01005 WP_228729170.1
E5E95_RS01010 WP_135618616.1
E5E95_RS01015 WP_011206039.1
E5E95_RS01020 WP_011206038.1
E5E95_RS01025 WP_041361589.1
E5E95_RS01030 WP_135618618.1
E5E95_RS01035 WP_011206035.1
E5E95_RS01040 WP_014579611.1
E5E95_RS01045 WP_135618620.1
E5E95_RS01050 WP_011206032.1
E5E95_RS01055 WP_011290064.1
E5E95_RS04285 WP_135618622.1
E5E95_RS01065 WP_011206028.1
E5E95_RS01070 WP_014579605.1
E5E95_RS01075 WP_014579604.1
E5E95_RS01080 WP_011206025.1
E5E95_RS01085 WP_011290067.1
E5E95_RS01090 WP_014579601.1
E5E95_RS03850 WP_167871263.1
E5E95_RS01095 WP_011283978.1
E5E95_RS01100 WP_135618627.1
E5E95_RS01105 WP_135618629.1
E5E95_RS01110 WP_011290071.1
E5E95_RS01115 WP_135618631.1
E5E95_RS01120 WP_011206016.1
E5E95_RS01125 WP_240536365.1
E5E95_RS01130 WP_011206014.1
E5E95_RS01135 WP_020835607.1
E5E95_RS01140 WP_135618633.1
E5E95_RS01145 WP_135618635.1
E5E95_RS01150 WP_020835610.1
E5E95_RS01155 WP_135618637.1
E5E95_RS01160 WP_135618639.1
E5E95_RS01165 WP_135618641.1
E5E95_RS01175 WP_011206006.1
E5E95_RS01180 WP_011206005.1
E5E95_RS01185 WP_135618643.1
E5E95_RS01190 WP_014579672.1
E5E95_RS01195 WP_135618644.1
E5E95_RS01200 WP_020835619.1
E5E95_RS01205 WP_240536366.1
E5E95_RS01210 WP_135618648.1
E5E95_RS01215 WP_240536367.1
E5E95_RS01220 WP_135618652.1
E5E95_RS01225 WP_011283999.1
E5E95_RS01230 WP_014579695.1
E5E95_RS03855 WP_158209054.1
E5E95_RS01235 WP_011205992.1
E5E95_RS01240 WP_135618654.1
E5E95_RS01245 WP_135618656.1
E5E95_RS01250 WP_135618658.1
E5E95_RS01255 WP_135618660.1
E5E95_RS01260 WP_135618662.1
E5E95_RS01265 WP_135618664.1
E5E95_RS01270 WP_240536368.1
E5E95_RS03970 WP_240536369.1
E5E95_RS03975 WP_240536371.1
E5E95_RS01280 WP_011205983.1
E5E95_RS01285 WP_135618666.1
E5E95_RS01290 WP_135618668.1
E5E95_RS01295 WP_237697234.1
E5E95_RS01300 WP_193325079.1
E5E95_RS03980 WP_240536375.1
E5E95_RS01310 WP_135618672.1
E5E95_RS01315 WP_135618674.1
E5E95_RS01320 WP_135618676.1
E5E95_RS01325 WP_014579714.1
E5E95_RS01330 WP_011205973.1
E5E95_RS01335 WP_135618678.1
E5E95_RS01340 WP_135618680.1
E5E95_RS01345 WP_135618682.1
E5E95_RS01350 WP_011205969.1
E5E95_RS01355 WP_228729171.1
E5E95_RS01360 WP_135618686.1
E5E95_RS01365 WP_011205966.1
E5E95_RS01370 WP_011205965.1
E5E95_RS01375 WP_011284027.1
E5E95_RS01380 WP_044284614.1
E5E95_RS01385 WP_011205962.1
E5E95_RS01390 WP_135618688.1
E5E95_RS01395 WP_020835642.1
E5E95_RS01400 WP_011284032.1
E5E95_RS01405 WP_135618690.1
E5E95_RS01410 WP_135618693.1
E5E95_RS01415 WP_020835645.1
E5E95_RS01420 WP_135618695.1
E5E95_RS01425 WP_011205954.1
E5E95_RS01430 WP_011290118.1
E5E95_RS01435 WP_011205952.1
E5E95_RS01440 WP_135618697.1
E5E95_RS01445 WP_011205950.1
E5E95_RS01450 WP_135618699.1
E5E95_RS01455 WP_135618701.1
E5E95_RS03985 WP_276310470.1
E5E95_RS01465 WP_135618705.1
E5E95_RS01470 WP_135618707.1
E5E95_RS01475 WP_020835651.1
E5E95_RS01480 WP_135618709.1
E5E95_RS01485 WP_011284046.1
E5E95_RS01515 WP_135618710.1
E5E95_RS01520 WP_014579735.1
E5E95_RS01525 WP_135618712.1
E5E95_RS01530 WP_135618714.1
E5E95_RS01535 WP_135618716.1
E5E95_RS01540 WP_135618718.1
E5E95_RS01545 WP_011290131.1
E5E95_RS01550 WP_135618720.1
E5E95_RS01555 WP_011284055.1
E5E95_RS01560 WP_011284056.1
E5E95_RS01565 WP_011205932.1
E5E95_RS01570 WP_135618722.1
E5E95_RS01575 WP_240536378.1
E5E95_RS03990 WP_240536381.1
E5E95_RS01580 WP_240536382.1
E5E95_RS01585 WP_240536383.1
E5E95_RS01590 WP_240536383.1
E5E95_RS01595 WP_135618726.1
E5E95_RS03995 WP_135618726.1
E5E95_RS04000 WP_240536407.1
E5E95_RS01610 WP_020835661.1
E5E95_RS01615 WP_135618730.1
E5E95_RS01620 WP_011206141.1
E5E95_RS01625 WP_011284063.1
E5E95_RS01630 WP_135618732.1
E5E95_RS01635 WP_135618734.1
E5E95_RS01645 WP_167871264.1
E5E95_RS01650 WP_135618739.1
E5E95_RS01655 WP_135618740.1
E5E95_RS01660 WP_240536387.1
E5E95_RS01665 WP_135618741.1
E5E95_RS01670 WP_135618742.1
E5E95_RS01675 WP_135618743.1
E5E95_RS01680 WP_240536325.1
E5E95_RS01690 WP_240536324.1
E5E95_RS01695 WP_135618745.1
E5E95_RS01700 WP_135618747.1
E5E95_RS01705 WP_135618749.1
E5E95_RS01710 WP_135618751.1
E5E95_RS01715 WP_135618753.1
E5E95_RS01720 WP_135618754.1
E5E95_RS01725 WP_135618756.1
E5E95_RS01735 WP_135618759.1
E5E95_RS04195 WP_269076340.1
E5E95_RS01740 WP_135618761.1
E5E95_RS01745 WP_135618763.1
E5E95_RS03905 WP_240536388.1
E5E95_RS01755 WP_228729172.1
E5E95_RS01760 WP_011206153.1
E5E95_RS01765 WP_011206153.1
E5E95_RS01770 WP_135618767.1
E5E95_RS01775 WP_135618769.1
E5E95_RS01780 WP_044284628.1
E5E95_RS04290 WP_081430780.1
E5E95_RS01790 WP_135618771.1
E5E95_RS01795 WP_135618773.1
E5E95_RS01800 WP_135618775.1
E5E95_RS01805 WP_135618777.1
E5E95_RS01810 WP_011206161.1
E5E95_RS01815 WP_135619192.1
E5E95_RS01820 WP_135618779.1
E5E95_RS01825 WP_135618781.1
E5E95_RS01830 WP_135618783.1
E5E95_RS01835 WP_334199108.1
E5E95_RS01840 WP_135618787.1
E5E95_RS01845 WP_135618789.1
E5E95_RS01850 WP_228729173.1
E5E95_RS01855 WP_011206170.1
E5E95_RS04010 WP_232039520.1
E5E95_RS01865 WP_135618793.1
E5E95_RS01870 WP_135618795.1
E5E95_RS01875 WP_135618797.1
E5E95_RS01880 WP_240536391.1
E5E95_RS01885 WP_135618801.1
E5E95_RS01890 WP_011206176.1
E5E95_RS01895 WP_135618803.1
E5E95_RS01900 WP_135618805.1
E5E95_RS04295 WP_308507051.1
E5E95_RS01910 WP_135618806.1
E5E95_RS01915 WP_135618807.1
E5E95_RS01920 WP_135618808.1
E5E95_RS01925 WP_135618810.1
E5E95_RS01930 WP_011206182.1
E5E95_RS01935 WP_135618812.1
E5E95_RS01940 WP_135618814.1
E5E95_RS01945 WP_014579790.1
