MHL_RS03965 WP_020835617.1
MHL_RS03970 WP_020835618.1
MHL_RS01265 WP_020835619.1
MHL_RS01270 WP_020835620.1
MHL_RS01285 WP_020835621.1
MHL_RS01290 WP_011283999.1
MHL_RS01295 WP_020835622.1
MHL_RS03830 WP_158209054.1
MHL_RS01300 WP_011290088.1
MHL_RS01305 WP_011290089.1
MHL_RS01310 WP_011290090.1
MHL_RS01315 WP_020835624.1
MHL_RS01320 WP_020835625.1
MHL_RS01325 WP_011290093.1
MHL_RS01330 WP_011205986.1
MHL_RS01335 WP_020835626.1
MHL_RS03975 WP_020835627.1
MHL_RS01345 WP_011205983.1
MHL_RS01350 WP_020835628.1
MHL_RS01355 WP_011290098.1
MHL_RS03980 WP_020835629.1
MHL_RS01370 WP_041361605.1
MHL_RS01375 WP_020835632.1
MHL_RS01380 WP_011290103.1
MHL_RS01385 WP_020835633.1
MHL_RS01390 WP_011284018.1
MHL_RS01395 WP_011205973.1
MHL_RS01400 WP_020835634.1
MHL_RS01405 WP_020835635.1
MHL_RS01410 WP_020835636.1
MHL_RS01415 WP_011205969.1
MHL_RS01420 WP_011290108.1
MHL_RS01425 WP_020835638.1
MHL_RS01430 WP_020835639.1
MHL_RS01435 WP_011205965.1
MHL_RS01440 WP_011284027.1
MHL_RS01445 WP_020835640.1
MHL_RS01450 WP_011205962.1
MHL_RS01455 WP_020835641.1
MHL_RS01460 WP_020835642.1
MHL_RS01465 WP_011284032.1
MHL_RS01470 WP_020835643.1
MHL_RS01475 WP_020835644.1
MHL_RS01480 WP_020835645.1
MHL_RS01485 WP_011205955.1
MHL_RS01490 WP_011205954.1
MHL_RS01495 WP_011290118.1
MHL_RS01500 WP_011205952.1
MHL_RS01505 WP_020835646.1
MHL_RS01510 WP_011290120.1
MHL_RS01515 WP_020835647.1
MHL_RS01520 WP_011290122.1
MHL_RS03985 WP_269076336.1
MHL_RS01530 WP_020835649.1
MHL_RS01535 WP_020835650.1
MHL_RS01540 WP_020835651.1
MHL_RS01545 WP_020835652.1
MHL_RS01550 WP_011284046.1
MHL_RS01580 WP_011284047.1
MHL_RS01585 WP_014579735.1
MHL_RS01590 WP_041361746.1
MHL_RS01595 WP_011205939.1
MHL_RS01600 WP_020835655.1
MHL_RS01605 WP_020835656.1
MHL_RS01610 WP_011290131.1
MHL_RS01615 WP_020835657.1
MHL_RS01620 WP_011284055.1
MHL_RS01625 WP_011284056.1
MHL_RS01630 WP_011205932.1
MHL_RS01635 WP_011205931.1
MHL_RS03990 WP_135618763.1
MHL_RS01645 WP_135618763.1
MHL_RS01650 WP_041361748.1
MHL_RS01655 WP_236607968.1
MHL_RS01660 WP_020835660.1
MHL_RS04000 WP_020835660.1
MHL_RS01675 WP_020835662.1
MHL_RS01680 WP_011206141.1
MHL_RS01685 WP_011290137.1
MHL_RS01690 WP_020835663.1
MHL_RS01705 WP_041361612.1
MHL_RS01710 WP_020835667.1
MHL_RS01715 WP_236607969.1
MHL_RS01720 WP_041361615.1
MHL_RS03890 WP_041361617.1
MHL_RS04180 WP_041361617.1
MHL_RS01735 WP_011290145.1
MHL_RS03700 WP_011290145.1
MHL_RS01740 WP_011290146.1
