Orthogroup	MFC_MF33_genes	MHP_NCTC10127_genes
OG0000053	DR085_RS03740	EXC50_RS02640
OG0000054	DR085_RS00960	EXC50_RS04250
OG0000056	DR085_RS02435	EXC50_RS02375
OG0000057	DR085_RS00520	EXC50_RS01765
OG0000062	DR085_RS02230	EXC50_RS02425
OG0000063	DR085_RS02225	EXC50_RS02420
OG0000064	DR085_RS02215	EXC50_RS02410
OG0000065	DR085_RS01895	EXC50_RS01100
OG0000066	DR085_RS01765	EXC50_RS02735
OG0000068	DR085_RS00460	EXC50_RS03440
OG0000069	DR085_RS00630	EXC50_RS01655
OG0000070	DR085_RS00940	EXC50_RS03840, EXC50_RS01325
OG0000071	DR085_RS01590	EXC50_RS02110
OG0000072	DR085_RS03730	EXC50_RS02115
OG0000073	DR085_RS02070	EXC50_RS03380
OG0000074	DR085_RS03690	EXC50_RS03185
OG0000075	DR085_RS00175	EXC50_RS00355
OG0000076	DR085_RS00190	EXC50_RS00370
OG0000077	DR085_RS00275	EXC50_RS03640
OG0000078	DR085_RS00755	EXC50_RS00635
OG0000079	DR085_RS00860	EXC50_RS01405
OG0000080	DR085_RS03275	EXC50_RS03930
OG0000081	DR085_RS00170	EXC50_RS00350
OG0000082	DR085_RS00920	EXC50_RS01250
OG0000083	DR085_RS03000	EXC50_RS00965
OG0000084	DR085_RS02830	EXC50_RS00990
OG0000085	DR085_RS02835	EXC50_RS00995
OG0000086	DR085_RS03880	EXC50_RS01005
OG0000087	DR085_RS02860	EXC50_RS01020
OG0000088	DR085_RS02865	EXC50_RS01025
OG0000089	DR085_RS02875	EXC50_RS01035
OG0000090	DR085_RS02335	EXC50_RS00070
OG0000091	DR085_RS02320	EXC50_RS00055
OG0000092	DR085_RS02305	EXC50_RS00040
OG0000093	DR085_RS02300	EXC50_RS00035
OG0000094	DR085_RS02295	EXC50_RS00030
OG0000095	DR085_RS02270	EXC50_RS00005
OG0000096	DR085_RS02265	EXC50_RS02460
OG0000097	DR085_RS02245	EXC50_RS02440
OG0000098	DR085_RS02235	EXC50_RS02430
OG0000099	DR085_RS02430	EXC50_RS02380
OG0000100	DR085_RS02440	EXC50_RS02365
OG0000101	DR085_RS02445	EXC50_RS02360
OG0000102	DR085_RS02455	EXC50_RS00660
OG0000103	DR085_RS01930	EXC50_RS01065
OG0000104	DR085_RS01925	EXC50_RS01070
OG0000105	DR085_RS01910	EXC50_RS01085
OG0000106	DR085_RS01900	EXC50_RS01095
OG0000107	DR085_RS01890	EXC50_RS01105
OG0000108	DR085_RS01885	EXC50_RS01110
OG0000109	DR085_RS01880	EXC50_RS01115
OG0000110	DR085_RS01875	EXC50_RS01240
OG0000111	DR085_RS01870	EXC50_RS01235
OG0000112	DR085_RS01860	EXC50_RS01225
OG0000113	DR085_RS03750	EXC50_RS01205
OG0000114	DR085_RS01835	EXC50_RS01195
OG0000115	DR085_RS01825	EXC50_RS01180
OG0000116	DR085_RS01815	EXC50_RS02790
OG0000117	DR085_RS01810	EXC50_RS02785
OG0000118	DR085_RS01780	EXC50_RS02750
OG0000119	DR085_RS01775	EXC50_RS02745
OG0000120	DR085_RS01760	EXC50_RS02730
OG0000121	DR085_RS01735	EXC50_RS02705
OG0000122	DR085_RS01730	EXC50_RS02700
OG0000123	DR085_RS01710	EXC50_RS02680
OG0000124	DR085_RS01705	EXC50_RS02675
OG0000125	DR085_RS01700	EXC50_RS02670
OG0000126	DR085_RS01690	EXC50_RS02660
OG0000127	DR085_RS01680	EXC50_RS02650
OG0000128	DR085_RS01665	EXC50_RS02635
OG0000129	DR085_RS01660	EXC50_RS02630
OG0000130	DR085_RS01650	EXC50_RS02620
OG0000131	DR085_RS01620	EXC50_RS02590
OG0000132	DR085_RS03735	EXC50_RS02575
OG0000133	DR085_RS00350	EXC50_RS03555
OG0000134	DR085_RS03640	EXC50_RS03550
OG0000135	DR085_RS00370	EXC50_RS03535
OG0000136	DR085_RS00375	EXC50_RS03530
OG0000137	DR085_RS00405	EXC50_RS03500
OG0000138	DR085_RS00435	EXC50_RS03465
OG0000139	DR085_RS00465	EXC50_RS03435
OG0000140	DR085_RS00470	EXC50_RS03430
OG0000141	DR085_RS00510	EXC50_RS01775
OG0000142	DR085_RS03655	EXC50_RS01770
OG0000143	DR085_RS00540	EXC50_RS01745
OG0000144	DR085_RS00550	EXC50_RS01735
OG0000145	DR085_RS00560	EXC50_RS01725
OG0000146	DR085_RS00570	EXC50_RS01715
OG0000147	DR085_RS00575	EXC50_RS01710
OG0000148	DR085_RS00590	EXC50_RS01695
OG0000149	DR085_RS00600	EXC50_RS01685
OG0000150	DR085_RS00615	EXC50_RS01670
OG0000151	DR085_RS00670	EXC50_RS01625
OG0000152	DR085_RS00675	EXC50_RS01620
OG0000153	DR085_RS00680	EXC50_RS01615
OG0000154	DR085_RS00690	EXC50_RS01605
OG0000155	DR085_RS00710	EXC50_RS01565
OG0000156	DR085_RS00730	EXC50_RS01555
OG0000157	DR085_RS03660	EXC50_RS01550
OG0000158	DR085_RS03665	EXC50_RS04235
OG0000159	DR085_RS00970	EXC50_RS03825
OG0000160	DR085_RS00975	EXC50_RS03820
OG0000161	DR085_RS00985	EXC50_RS03815
OG0000162	DR085_RS02725	EXC50_RS01290
OG0000163	DR085_RS02720	EXC50_RS01285
OG0000164	DR085_RS03860	EXC50_RS00550
OG0000165	DR085_RS02810	EXC50_RS00885
OG0000166	DR085_RS02780	EXC50_RS00905
OG0000167	DR085_RS02765	EXC50_RS00920
OG0000168	DR085_RS02760	EXC50_RS00925
OG0000169	DR085_RS01405	EXC50_RS01885
OG0000170	DR085_RS01420	EXC50_RS01900
OG0000171	DR085_RS01430	EXC50_RS01910
OG0000172	DR085_RS01435	EXC50_RS01915
OG0000173	DR085_RS01440	EXC50_RS01920
OG0000174	DR085_RS01445	EXC50_RS01925
OG0000175	DR085_RS01460	EXC50_RS01940
OG0000176	DR085_RS01500	EXC50_RS01990
OG0000177	DR085_RS01505	EXC50_RS01995
OG0000178	DR085_RS01510	EXC50_RS02000
OG0000179	DR085_RS01520	EXC50_RS02010
OG0000180	DR085_RS01525	EXC50_RS02015
OG0000181	DR085_RS03715	EXC50_RS02060
OG0000182	DR085_RS01550	EXC50_RS02070
OG0000183	DR085_RS01585	EXC50_RS02105
OG0000184	DR085_RS02950	EXC50_RS02150
OG0000185	DR085_RS02935	EXC50_RS02135
OG0000186	DR085_RS02180	EXC50_RS02565
OG0000187	DR085_RS02165	EXC50_RS02550
OG0000188	DR085_RS02155	EXC50_RS02540
