Orthogroup	MHP_MHP691_genes	MHP_111A_genes
OG0000068	DR087_RS03140	NB623_RS00640
OG0000069	DR087_RS01375	NB623_RS02980
OG0000070	DR087_RS02480	NB623_RS02630
OG0000071	DR087_RS00780	NB623_RS03425
OG0000072	DR087_RS02175	NB623_RS03430
OG0000073	DR087_RS02200	NB623_RS00710
OG0000074	DR087_RS04685	NB623_RS00910
OG0000075	DR087_RS01860	NB623_RS00330
OG0000076	DR087_RS01875	NB623_RS00345
OG0000077	DR087_RS03060	NB623_RS00430
OG0000078	DR087_RS02065	NB623_RS01805
OG0000079	DR087_RS02980	NB623_RS02720
OG0000080	DR087_RS04005	NB623_RS02770
OG0000081	DR087_RS01855	NB623_RS00325
OG0000083	DR087_RS00065	NB623_RS02075
OG0000084	DR087_RS00090	NB623_RS02045
OG0000085	DR087_RS00095	NB623_RS02040
OG0000086	DR087_RS00105	NB623_RS02030
OG0000087	DR087_RS00120	NB623_RS02015
OG0000088	DR087_RS00125	NB623_RS02010
OG0000089	DR087_RS00135	NB623_RS02000
OG0000090	DR087_RS00500	NB623_RS00070
OG0000091	DR087_RS00485	NB623_RS00055
OG0000092	DR087_RS00470	NB623_RS00050
OG0000093	DR087_RS00465	NB623_RS00035
OG0000094	DR087_RS00460	NB623_RS00030
OG0000095	DR087_RS00435	NB623_RS00005
OG0000096	DR087_RS00430	NB623_RS03810
OG0000097	DR087_RS00410	NB623_RS03790
OG0000098	DR087_RS00400	NB623_RS03780
OG0000099	DR087_RS00775	NB623_RS03730
OG0000100	DR087_RS00750	NB623_RS03715
OG0000101	DR087_RS00745	NB623_RS03710
OG0000102	DR087_RS02090	NB623_RS01830
OG0000103	DR087_RS00180	NB623_RS02355
OG0000104	DR087_RS00185	NB623_RS02360
OG0000105	DR087_RS00200	NB623_RS02380
OG0000106	DR087_RS00210	NB623_RS02385
OG0000107	DR087_RS00220	NB623_RS02395
OG0000108	DR087_RS00225	NB623_RS02400
OG0000109	DR087_RS00230	NB623_RS02405
OG0000110	DR087_RS01695	NB623_RS02525
OG0000111	DR087_RS01700	NB623_RS02520
OG0000112	DR087_RS01710	NB623_RS02510
OG0000113	DR087_RS04610	NB623_RS02490
OG0000114	DR087_RS01740	NB623_RS02485
OG0000115	DR087_RS01750	NB623_RS02470
OG0000116	DR087_RS03310	NB623_RS01415
OG0000117	DR087_RS03305	NB623_RS01420
OG0000118	DR087_RS01190	NB623_RS01455
OG0000119	DR087_RS01185	NB623_RS01465
OG0000120	DR087_RS01170	NB623_RS01475
OG0000121	DR087_RS01145	NB623_RS01505
OG0000122	DR087_RS01140	NB623_RS01510
OG0000123	DR087_RS01120	NB623_RS01530
OG0000124	DR087_RS01115	NB623_RS01535
OG0000125	DR087_RS01110	NB623_RS01545
OG0000126	DR087_RS01100	NB623_RS01550
OG0000127	DR087_RS01090	NB623_RS01560
OG0000128	DR087_RS01075	NB623_RS01575
OG0000129	DR087_RS01070	NB623_RS01580
OG0000130	DR087_RS01060	NB623_RS01590
OG0000131	DR087_RS04535	NB623_RS01620
OG0000132	DR087_RS04530	NB623_RS01635
OG0000133	DR087_RS02865	NB623_RS00525
OG0000134	DR087_RS02870	NB623_RS00530
OG0000135	DR087_RS02885	NB623_RS00545
OG0000136	DR087_RS02890	NB623_RS00550
OG0000137	DR087_RS02930	NB623_RS00590
OG0000138	DR087_RS03165	NB623_RS00615
OG0000139	DR087_RS03135	NB623_RS00645
OG0000140	DR087_RS03130	NB623_RS00650
OG0000141	DR087_RS01495	NB623_RS03095
OG0000142	DR087_RS04585	NB623_RS03090
OG0000143	DR087_RS01465	NB623_RS03075
OG0000144	DR087_RS01455	NB623_RS03060
OG0000145	DR087_RS01445	NB623_RS03050
OG0000146	DR087_RS01435	NB623_RS03040
OG0000147	DR087_RS01430	NB623_RS03035
OG0000148	DR087_RS01415	NB623_RS03020
OG0000149	DR087_RS01405	NB623_RS03010
OG0000150	DR087_RS01390	NB623_RS02995
OG0000151	DR087_RS03290	NB623_RS02945
OG0000152	DR087_RS03285	NB623_RS02940
OG0000153	DR087_RS03280	NB623_RS02935
OG0000154	DR087_RS03270	NB623_RS02925
OG0000155	DR087_RS03545	NB623_RS02885
OG0000156	DR087_RS01225	NB623_RS02875
OG0000157	DR087_RS04555	NB623_RS02870
OG0000158	DR087_RS04560	NB623_RS02860
OG0000159	DR087_RS04805	NB623_RS02615
OG0000160	DR087_RS02460	NB623_RS02610
OG0000161	DR087_RS02455	NB623_RS02605
OG0000162	DR087_RS02445	NB623_RS02595
OG0000163	DR087_RS02440	NB623_RS02590
OG0000164	DR087_RS03205	NB623_RS01725
OG0000165	DR087_RS01520	NB623_RS02155
OG0000166	DR087_RS00005	NB623_RS02135
OG0000167	DR087_RS00020	NB623_RS02120
OG0000168	DR087_RS00025	NB623_RS02115
OG0000169	DR087_RS01010	NB623_RS03200
OG0000170	DR087_RS00990	NB623_RS03215
OG0000171	DR087_RS00980	NB623_RS03225
OG0000172	DR087_RS00975	NB623_RS03230
OG0000173	DR087_RS00970	NB623_RS03235
OG0000174	DR087_RS00965	NB623_RS03240
OG0000175	DR087_RS00950	NB623_RS03265
OG0000176	DR087_RS00900	NB623_RS03310
OG0000177	DR087_RS00895	NB623_RS03315
OG0000178	DR087_RS00890	NB623_RS03320
OG0000179	DR087_RS00880	NB623_RS03330
OG0000180	DR087_RS00875	NB623_RS03335
OG0000181	DR087_RS04520	NB623_RS03375
OG0000182	DR087_RS00820	NB623_RS03385
OG0000183	DR087_RS00785	NB623_RS03420
OG0000184	DR087_RS02140	NB623_RS03485
OG0000185	DR087_RS02155	NB623_RS03475
OG0000186	DR087_RS04735	NB623_RS01645
OG0000187	DR087_RS03425	NB623_RS01660
OG0000188	DR087_RS03415	NB623_RS01670
OG0000189	DR087_RS04425	NB623_RS02445
OG0000190	DR087_RS00260	NB623_RS02440
OG0000191	DR087_RS00240	NB623_RS02415
OG0000192	DR087_RS02805	NB623_RS01340
OG0000193	DR087_RS02790	NB623_RS01325
OG0000194	DR087_RS02185	NB623_RS00690
OG0000195	DR087_RS02190	NB623_RS00695
OG0000196	DR087_RS02210	NB623_RS00720
OG0000197	DR087_RS02215	NB623_RS00730
OG0000198	DR087_RS02230	NB623_RS00740
OG0000199	DR087_RS02235	NB623_RS00745
OG0000200	DR087_RS02250	NB623_RS00760
OG0000201	DR087_RS02260	NB623_RS00770
OG0000202	DR087_RS02315	NB623_RS00830
OG0000203	DR087_RS02320	NB623_RS00835
OG0000204	DR087_RS04700	NB623_RS00840
OG0000205	DR087_RS02610	NB623_RS00845
OG0000206	DR087_RS02590	NB623_RS00865
OG0000207	DR087_RS02575	NB623_RS00880
OG0000208	DR087_RS02570	NB623_RS00885
OG0000209	DR087_RS02565	NB623_RS00890
OG0000210	DR087_RS02520	NB623_RS00935
OG0000211	DR087_RS02630	NB623_RS01070
OG0000212	DR087_RS02640	NB623_RS01080
OG0000213	DR087_RS02645	NB623_RS01085
OG0000214	DR087_RS02650	NB623_RS01090
OG0000215	DR087_RS02655	NB623_RS01095
OG0000216	DR087_RS02660	NB623_RS01100
OG0000217	DR087_RS02665	NB623_RS01105
OG0000218	DR087_RS02675	NB623_RS01115
OG0000219	DR087_RS02680	NB623_RS01120
OG0000220	DR087_RS02685	NB623_RS01125
OG0000221	DR087_RS02690	NB623_RS01130
OG0000222	DR087_RS02695	NB623_RS01135
OG0000223	DR087_RS02700	NB623_RS01140
OG0000224	DR087_RS02710	NB623_RS01150
OG0000225	DR087_RS02720	NB623_RS01160
OG0000226	DR087_RS02725	NB623_RS01165
OG0000227	DR087_RS02730	NB623_RS01170
OG0000228	DR087_RS04810	NB623_RS01175
OG0000229	DR087_RS02740	NB623_RS01180
OG0000230	DR087_RS02745	NB623_RS01185
OG0000231	DR087_RS02755	NB623_RS01195
OG0000232	DR087_RS02765	NB623_RS01205
OG0000233	DR087_RS02010	NB623_RS01225
OG0000234	DR087_RS01970	NB623_RS01260
OG0000235	DR087_RS01960	NB623_RS01270
OG0000236	DR087_RS01955	NB623_RS01275
OG0000237	DR087_RS01950	NB623_RS01280
OG0000238	DR087_RS01940	NB623_RS01285
OG0000239	DR087_RS03355	NB623_RS03105
OG0000240	DR087_RS03350	NB623_RS03110
OG0000241	DR087_RS03340	NB623_RS03120
OG0000242	DR087_RS03365	NB623_RS03125
OG0000243	DR087_RS03370	NB623_RS03130
OG0000244	DR087_RS03380	NB623_RS03140
OG0000245	DR087_RS03390	NB623_RS03145
OG0000246	DR087_RS00560	NB623_RS00130
OG0000247	DR087_RS02415	NB623_RS00140
OG0000248	DR087_RS02405	NB623_RS00150
OG0000249	DR087_RS02400	NB623_RS00155
OG0000250	DR087_RS02385	NB623_RS00175
OG0000251	DR087_RS02350	NB623_RS00205
OG0000252	DR087_RS02340	NB623_RS00210
OG0000253	DR087_RS02335	NB623_RS00215
OG0000254	DR087_RS02325	NB623_RS00225
OG0000255	DR087_RS01760	NB623_RS00230
OG0000256	DR087_RS01765	NB623_RS00240
OG0000257	DR087_RS01790	NB623_RS00260
OG0000258	DR087_RS01800	NB623_RS00270
OG0000259	DR087_RS01830	NB623_RS00300
OG0000260	DR087_RS01840	NB623_RS00310
OG0000261	DR087_RS04615	NB623_RS00320
OG0000262	DR087_RS01865	NB623_RS00340
OG0000263	DR087_RS01880	NB623_RS00350
OG0000264	DR087_RS01895	NB623_RS00365
OG0000265	DR087_RS01910	NB623_RS00375
OG0000266	DR087_RS03015	NB623_RS00390
OG0000267	DR087_RS03030	NB623_RS00405
OG0000268	DR087_RS03035	NB623_RS00410
OG0000269	DR087_RS03050	NB623_RS00425
OG0000270	DR087_RS04505	NB623_RS03685
OG0000271	DR087_RS00715	NB623_RS03675
OG0000272	DR087_RS00710	NB623_RS03670
OG0000273	DR087_RS00705	NB623_RS03665
OG0000274	DR087_RS00685	NB623_RS03650
OG0000275	DR087_RS04495	NB623_RS03640
OG0000276	DR087_RS00675	NB623_RS03635
OG0000277	DR087_RS00665	NB623_RS03625
OG0000278	DR087_RS00660	NB623_RS03620
OG0000279	DR087_RS00650	NB623_RS03615
OG0000280	DR087_RS00645	NB623_RS03605
OG0000281	DR087_RS00640	NB623_RS03600
OG0000282	DR087_RS04485	NB623_RS03570, NB623_RS03575
OG0000283	DR087_RS00610	NB623_RS03565
OG0000284	DR087_RS00605	NB623_RS03560
OG0000285	DR087_RS04480	NB623_RS03555
OG0000286	DR087_RS02425	NB623_RS02575
OG0000287	DR087_RS02940	NB623_RS02675
OG0000288	DR087_RS02950	NB623_RS02685
OG0000289	DR087_RS02955	NB623_RS02690
OG0000290	DR087_RS01285	NB623_RS02810
OG0000291	DR087_RS01295	NB623_RS02800
OG0000292	DR087_RS01300	NB623_RS02795
OG0000293	DR087_RS01305	NB623_RS02790
OG0000294	DR087_RS01315	NB623_RS02780
OG0000295	DR087_RS01320	NB623_RS02775
OG0000296	DR087_RS02990	NB623_RS02730
OG0000297	DR087_RS02985	NB623_RS02725
OG0000298	DR087_RS02390	NB623_RS00165
OG0000299	DR087_RS02365	NB623_RS00185
OG0000300	DR087_RS01890	NB623_RS00360
OG0000301	DR087_RS03020	NB623_RS00395
OG0000302	DR087_RS03025	NB623_RS00400
OG0000303	DR087_RS02895	NB623_RS00555
OG0000304	DR087_RS02770	NB623_RS01210
OG0000305	DR087_RS01440	NB623_RS03045
OG0000306	DR087_RS01365	NB623_RS02970
OG0000307	DR087_RS03275	NB623_RS02930
OG0000308	DR087_RS01265	NB623_RS02835
OG0000309	DR087_RS01330	NB623_RS02765
OG0000310	DR087_RS02945	NB623_RS02680
OG0000311	DR087_RS02485	NB623_RS02635
OG0000312	DR087_RS02470	NB623_RS02620
OG0000313	DR087_RS03215	NB623_RS01715
OG0000314	DR087_RS01500	NB623_RS02140
OG0000315	DR087_RS00030	NB623_RS02110
OG0000316	DR087_RS00040	NB623_RS02100
OG0000317	DR087_RS00130	NB623_RS02005
OG0000318	DR087_RS04400	NB623_RS02095
OG0000319	DR087_RS00195	NB623_RS02370
OG0000320	DR087_RS01720	NB623_RS02500
OG0000321	DR087_RS01195	NB623_RS01450
OG0000322	DR087_RS01150	NB623_RS01500
OG0000323	DR087_RS01020	NB623_RS01630
OG0000324	DR087_RS00235	NB623_RS02410
OG0000325	DR087_RS02195	NB623_RS00705
OG0000326	DR087_RS02290	NB623_RS00805
OG0000327	DR087_RS02295	NB623_RS00810
OG0000328	DR087_RS02560	NB623_RS00895
OG0000329	DR087_RS02540	NB623_RS00915
OG0000330	DR087_RS01995	NB623_RS01235
OG0000331	DR087_RS03375	NB623_RS03135
OG0000332	DR087_RS00940	NB623_RS03270
OG0000333	DR087_RS00930	NB623_RS03280
OG0000334	DR087_RS00825	NB623_RS03380
OG0000335	DR087_RS00815	NB623_RS03390
OG0000336	DR087_RS04490	NB623_RS03590
OG0000337	DR087_RS00385	NB623_RS03765
OG0000338	DR087_RS00425	NB623_RS03805
OG0000339	DR087_RS01745	NB623_RS02475
OG0000340	DR087_RS01215	NB623_RS01430
OG0000341	DR087_RS00255	NB623_RS02435
OG0000342	DR087_RS02225	NB623_RS00735
OG0000343	DR087_RS00920	NB623_RS03290
OG0000344	DR087_RS02910	NB623_RS00570
OG0000345	DR087_RS02715	NB623_RS01155
OG0000346	DR087_RS00635	NB623_RS03595
OG0000347	DR087_RS01125	NB623_RS01525
OG0000348	DR087_RS02300	NB623_RS00815
OG0000349	DR087_RS04500	NB623_RS03655
OG0000350	DR087_RS03265	NB623_RS02920
OG0000351	DR087_RS03115	NB623_RS00480
OG0000352	DR087_RS01525	NB623_RS02160
OG0000353	DR087_RS01155	NB623_RS01490
OG0000354	DR087_RS03150	NB623_RS00630
OG0000355	DR087_RS04595	NB623_RS02185
OG0000356	DR087_RS04395	NB623_RS02105
OG0000357	DR087_RS04525	NB623_RS03245
OG0000358	DR087_RS00955	NB623_RS03250
OG0000359	DR087_RS04665	NB623_RS00780
OG0000360	DR087_RS01795	NB623_RS00265
OG0000361	DR087_RS01825	NB623_RS00295
OG0000362	DR087_RS02965	NB623_RS02705
OG0000363	DR087_RS04545	NB623_RS01565
OG0000364	DR087_RS01580	NB623_RS02210
OG0000365	DR087_RS04420	NB623_RS02060
OG0000366	DR087_RS00100	NB623_RS02035
OG0000367	DR087_RS00110	NB623_RS02025
OG0000368	DR087_RS00490	NB623_RS00060
OG0000369	DR087_RS04455	NB623_RS00025
