Orthogroup	MHP_MHP691_genes	MHP_111A_genes
OG0000577	DR087_RS01270	NB623_RS02825
OG0000578	DR087_RS01250	NB623_RS02850
OG0000580	DR087_RS04010	NB623_RS02955
OG0000582	DR087_RS04715	NB623_RS01380
OG0000583	DR087_RS02070	NB623_RS01810
OG0000584	DR087_RS00315	NB623_RS01955
OG0000585	DR087_RS00170	NB623_RS02350
OG0000586	DR087_RS02055	NB623_RS01795
OG0000587	DR087_RS04775	NB623_RS02215
OG0000588	DR087_RS02030	NB623_RS01765
OG0000589	DR087_RS03500	NB623_RS01010
OG0000590	DR087_RS00325	NB623_RS01945
OG0000592	DR087_RS01280	NB623_RS02815
OG0000593	DR087_RS00755	NB623_RS03720
OG0000595	DR087_RS03405	NB623_RS03160
OG0000600	DR087_RS00310	NB623_RS01960
OG0000603	DR087_RS00305	NB623_RS01965
OG0000607	DR087_RS02800	NB623_RS01335
OG0000608	DR087_RS04600	NB623_RS02275
OG0000609	DR087_RS01615	NB623_RS02250
OG0000611	DR087_RS00520	NB623_RS00100
OG0000613	DR087_RS04040	NB623_RS02205
OG0000614	DR087_RS03590	NB623_RS00975
OG0000617	DR087_RS02040	NB623_RS01780
OG0000622	DR087_RS04200	NB623_RS00960
OG0000624	DR087_RS00905	NB623_RS03305
