Orthogroup	MHP_MHP691_genes	MHP_168L_genes
OG0000524	DR087_RS01260	MHP168L_RS02705
OG0000525	DR087_RS04645	MHP168L_RS03320
OG0000526	DR087_RS04050	MHP168L_RS03980
OG0000528	DR087_RS04415	MHP168L_RS02105
OG0000529	DR087_RS00205	MHP168L_RS02150
OG0000530	DR087_RS01735	MHP168L_RS02370
OG0000531	DR087_RS01130	MHP168L_RS01490
OG0000532	DR087_RS03180	MHP168L_RS01805
OG0000533	DR087_RS03510	MHP168L_RS01060
OG0000534	DR087_RS01900	MHP168L_RS00360
OG0000535	DR087_RS04460	MHP168L_RS00045
OG0000537	DR087_RS02220	MHP168L_RS00935
OG0000538	DR087_RS01975	MHP168L_RS01105
OG0000539	DR087_RS02345	MHP168L_RS00190
OG0000540	DR087_RS01290	MHP168L_RS02670
OG0000541	DR087_RS01220	MHP168L_RS02750
OG0000542	DR087_RS01870	MHP168L_RS00330
OG0000543	DR087_RS00345	MHP168L_RS03535
OG0000544	DR087_RS04710	MHP168L_RS01335
OG0000545	DR087_RS01630	MHP168L_RS01925
OG0000546	DR087_RS04305	MHP168L_RS02820
OG0000547	DR087_RS01470	MHP168L_RS02940
OG0000548	DR087_RS03220	MHP168L_RS01840
OG0000549	DR087_RS04650	MHP168L_RS03310
OG0000550	DR087_RS00690	MHP168L_RS03445
OG0000551	DR087_RS03385	MHP168L_RS03015
OG0000552	DR087_RS00910	MHP168L_RS03140
OG0000553	DR087_RS04565	MHP168L_RS02720
OG0000554	DR087_RS01690	MHP168L_RS02415
OG0000555	DR087_RS04580	MHP168L_RS02945
OG0000556	DR087_RS04430	MHP168L_RS03560, MHP168L_RS01195
OG0000557	DR087_RS02850	MHP168L_RS01345
OG0000558	DR087_RS02820	MHP168L_RS01315
OG0000559	DR087_RS02085	MHP168L_RS01740
OG0000560	DR087_RS01645	MHP168L_RS01915
OG0000561	DR087_RS01990	MHP168L_RS01090
OG0000562	DR087_RS01640	MHP168L_RS01920
OG0000563	DR087_RS01655	MHP168L_RS01905
OG0000564	DR087_RS03320	MHP168L_RS03955
OG0000565	DR087_RS01590	MHP168L_RS01965
OG0000566	DR087_RS01600	MHP168L_RS01955
OG0000567	DR087_RS01625	MHP168L_RS01930
OG0000568	DR087_RS02180	MHP168L_RS00975
OG0000569	DR087_RS02825	MHP168L_RS01320
OG0000570	DR087_RS04705	MHP168L_RS01325
OG0000571	DR087_RS02835	MHP168L_RS01330
OG0000572	DR087_RS02855	MHP168L_RS01350
OG0000573	DR087_RS02080	MHP168L_RS01745
OG0000574	DR087_RS03300	MHP168L_RS01395
OG0000575	DR087_RS02810	MHP168L_RS01305
OG0000576	DR087_RS02035	MHP168L_RS01780
OG0000577	DR087_RS01270	MHP168L_RS02695
OG0000578	DR087_RS01250	MHP168L_RS02715
OG0000580	DR087_RS04010	MHP168L_RS04050
OG0000582	DR087_RS04715	MHP168L_RS03935
OG0000583	DR087_RS02070	MHP168L_RS01755
OG0000584	DR087_RS00315	MHP168L_RS01245
OG0000585	DR087_RS00175, DR087_RS00170	MHP168L_RS02180
OG0000586	DR087_RS02055	MHP168L_RS01765
OG0000587	DR087_RS04775	MHP168L_RS04085
OG0000588	DR087_RS02030	MHP168L_RS01785
OG0000590	DR087_RS00325	MHP168L_RS03550
OG0000592	DR087_RS01280	MHP168L_RS02680
OG0000593	DR087_RS00755	MHP168L_RS03510
OG0000594	DR087_RS02815	MHP168L_RS01310
OG0000600	DR087_RS00310	MHP168L_RS01240
OG0000601	DR087_RS01650	MHP168L_RS01910
OG0000602	DR087_RS00080	MHP168L_RS02275
OG0000603	DR087_RS00305	MHP168L_RS01225
OG0000605	DR087_RS00300	MHP168L_RS01220
OG0000609	DR087_RS01615	MHP168L_RS03835
