Orthogroup	MHP_MHP691_genes	MHP_168L_genes
OG0000170	DR087_RS00990	MHP168L_RS03060
OG0000171	DR087_RS00980	MHP168L_RS03070
OG0000172	DR087_RS00975	MHP168L_RS03075
OG0000173	DR087_RS00970	MHP168L_RS03080
OG0000174	DR087_RS00965	MHP168L_RS03085
OG0000175	DR087_RS00950	MHP168L_RS03100
OG0000176	DR087_RS00900	MHP168L_RS03150
OG0000177	DR087_RS00895	MHP168L_RS03155
OG0000178	DR087_RS00890	MHP168L_RS03160
OG0000179	DR087_RS00880	MHP168L_RS03170
OG0000180	DR087_RS00875	MHP168L_RS03175
OG0000181	DR087_RS04520	MHP168L_RS03215
OG0000182	DR087_RS00820	MHP168L_RS03225
OG0000183	DR087_RS00785	MHP168L_RS03260
OG0000184	DR087_RS02140	MHP168L_RS03300
OG0000185	DR087_RS02155	MHP168L_RS03285
OG0000186	DR087_RS04735	MHP168L_RS01615
OG0000187	DR087_RS03425	MHP168L_RS01630
OG0000188	DR087_RS03415	MHP168L_RS01640
OG0000189	DR087_RS04425	MHP168L_RS02320
OG0000190	DR087_RS00260	MHP168L_RS02315
OG0000191	DR087_RS00240	MHP168L_RS02295
OG0000192	DR087_RS02805	MHP168L_RS01300
OG0000193	DR087_RS02790	MHP168L_RS01290
OG0000194	DR087_RS02185	MHP168L_RS00970
OG0000195	DR087_RS02190	MHP168L_RS00965
OG0000196	DR087_RS02210	MHP168L_RS00945
OG0000197	DR087_RS02215	MHP168L_RS00940
OG0000198	DR087_RS02230	MHP168L_RS00925
OG0000199	DR087_RS02235	MHP168L_RS00920
OG0000200	DR087_RS02250	MHP168L_RS00910
OG0000201	DR087_RS02260	MHP168L_RS00900
OG0000202	DR087_RS02315	MHP168L_RS00845
OG0000203	DR087_RS02320	MHP168L_RS00840
OG0000204	DR087_RS04700	MHP168L_RS00835
OG0000205	DR087_RS02610	MHP168L_RS00830
OG0000206	DR087_RS02590	MHP168L_RS00810
OG0000207	DR087_RS02575	MHP168L_RS00795
OG0000208	DR087_RS02570	MHP168L_RS00790
OG0000209	DR087_RS02565	MHP168L_RS00785
OG0000210	DR087_RS02520	MHP168L_RS00735
OG0000211	DR087_RS02630	MHP168L_RS00720
OG0000212	DR087_RS02640	MHP168L_RS00710
OG0000213	DR087_RS02645	MHP168L_RS03705
OG0000214	DR087_RS02650	MHP168L_RS00705
OG0000215	DR087_RS02655	MHP168L_RS00700
OG0000216	DR087_RS02660	MHP168L_RS00695
OG0000217	DR087_RS02665	MHP168L_RS00690
OG0000218	DR087_RS02675	MHP168L_RS00680
OG0000219	DR087_RS02680	MHP168L_RS00675
OG0000220	DR087_RS02685	MHP168L_RS00670
OG0000221	DR087_RS02690	MHP168L_RS00665
OG0000222	DR087_RS02695	MHP168L_RS00660
OG0000223	DR087_RS02700	MHP168L_RS00655
OG0000224	DR087_RS02710	MHP168L_RS00645
OG0000225	DR087_RS02720	MHP168L_RS00635
OG0000226	DR087_RS02725	MHP168L_RS00630
OG0000227	DR087_RS02730	MHP168L_RS00625
OG0000228	DR087_RS04810	MHP168L_RS04125
OG0000229	DR087_RS02740	MHP168L_RS00615
OG0000230	DR087_RS02745	MHP168L_RS00610
OG0000231	DR087_RS02755	MHP168L_RS00600
OG0000232	DR087_RS02765	MHP168L_RS00590
OG0000233	DR087_RS02010	MHP168L_RS01075
OG0000234	DR087_RS01970	MHP168L_RS01110
OG0000235	DR087_RS01960	MHP168L_RS01120
OG0000236	DR087_RS01955	MHP168L_RS01125
OG0000237	DR087_RS01950	MHP168L_RS01130
OG0000238	DR087_RS01940	MHP168L_RS01140
OG0000239	DR087_RS03355	MHP168L_RS02975
OG0000240	DR087_RS03350	MHP168L_RS02980
OG0000241	DR087_RS03340	MHP168L_RS02990
OG0000242	DR087_RS03365	MHP168L_RS02995
OG0000243	DR087_RS03370	MHP168L_RS03000
OG0000244	DR087_RS03380	MHP168L_RS03010
OG0000245	DR087_RS03390	MHP168L_RS03020
OG0000246	DR087_RS00560	MHP168L_RS00120
OG0000247	DR087_RS02415	MHP168L_RS00130
OG0000248	DR087_RS02405	MHP168L_RS00140
OG0000249	DR087_RS02400	MHP168L_RS00145
OG0000250	DR087_RS02385	MHP168L_RS00160
