Orthogroup	MHP_J_genes	MHP_F72C_genes
OG0000116	MHJ_RS01270	EHI52_RS01360
OG0000117	MHJ_RS01275	EHI52_RS01365
OG0000118	MHJ_RS01310	EHI52_RS01400
OG0000119	MHJ_RS01315	EHI52_RS01405
OG0000120	MHJ_RS01330	EHI52_RS01420
OG0000121	MHJ_RS01355	EHI52_RS01445
OG0000122	MHJ_RS01360	EHI52_RS01450
OG0000123	MHJ_RS01380	EHI52_RS01470
OG0000124	MHJ_RS01385	EHI52_RS01475
OG0000125	MHJ_RS01390	EHI52_RS01480
OG0000126	MHJ_RS01400	EHI52_RS01490
OG0000127	MHJ_RS01410	EHI52_RS01500
OG0000128	MHJ_RS01425	EHI52_RS01515
OG0000129	MHJ_RS01430	EHI52_RS01520
OG0000130	MHJ_RS01440	EHI52_RS01530
OG0000131	MHJ_RS01470	EHI52_RS01560
OG0000132	MHJ_RS01485	EHI52_RS01575
OG0000133	MHJ_RS00515	EHI52_RS00545
OG0000134	MHJ_RS00520	EHI52_RS00550
OG0000135	MHJ_RS00535	EHI52_RS00565
OG0000136	MHJ_RS00540	EHI52_RS00570
OG0000137	MHJ_RS00575	EHI52_RS00600
OG0000138	MHJ_RS00605	EHI52_RS00635
OG0000139	MHJ_RS00635	EHI52_RS00665
OG0000140	MHJ_RS00640	EHI52_RS00670
OG0000141	MHJ_RS02910	EHI52_RS02925
OG0000142	MHJ_RS02905	EHI52_RS02920
OG0000143	MHJ_RS02880	EHI52_RS02895
OG0000144	MHJ_RS02870	EHI52_RS02885
OG0000145	MHJ_RS02855	EHI52_RS02875
OG0000146	MHJ_RS02845	EHI52_RS02865
OG0000147	MHJ_RS02840	EHI52_RS02860
OG0000148	MHJ_RS02825	EHI52_RS02845
OG0000149	MHJ_RS02815	EHI52_RS02835
OG0000150	MHJ_RS02800	EHI52_RS02820
OG0000151	MHJ_RS02745	EHI52_RS02775
OG0000152	MHJ_RS02740	EHI52_RS02770
