Orthogroup	MHP_J_genes	MHP_F72C_genes
OG0000509	MHJ_RS00265	EHI52_RS00295
OG0000510	MHJ_RS00275	EHI52_RS00305
OG0000511	MHJ_RS00410	EHI52_RS00445
OG0000512	MHJ_RS02510	EHI52_RS02550
OG0000513	MHJ_RS03395	EHI52_RS03425
OG0000514	MHJ_RS02830	EHI52_RS02850
OG0000515	MHJ_RS01535	EHI52_RS02090
OG0000516	MHJ_RS01965	EHI52_RS01925
OG0000517	MHJ_RS00065	EHI52_RS00065
OG0000518	MHJ_RS03080	EHI52_RS03125
OG0000519	MHJ_RS00760	EHI52_RS00785
OG0000520	MHJ_RS00885	EHI52_RS00910
OG0000521	MHJ_RS00245	EHI52_RS00275
OG0000522	MHJ_RS00280	EHI52_RS00310
OG0000523	MHJ_RS03335	EHI52_RS03360
OG0000524	MHJ_RS02635	EHI52_RS02665
OG0000525	MHJ_RS03305	EHI52_RS03345
OG0000526	MHJ_RS03870, MHJ_RS01785	EHI52_RS03800
OG0000527	MHJ_RS03865	EHI52_RS02185
OG0000528	MHJ_RS01970	EHI52_RS01920
OG0000529	MHJ_RS02190	EHI52_RS02250
OG0000530	MHJ_RS02290	EHI52_RS02355
OG0000531	MHJ_RS01370	EHI52_RS01460
OG0000532	MHJ_RS01585	EHI52_RS01685
OG0000534	MHJ_RS00360	EHI52_RS00395
OG0000535	MHJ_RS00045	EHI52_RS00045
OG0000536	MHJ_RS03510	EHI52_RS03545
OG0000537	MHJ_RS00705	EHI52_RS00725
OG0000538	MHJ_RS01095	EHI52_RS01195
OG0000539	MHJ_RS00190	EHI52_RS00220
OG0000540	MHJ_RS02600	EHI52_RS02635
OG0000541	MHJ_RS02680	EHI52_RS02710
OG0000542	MHJ_RS00330	EHI52_RS00365
OG0000544	MHJ_RS01225	EHI52_RS01315
OG0000545	MHJ_RS01770	EHI52_RS02110
OG0000546	MHJ_RS02755	EHI52_RS02780
OG0000547	MHJ_RS02885	EHI52_RS02900
OG0000548	MHJ_RS01550	EHI52_RS01650
OG0000549	MHJ_RS03295	EHI52_RS03335
OG0000550	MHJ_RS03430	EHI52_RS03460
OG0000551	MHJ_RS02965	EHI52_RS02975
OG0000552	MHJ_RS03115	EHI52_RS03160
OG0000553	MHJ_RS02650	EHI52_RS02680
OG0000554	MHJ_RS02335	EHI52_RS02400
OG0000555	MHJ_RS03945	EHI52_RS03850
OG0000557	MHJ_RS01235	EHI52_RS01325
OG0000558	MHJ_RS01205	EHI52_RS01295
OG0000559	MHJ_RS01645	EHI52_RS01755
OG0000560	MHJ_RS01760	EHI52_RS02125
OG0000561	MHJ_RS01080	EHI52_RS01180
OG0000562	MHJ_RS01765	EHI52_RS02120
OG0000563	MHJ_RS01750	EHI52_RS02135
OG0000564	MHJ_RS01260	EHI52_RS03770
OG0000565	MHJ_RS01820	EHI52_RS02070
OG0000566	MHJ_RS01810	EHI52_RS02080
OG0000567	MHJ_RS01780	EHI52_RS02105
OG0000568	MHJ_RS00665	EHI52_RS00685
OG0000569	MHJ_RS01210	EHI52_RS01300
OG0000570	MHJ_RS01215	EHI52_RS01305
OG0000571	MHJ_RS01220	EHI52_RS01310
OG0000572	MHJ_RS01240	EHI52_RS01330
OG0000573	MHJ_RS01640	EHI52_RS01750
OG0000574	MHJ_RS01280	EHI52_RS01370
OG0000575	MHJ_RS01195	EHI52_RS01285
OG0000576	MHJ_RS03625	EHI52_RS01710
OG0000577	MHJ_RS02620	EHI52_RS02655
OG0000578	MHJ_RS02645	EHI52_RS02675
OG0000579	MHJ_RS01740	EHI52_RS02170
OG0000580	MHJ_RS02760	EHI52_RS03845
OG0000581	MHJ_RS01725	EHI52_RS02175
OG0000582	MHJ_RS03835	EHI52_RS03765
OG0000583	MHJ_RS01630	EHI52_RS01740
OG0000585	MHJ_RS03590	EHI52_RS02220
OG0000586	MHJ_RS01620	EHI52_RS01725
OG0000587	MHJ_RS04025	EHI52_RS03915
OG0000588	MHJ_RS01600	EHI52_RS01700
OG0000589	MHJ_RS03650	EHI52_RS00950
OG0000591	MHJ_RS03990	EHI52_RS02045
OG0000592	MHJ_RS02610	EHI52_RS02645
OG0000593	MHJ_RS03495	EHI52_RS03525
OG0000594	MHJ_RS01200	EHI52_RS01290
OG0000595	MHJ_RS03020	EHI52_RS03000
OG0000596	MHJ_RS01685	EHI52_RS01785
OG0000598	MHJ_RS01690	EHI52_RS01790
OG0000599	MHJ_RS01695	EHI52_RS01795
OG0000601	MHJ_RS01755	EHI52_RS02130
OG0000602	MHJ_RS01990	EHI52_RS01900
OG0000606	MHJ_RS01730	EHI52_RS02160
OG0000607	MHJ_RS03755	EHI52_RS03630
OG0000612	MHJ_RS03855	EHI52_RS01800
OG0000615	MHJ_RS02655	EHI52_RS02685
