Orthogroup	MHP_NCTC10127_genes	MFC_Ms42_genes
OG0000212	EXC50_RS03140	MYF_RS02240
OG0000213	EXC50_RS03135	MYF_RS02245
OG0000214	EXC50_RS03130	MYF_RS02250
OG0000215	EXC50_RS03125	MYF_RS02255
OG0000216	EXC50_RS03120	MYF_RS02260
OG0000217	EXC50_RS03115	MYF_RS02265
OG0000218	EXC50_RS03105	MYF_RS02275
OG0000219	EXC50_RS03100	MYF_RS02280
OG0000220	EXC50_RS03095	MYF_RS02285
OG0000221	EXC50_RS03090	MYF_RS02290
OG0000222	EXC50_RS03085	MYF_RS03240
OG0000223	EXC50_RS03080	MYF_RS02295
OG0000224	EXC50_RS03070	MYF_RS02305
OG0000225	EXC50_RS03060	MYF_RS02315
OG0000226	EXC50_RS03055	MYF_RS02320
OG0000227	EXC50_RS03050	MYF_RS02325
OG0000228	EXC50_RS03045	MYF_RS03530
OG0000229	EXC50_RS03040	MYF_RS02335
OG0000230	EXC50_RS03035	MYF_RS02340
OG0000231	EXC50_RS03025	MYF_RS02350
OG0000232	EXC50_RS03015	MYF_RS02360
OG0000233	EXC50_RS02995	MYF_RS02370
OG0000234	EXC50_RS02960	MYF_RS02400
OG0000235	EXC50_RS02950	MYF_RS02410
OG0000236	EXC50_RS02945	MYF_RS02415
OG0000237	EXC50_RS02940	MYF_RS02430
OG0000238	EXC50_RS02930	MYF_RS02435
OG0000239	EXC50_RS01785	MYF_RS02465
OG0000240	EXC50_RS01790	MYF_RS02470
OG0000241	EXC50_RS01800	MYF_RS02480
OG0000242	EXC50_RS01805	MYF_RS02485
OG0000243	EXC50_RS01810	MYF_RS02490
OG0000244	EXC50_RS01820	MYF_RS02500
OG0000245	EXC50_RS01830	MYF_RS02510
OG0000246	EXC50_RS00140	MYF_RS00085
OG0000247	EXC50_RS00150	MYF_RS00095
OG0000248	EXC50_RS00160	MYF_RS00120
OG0000249	EXC50_RS00165	MYF_RS00125
OG0000250	EXC50_RS00180	MYF_RS00140
OG0000251	EXC50_RS00215	MYF_RS00170
OG0000252	EXC50_RS00225	MYF_RS00180
OG0000253	EXC50_RS00230	MYF_RS00185
OG0000254	EXC50_RS00240	MYF_RS00195
OG0000255	EXC50_RS00250	MYF_RS00205
OG0000256	EXC50_RS00255	MYF_RS00210
OG0000257	EXC50_RS00280	MYF_RS00235
OG0000258	EXC50_RS00290	MYF_RS00245
OG0000259	EXC50_RS00320	MYF_RS00275
OG0000260	EXC50_RS00330	MYF_RS00285
OG0000261	EXC50_RS00340	MYF_RS00295
OG0000262	EXC50_RS00360	MYF_RS00310
OG0000263	EXC50_RS00375	MYF_RS00325
OG0000264	EXC50_RS00390	MYF_RS00340
OG0000265	EXC50_RS00400	MYF_RS00350
OG0000266	EXC50_RS00420	MYF_RS00365
OG0000267	EXC50_RS00435	MYF_RS00380
OG0000268	EXC50_RS03665	MYF_RS00385
OG0000269	EXC50_RS03650	MYF_RS00400
OG0000270	EXC50_RS02335	MYF_RS02955
OG0000271	EXC50_RS02330	MYF_RS02950
OG0000272	EXC50_RS02325	MYF_RS02945
OG0000273	EXC50_RS02320	MYF_RS02940
OG0000274	EXC50_RS02300	MYF_RS02920
OG0000275	EXC50_RS02295	MYF_RS02915
OG0000276	EXC50_RS02290	MYF_RS02910
OG0000277	EXC50_RS02280	MYF_RS02900
OG0000278	EXC50_RS02275	MYF_RS02895
OG0000279	EXC50_RS02265	MYF_RS02885
OG0000280	EXC50_RS02260	MYF_RS02880
OG0000281	EXC50_RS02255	MYF_RS03275
OG0000282	EXC50_RS02230	MYF_RS02855
OG0000283	EXC50_RS02225	MYF_RS02850
OG0000284	EXC50_RS02220	MYF_RS02845
OG0000285	EXC50_RS02215	MYF_RS02840
OG0000286	EXC50_RS01270	MYF_RS01115
OG0000287	EXC50_RS01365	MYF_RS01090
OG0000288	EXC50_RS01375	MYF_RS01080
OG0000289	EXC50_RS01380	MYF_RS01075
OG0000290	EXC50_RS01490	MYF_RS00905
OG0000291	EXC50_RS01480	MYF_RS00915
OG0000292	EXC50_RS01475	MYF_RS00920
OG0000293	EXC50_RS01470	MYF_RS00925
OG0000294	EXC50_RS01460	MYF_RS00935
OG0000295	EXC50_RS01455	MYF_RS00940
OG0000296	EXC50_RS01415	MYF_RS01040
OG0000297	EXC50_RS01410	MYF_RS01045
OG0000298	EXC50_RS00175	MYF_RS00135
OG0000299	EXC50_RS00200	MYF_RS00155
OG0000300	EXC50_RS00385	MYF_RS00335
OG0000301	EXC50_RS00425	MYF_RS00370
OG0000302	EXC50_RS00430	MYF_RS00375
OG0000303	EXC50_RS03525	MYF_RS00515
OG0000304	EXC50_RS03010	MYF_RS00545
OG0000305	EXC50_RS01720	MYF_RS00690
OG0000306	EXC50_RS01645	MYF_RS00770
