Orthogroup	MHP_NCTC10127_genes	MHP_MHP709_genes
OG0000069	EXC50_RS01655	DR088_RS00230
OG0000070	EXC50_RS03840, EXC50_RS01325	DR088_RS03010
OG0000071	EXC50_RS02110	DR088_RS01990
OG0000072	EXC50_RS02115	DR088_RS04430
OG0000073	EXC50_RS03380	DR088_RS02825
OG0000074	EXC50_RS03185	DR088_RS04395
OG0000075	EXC50_RS00355	DR088_RS01175
OG0000076	EXC50_RS00370	DR088_RS01160
OG0000077	EXC50_RS03640	DR088_RS01070
OG0000078	EXC50_RS00635	DR088_RS02335
OG0000079	EXC50_RS01405	DR088_RS03130
OG0000080	EXC50_RS03930	DR088_RS03700
OG0000081	EXC50_RS00350	DR088_RS01180
OG0000082	EXC50_RS01250	DR088_RS04125, DR088_RS04120
OG0000083	EXC50_RS00965	DR088_RS00630
OG0000084	EXC50_RS00990	DR088_RS00655
OG0000085	EXC50_RS00995	DR088_RS00660
OG0000086	EXC50_RS01005	DR088_RS00670
OG0000087	EXC50_RS01020	DR088_RS00685
OG0000088	EXC50_RS01025	DR088_RS00690
OG0000089	EXC50_RS01035	DR088_RS00700
OG0000090	EXC50_RS00070	DR088_RS01920
OG0000091	EXC50_RS00055	DR088_RS01905
OG0000092	EXC50_RS00040	DR088_RS01890
OG0000093	EXC50_RS00035	DR088_RS01885
OG0000094	EXC50_RS00030	DR088_RS01880
OG0000095	EXC50_RS00005	DR088_RS01855
OG0000096	EXC50_RS02460	DR088_RS01850
OG0000097	EXC50_RS02440	DR088_RS01830
OG0000098	EXC50_RS02430	DR088_RS01820
OG0000099	EXC50_RS02380	DR088_RS04460
OG0000100	EXC50_RS02365	DR088_RS02105
OG0000101	EXC50_RS02360	DR088_RS02100
OG0000102	EXC50_RS00660	DR088_RS02310
OG0000103	EXC50_RS01065	DR088_RS02855
OG0000104	EXC50_RS01070	DR088_RS02860
OG0000105	EXC50_RS01085	DR088_RS02875
OG0000106	EXC50_RS01095	DR088_RS02885
OG0000107	EXC50_RS01105	DR088_RS02895
OG0000108	EXC50_RS01110	DR088_RS02900
OG0000109	EXC50_RS01115	DR088_RS02905
OG0000110	EXC50_RS01240	DR088_RS02395
OG0000111	EXC50_RS01235	DR088_RS02400
OG0000112	EXC50_RS01225	DR088_RS02410
OG0000113	EXC50_RS01205	DR088_RS04525
OG0000114	EXC50_RS01195	DR088_RS02440
OG0000115	EXC50_RS01180	DR088_RS02455
OG0000116	EXC50_RS02790	DR088_RS01000
OG0000117	EXC50_RS02785	DR088_RS01005
OG0000118	EXC50_RS02750	DR088_RS02615
OG0000119	EXC50_RS02745	DR088_RS02620
OG0000120	EXC50_RS02730	DR088_RS02635
OG0000121	EXC50_RS02705	DR088_RS02660
OG0000122	EXC50_RS02700	DR088_RS02665
OG0000123	EXC50_RS02680	DR088_RS02685
OG0000124	EXC50_RS02675	DR088_RS02690
OG0000125	EXC50_RS02670	DR088_RS02695
OG0000126	EXC50_RS02660	DR088_RS02465
OG0000127	EXC50_RS02650	DR088_RS02475
OG0000128	EXC50_RS02635	DR088_RS02490
OG0000129	EXC50_RS02630	DR088_RS02495
OG0000130	EXC50_RS02620	DR088_RS02505
OG0000131	EXC50_RS02590	DR088_RS04535
OG0000132	EXC50_RS02575	DR088_RS04540
OG0000133	EXC50_RS03555	DR088_RS03100
OG0000134	EXC50_RS03550	DR088_RS03095
OG0000135	EXC50_RS03535	DR088_RS03080
OG0000136	EXC50_RS03530	DR088_RS03075
OG0000137	EXC50_RS03500	DR088_RS03045
OG0000138	EXC50_RS03465	DR088_RS00760
OG0000139	EXC50_RS03435	DR088_RS00730
OG0000140	EXC50_RS03430	DR088_RS00725
OG0000141	EXC50_RS01775	DR088_RS00345
OG0000142	EXC50_RS01770	DR088_RS04315
OG0000143	EXC50_RS01745	DR088_RS00320
OG0000144	EXC50_RS01735	DR088_RS00310
OG0000145	EXC50_RS01725	DR088_RS00300
OG0000146	EXC50_RS01715	DR088_RS00290
OG0000147	EXC50_RS01710	DR088_RS00285
OG0000148	EXC50_RS01695	DR088_RS00270
OG0000149	EXC50_RS01685	DR088_RS00260
OG0000150	EXC50_RS01670	DR088_RS00245
OG0000151	EXC50_RS01625	DR088_RS00200
OG0000152	EXC50_RS01620	DR088_RS00195
OG0000153	EXC50_RS01615	DR088_RS00190
OG0000154	EXC50_RS01605	DR088_RS00180
OG0000155	EXC50_RS01565	DR088_RS00140
OG0000156	EXC50_RS01555	DR088_RS00130
OG0000157	EXC50_RS01550	DR088_RS04305
OG0000158	EXC50_RS04235	DR088_RS04300
OG0000159	EXC50_RS03825	DR088_RS02995
OG0000160	EXC50_RS03820	DR088_RS02990
OG0000161	EXC50_RS03815	DR088_RS02985
OG0000162	EXC50_RS01290	DR088_RS02975
OG0000163	EXC50_RS01285	DR088_RS02970
OG0000164	EXC50_RS00550	DR088_RS03330
OG0000165	EXC50_RS00885	DR088_RS00550
OG0000166	EXC50_RS00905	DR088_RS00570
OG0000167	EXC50_RS00920	DR088_RS00585
OG0000168	EXC50_RS00925	DR088_RS00590
OG0000169	EXC50_RS01885	DR088_RS01385
OG0000170	EXC50_RS01900	DR088_RS01400
OG0000171	EXC50_RS01910	DR088_RS01410
OG0000172	EXC50_RS01915	DR088_RS01420
OG0000173	EXC50_RS01920	DR088_RS01425
OG0000174	EXC50_RS01925	DR088_RS01430
OG0000175	EXC50_RS01940	DR088_RS01445
OG0000176	EXC50_RS01990	DR088_RS01495
OG0000177	EXC50_RS01995	DR088_RS01500
OG0000178	EXC50_RS02000	DR088_RS01505
OG0000179	EXC50_RS02010	DR088_RS01515
OG0000180	EXC50_RS02015	DR088_RS01520
OG0000181	EXC50_RS02060	DR088_RS04610
OG0000182	EXC50_RS02070	DR088_RS03500
OG0000183	EXC50_RS02105	DR088_RS01985
OG0000184	EXC50_RS02150	DR088_RS02025
OG0000185	EXC50_RS02135	DR088_RS02010
OG0000186	EXC50_RS02565	DR088_RS04545
OG0000187	EXC50_RS02550	DR088_RS02575
OG0000188	EXC50_RS02540	DR088_RS02585
OG0000189	EXC50_RS01150	DR088_RS04560
OG0000190	EXC50_RS01145	DR088_RS02935
OG0000191	EXC50_RS01125	DR088_RS02915
OG0000192	EXC50_RS02870	DR088_RS00920
OG0000193	EXC50_RS02880	DR088_RS00905
OG0000194	EXC50_RS03395	DR088_RS02840
OG0000195	EXC50_RS03390	DR088_RS02835
OG0000196	EXC50_RS03370	DR088_RS02815
OG0000197	EXC50_RS03365	DR088_RS02810
OG0000198	EXC50_RS03350	DR088_RS02795
OG0000199	EXC50_RS03345	DR088_RS02790
OG0000200	EXC50_RS03330	DR088_RS02775
OG0000201	EXC50_RS03320	DR088_RS02765
OG0000202	EXC50_RS03265	DR088_RS02710
OG0000203	EXC50_RS03260	DR088_RS02705
OG0000204	EXC50_RS03255	DR088_RS04410
OG0000205	EXC50_RS03250	DR088_RS01790
OG0000206	EXC50_RS03230	DR088_RS01770
OG0000207	EXC50_RS03215	DR088_RS01755
OG0000208	EXC50_RS03210	DR088_RS01750
OG0000209	EXC50_RS03205	DR088_RS01745
OG0000210	EXC50_RS03160	DR088_RS01700
OG0000211	EXC50_RS03150	DR088_RS01690
OG0000212	EXC50_RS03140	DR088_RS01680
OG0000213	EXC50_RS03135	DR088_RS01675
OG0000214	EXC50_RS03130	DR088_RS01670
OG0000215	EXC50_RS03125	DR088_RS01665
OG0000216	EXC50_RS03120	DR088_RS01660
OG0000217	EXC50_RS03115	DR088_RS01655
OG0000218	EXC50_RS03105	DR088_RS01645
OG0000219	EXC50_RS03100	DR088_RS01640
OG0000220	EXC50_RS03095	DR088_RS01635
OG0000221	EXC50_RS03090	DR088_RS01630
OG0000222	EXC50_RS03085	DR088_RS01625
OG0000223	EXC50_RS03080	DR088_RS01620
OG0000224	EXC50_RS03070	DR088_RS01610
OG0000225	EXC50_RS03060	DR088_RS01600
OG0000226	EXC50_RS03055	DR088_RS01595
OG0000227	EXC50_RS03050	DR088_RS01590
OG0000228	EXC50_RS03045	DR088_RS04640
OG0000229	EXC50_RS03040	DR088_RS01580
OG0000230	EXC50_RS03035	DR088_RS01575
OG0000231	EXC50_RS03025	DR088_RS01565
OG0000232	EXC50_RS03015	DR088_RS01555
OG0000233	EXC50_RS02995	DR088_RS00790
OG0000234	EXC50_RS02960	DR088_RS00825
OG0000235	EXC50_RS02950	DR088_RS00835
OG0000236	EXC50_RS02945	DR088_RS00840
OG0000237	EXC50_RS02940	DR088_RS00845
OG0000238	EXC50_RS02930	DR088_RS00855
OG0000239	EXC50_RS01785	DR088_RS03185
OG0000240	EXC50_RS01790	DR088_RS03190
OG0000241	EXC50_RS01800	DR088_RS03200
OG0000242	EXC50_RS01805	DR088_RS03205
OG0000243	EXC50_RS01810	DR088_RS03210
OG0000244	EXC50_RS01820	DR088_RS03220
OG0000245	EXC50_RS01830	DR088_RS03230
OG0000246	EXC50_RS00140	DR088_RS03555
OG0000247	EXC50_RS00150	DR088_RS03610
OG0000248	EXC50_RS00160	DR088_RS01365
OG0000249	EXC50_RS00165	DR088_RS01360
OG0000250	EXC50_RS00180	DR088_RS01345
OG0000251	EXC50_RS00215	DR088_RS01310
OG0000252	EXC50_RS00225	DR088_RS01300
OG0000253	EXC50_RS00230	DR088_RS01295
OG0000254	EXC50_RS00240	DR088_RS01285
OG0000255	EXC50_RS00250	DR088_RS01275
OG0000256	EXC50_RS00255	DR088_RS01270
OG0000257	EXC50_RS00280	DR088_RS01245
OG0000258	EXC50_RS00290	DR088_RS01235
OG0000259	EXC50_RS00320	DR088_RS01205
OG0000260	EXC50_RS00330	DR088_RS01195
OG0000261	EXC50_RS00340	DR088_RS04380
OG0000262	EXC50_RS00360	DR088_RS01170
OG0000263	EXC50_RS00375	DR088_RS01155
OG0000264	EXC50_RS00390	DR088_RS01140
OG0000265	EXC50_RS00400	DR088_RS01130
OG0000266	EXC50_RS00420	DR088_RS01115
OG0000267	EXC50_RS00435	DR088_RS01100
OG0000268	EXC50_RS03665	DR088_RS01095
OG0000269	EXC50_RS03650	DR088_RS01080
OG0000270	EXC50_RS02335	DR088_RS04455
OG0000271	EXC50_RS02330	DR088_RS02070
OG0000272	EXC50_RS02325	DR088_RS02065
OG0000273	EXC50_RS02320	DR088_RS02060
OG0000274	EXC50_RS02300	DR088_RS02160
OG0000275	EXC50_RS02295	DR088_RS04480
OG0000276	EXC50_RS02290	DR088_RS02170
OG0000277	EXC50_RS02280	DR088_RS02180
OG0000278	EXC50_RS02275	DR088_RS02185
OG0000279	EXC50_RS02265	DR088_RS02195
OG0000280	EXC50_RS02260	DR088_RS02200
OG0000281	EXC50_RS02255	DR088_RS02205
OG0000282	EXC50_RS02230	DR088_RS04490
OG0000283	EXC50_RS02225	DR088_RS02235
OG0000284	EXC50_RS02220	DR088_RS02240
OG0000285	EXC50_RS02215	DR088_RS04495
OG0000286	EXC50_RS01270	DR088_RS02955
OG0000287	EXC50_RS01365	DR088_RS03170
OG0000288	EXC50_RS01375	DR088_RS03160
OG0000289	EXC50_RS01380	DR088_RS03155
OG0000290	EXC50_RS01490	DR088_RS00070
OG0000291	EXC50_RS01480	DR088_RS00060
OG0000292	EXC50_RS01475	DR088_RS00055
OG0000293	EXC50_RS01470	DR088_RS00050
OG0000294	EXC50_RS01460	DR088_RS00040
OG0000295	EXC50_RS01455	DR088_RS00035
OG0000296	EXC50_RS01415	DR088_RS03120
OG0000297	EXC50_RS01410	DR088_RS03125
OG0000298	EXC50_RS00175	DR088_RS01350
OG0000299	EXC50_RS00200	DR088_RS01325
OG0000300	EXC50_RS00385	DR088_RS01145
OG0000301	EXC50_RS00425	DR088_RS01110
OG0000302	EXC50_RS00430	DR088_RS01105
OG0000303	EXC50_RS03525	DR088_RS03070
OG0000304	EXC50_RS03010	DR088_RS01550
OG0000305	EXC50_RS01720	DR088_RS00295
OG0000306	EXC50_RS01645	DR088_RS00220
OG0000307	EXC50_RS01610	DR088_RS00185
OG0000308	EXC50_RS01510	DR088_RS00090
OG0000309	EXC50_RS01445	DR088_RS00025
OG0000310	EXC50_RS01370	DR088_RS03165
OG0000311	EXC50_RS01330	DR088_RS03015
OG0000312	EXC50_RS01315	DR088_RS03000
OG0000313	EXC50_RS00540	DR088_RS03340
OG0000314	EXC50_RS00900	DR088_RS00565
OG0000315	EXC50_RS00930	DR088_RS00595
OG0000316	EXC50_RS00940	DR088_RS00605
OG0000317	EXC50_RS01030	DR088_RS00695
OG0000318	EXC50_RS00945	DR088_RS04330
OG0000319	EXC50_RS01080	DR088_RS02870
OG0000320	EXC50_RS01215	DR088_RS02420
OG0000321	EXC50_RS02755	DR088_RS02610
OG0000322	EXC50_RS02710	DR088_RS02655
OG0000323	EXC50_RS02580	DR088_RS02545
OG0000324	EXC50_RS01120	DR088_RS02910
OG0000325	EXC50_RS03385	DR088_RS02830
OG0000326	EXC50_RS03290	DR088_RS02735
OG0000327	EXC50_RS03285	DR088_RS02730
OG0000328	EXC50_RS03200	DR088_RS01740
OG0000329	EXC50_RS03180	DR088_RS01720
OG0000330	EXC50_RS02985	DR088_RS00800
OG0000331	EXC50_RS01815	DR088_RS03215
OG0000332	EXC50_RS01950	DR088_RS01455
OG0000333	EXC50_RS01960	DR088_RS01465
OG0000334	EXC50_RS02065	DR088_RS03505
OG0000335	EXC50_RS02075	DR088_RS01955
OG0000336	EXC50_RS02245	DR088_RS04485
OG0000337	EXC50_RS02415	DR088_RS01805
OG0000338	EXC50_RS02455	DR088_RS01845
OG0000339	EXC50_RS01185	DR088_RS02450
OG0000340	EXC50_RS02775	DR088_RS04665
OG0000341	EXC50_RS01140	DR088_RS02930
OG0000342	EXC50_RS03355	DR088_RS02800
OG0000343	EXC50_RS01970	DR088_RS01475
OG0000344	EXC50_RS03510	DR088_RS03055
OG0000345	EXC50_RS03065	DR088_RS01605
OG0000346	EXC50_RS02250	DR088_RS02210
OG0000347	EXC50_RS02685	DR088_RS02680
OG0000348	EXC50_RS03280	DR088_RS02725
OG0000349	EXC50_RS02310	DR088_RS04475
OG0000350	EXC50_RS01600	DR088_RS00175
OG0000351	EXC50_RS03590	DR088_RS01020
OG0000352	EXC50_RS00880	DR088_RS00545
OG0000353	EXC50_RS02715	DR088_RS02650
OG0000354	EXC50_RS03450	DR088_RS00745
OG0000355	EXC50_RS00850	DR088_RS04320
OG0000356	EXC50_RS00935	DR088_RS04325
OG0000357	EXC50_RS01930	DR088_RS04390
OG0000358	EXC50_RS01935	DR088_RS01440
OG0000359	EXC50_RS03310	DR088_RS04555
OG0000360	EXC50_RS00285	DR088_RS01240
OG0000361	EXC50_RS00315	DR088_RS01210
OG0000362	EXC50_RS01390	DR088_RS03145
OG0000363	EXC50_RS02645	DR088_RS02480
OG0000364	EXC50_RS03915, EXC50_RS03920	DR088_RS00490
OG0000365	EXC50_RS00975	DR088_RS04350
OG0000366	EXC50_RS01000	DR088_RS00665
OG0000367	EXC50_RS01010	DR088_RS00675
OG0000368	EXC50_RS00060	DR088_RS01910
OG0000369	EXC50_RS00025	DR088_RS04415
OG0000370	EXC50_RS00020	DR088_RS01870
OG0000371	EXC50_RS00015	DR088_RS01865
OG0000372	EXC50_RS00010	DR088_RS01860
OG0000373	EXC50_RS02445	DR088_RS01835
OG0000374	EXC50_RS02435	DR088_RS01825
OG0000375	EXC50_RS01075	DR088_RS02865
OG0000376	EXC50_RS01230	DR088_RS02405
OG0000377	EXC50_RS01220	DR088_RS02415
OG0000378	EXC50_RS02795	DR088_RS00995
OG0000379	EXC50_RS02720	DR088_RS02645
OG0000380	EXC50_RS02695	DR088_RS02670
