Orthogroup	MHP_NCTC10127_genes	MHP_MHP709_genes
OG0000523	EXC50_RS02205	DR088_RS02255
OG0000524	EXC50_RS01515	DR088_RS00095
OG0000525	EXC50_RS02170	DR088_RS04440
OG0000526	EXC50_RS04005	DR088_RS03780
OG0000527	EXC50_RS00720	DR088_RS00365
OG0000528	EXC50_RS00960	DR088_RS04345
OG0000529	EXC50_RS01090	DR088_RS02880
OG0000530	EXC50_RS01200	DR088_RS02435
OG0000531	EXC50_RS02690	DR088_RS02675
OG0000532	EXC50_RS00575	DR088_RS04600
OG0000533	EXC50_RS03490	DR088_RS00780
OG0000534	EXC50_RS00395	DR088_RS01135
OG0000535	EXC50_RS00045	DR088_RS04420
OG0000536	EXC50_RS02385	DR088_RS02125
OG0000537	EXC50_RS03360	DR088_RS02805
OG0000538	EXC50_RS02965	DR088_RS00820
OG0000539	EXC50_RS00220	DR088_RS01305
OG0000540	EXC50_RS01485	DR088_RS00065
OG0000541	EXC50_RS01560	DR088_RS00135
OG0000542	EXC50_RS00365	DR088_RS01165
OG0000544	EXC50_RS02835	DR088_RS04370
OG0000545	EXC50_RS00770	DR088_RS00420
OG0000546	EXC50_RS01630	DR088_RS03745
OG0000547	EXC50_RS01750	DR088_RS00325
OG0000548	EXC50_RS00535	DR088_RS03345
OG0000549	EXC50_RS02160	DR088_RS04435
OG0000550	EXC50_RS02305	DR088_RS02155
OG0000551	EXC50_RS01825	DR088_RS03225
OG0000552	EXC50_RS01980	DR088_RS01485
OG0000553	EXC50_RS01530	DR088_RS04295
OG0000554	EXC50_RS01245	DR088_RS02390
OG0000555	EXC50_RS04055	DR088_RS03765
OG0000557	EXC50_RS02825	DR088_RS00965
OG0000558	EXC50_RS02855	DR088_RS00935
OG0000559	EXC50_RS00655	DR088_RS02315
OG0000560	EXC50_RS00760	DR088_RS00405
OG0000561	EXC50_RS02980	DR088_RS00805
OG0000562	EXC50_RS00765	DR088_RS00410
OG0000563	EXC50_RS00750	DR088_RS00395
OG0000564	EXC50_RS04095	DR088_RS03880
OG0000565	EXC50_RS00810	DR088_RS00470
OG0000566	EXC50_RS00800	DR088_RS00455
OG0000567	EXC50_RS00775	DR088_RS00425
OG0000568	EXC50_RS03400	DR088_RS02845
OG0000569	EXC50_RS02850	DR088_RS00940
OG0000570	EXC50_RS02845	DR088_RS04365
OG0000571	EXC50_RS02840	DR088_RS00950
OG0000572	EXC50_RS02820	DR088_RS00970
OG0000573	EXC50_RS00650	DR088_RS02320
OG0000574	EXC50_RS02780	DR088_RS01010
OG0000575	EXC50_RS02865	DR088_RS00925
OG0000576	EXC50_RS00610	DR088_RS02365
OG0000577	EXC50_RS01505	DR088_RS00085
OG0000578	EXC50_RS01525	DR088_RS00105
OG0000579	EXC50_RS00740	DR088_RS00385
OG0000580	EXC50_RS04050	DR088_RS03750
OG0000581	EXC50_RS00725	DR088_RS00370
OG0000582	EXC50_RS04100	DR088_RS04375
OG0000583	EXC50_RS00640	DR088_RS02330
OG0000586	EXC50_RS00625	DR088_RS02345
OG0000587	EXC50_RS03910	DR088_RS03785
OG0000588	EXC50_RS00600	DR088_RS02370
OG0000591	EXC50_RS03890	DR088_RS00500
OG0000592	EXC50_RS01495	DR088_RS00075
OG0000593	EXC50_RS02370	DR088_RS02110
OG0000594	EXC50_RS02860	DR088_RS00930
OG0000601	EXC50_RS00755	DR088_RS00400
OG0000602	EXC50_RS00980	DR088_RS00645
OG0000604	EXC50_RS04240	DR088_RS03755
OG0000606	EXC50_RS00730	DR088_RS00375
OG0000607	EXC50_RS04105	DR088_RS00915
OG0000608	EXC50_RS04000	DR088_RS00415
OG0000609	EXC50_RS03905	DR088_RS00440
OG0000611	EXC50_RS00090	DR088_RS01940
OG0000619	EXC50_RS00735	DR088_RS00380
OG0000620	EXC50_RS03885	DR088_RS00480
