Orthogroup	MHP_KM014_genes	MFC_Ms42_genes
OG0000220	CIB43_RS01860	MYF_RS02285
OG0000221	CIB43_RS01865	MYF_RS02290
OG0000222	CIB43_RS01870	MYF_RS03240
OG0000223	CIB43_RS01875	MYF_RS02295
OG0000225	CIB43_RS01895	MYF_RS02315
OG0000226	CIB43_RS01900	MYF_RS02320
OG0000227	CIB43_RS01905	MYF_RS02325
OG0000228	CIB43_RS01910	MYF_RS03530
OG0000229	CIB43_RS01915	MYF_RS02335
OG0000230	CIB43_RS01920	MYF_RS02340
OG0000231	CIB43_RS01935	MYF_RS02350
OG0000232	CIB43_RS01940	MYF_RS02360
OG0000233	CIB43_RS01965	MYF_RS02370
OG0000234	CIB43_RS02000	MYF_RS02400
OG0000235	CIB43_RS02005	MYF_RS02410
OG0000236	CIB43_RS02010	MYF_RS02415
OG0000237	CIB43_RS02015	MYF_RS02430
OG0000238	CIB43_RS02025	MYF_RS02435
OG0000239	CIB43_RS03860	MYF_RS02465
OG0000240	CIB43_RS03870	MYF_RS02470
OG0000241	CIB43_RS03875	MYF_RS02480
OG0000242	CIB43_RS03880	MYF_RS02485
OG0000243	CIB43_RS03885	MYF_RS02490
OG0000244	CIB43_RS03900	MYF_RS02500
OG0000245	CIB43_RS03905	MYF_RS02510
OG0000246	CIB43_RS00845	MYF_RS00085
OG0000247	CIB43_RS00850	MYF_RS00095
OG0000248	CIB43_RS00875	MYF_RS00120
OG0000250	CIB43_RS00885	MYF_RS00140
OG0000251	CIB43_RS00925	MYF_RS00170
OG0000252	CIB43_RS00930	MYF_RS00180
OG0000253	CIB43_RS00940	MYF_RS00185
OG0000254	CIB43_RS00950	MYF_RS00195
OG0000255	CIB43_RS00955	MYF_RS00205
OG0000256	CIB43_RS00960	MYF_RS00210
OG0000257	CIB43_RS00985	MYF_RS00235
OG0000258	CIB43_RS01015	MYF_RS00245
OG0000259	CIB43_RS01030	MYF_RS00275
OG0000260	CIB43_RS01045	MYF_RS00285
OG0000262	CIB43_RS01075	MYF_RS00310
OG0000263	CIB43_RS01080	MYF_RS00325
OG0000264	CIB43_RS01100	MYF_RS00340
OG0000265	CIB43_RS01110	MYF_RS00350
OG0000266	CIB43_RS01120	MYF_RS00365
OG0000267	CIB43_RS01135	MYF_RS00380
OG0000268	CIB43_RS01305	MYF_RS00385
OG0000269	CIB43_RS01320	MYF_RS00400
OG0000270	CIB43_RS00575	MYF_RS02955
OG0000271	CIB43_RS00570	MYF_RS02950
OG0000272	CIB43_RS00565	MYF_RS02945
OG0000273	CIB43_RS00560	MYF_RS02940
OG0000274	CIB43_RS00545	MYF_RS02920
OG0000275	CIB43_RS00535	MYF_RS02915
OG0000276	CIB43_RS00530	MYF_RS02910
OG0000277	CIB43_RS00525	MYF_RS02900
OG0000278	CIB43_RS00515	MYF_RS02895
OG0000279	CIB43_RS00510	MYF_RS02885
OG0000280	CIB43_RS00500	MYF_RS02880
OG0000281	CIB43_RS00495	MYF_RS03275
OG0000283	CIB43_RS00475	MYF_RS02850
OG0000284	CIB43_RS00460	MYF_RS02845
OG0000285	CIB43_RS00455	MYF_RS02840
OG0000286	CIB43_RS03345	MYF_RS01115
OG0000287	CIB43_RS03440	MYF_RS01090
OG0000288	CIB43_RS03450	MYF_RS01080
OG0000289	CIB43_RS03455	MYF_RS01075
OG0000290	CIB43_RS03565	MYF_RS00905
OG0000291	CIB43_RS03560	MYF_RS00915
OG0000292	CIB43_RS03550	MYF_RS00920
