Orthogroup	MHP_KM014_genes	MHP_133A_genes
OG0000128	CIB43_RS02320	NB626_RS01575
OG0000129	CIB43_RS02330	NB626_RS01580
OG0000130	CIB43_RS02335	NB626_RS01590
OG0000131	CIB43_RS02370	NB626_RS01620
OG0000132	CIB43_RS02385	NB626_RS01635
OG0000133	CIB43_RS01415	NB626_RS00630
OG0000134	CIB43_RS01425	NB626_RS00635
OG0000135	CIB43_RS01435	NB626_RS00650
OG0000136	CIB43_RS01440	NB626_RS00655
OG0000137	CIB43_RS01470	NB626_RS00685
OG0000138	CIB43_RS01495	NB626_RS00720
OG0000139	CIB43_RS01525	NB626_RS00750
OG0000140	CIB43_RS01540	NB626_RS00755
OG0000141	CIB43_RS03850	NB626_RS03115
OG0000142	CIB43_RS03845	NB626_RS03110
OG0000143	CIB43_RS03835	NB626_RS03095
OG0000144	CIB43_RS03815	NB626_RS03080
OG0000145	CIB43_RS03805	NB626_RS03070
OG0000146	CIB43_RS03790	NB626_RS03060
OG0000147	CIB43_RS03785	NB626_RS03055
OG0000148	CIB43_RS03780	NB626_RS03040
OG0000149	CIB43_RS03760	NB626_RS03030
OG0000150	CIB43_RS03745	NB626_RS03025
OG0000151	CIB43_RS03700	NB626_RS02965
OG0000152	CIB43_RS03695	NB626_RS02960
OG0000153	CIB43_RS03690	NB626_RS02955
OG0000154	CIB43_RS03680	NB626_RS02945
OG0000155	CIB43_RS03645	NB626_RS02905
OG0000156	CIB43_RS03635	NB626_RS02895
OG0000157	CIB43_RS03625	NB626_RS02890
OG0000158	CIB43_RS03620	NB626_RS02880
OG0000159	CIB43_RS03385	NB626_RS02640
OG0000160	CIB43_RS03380	NB626_RS02635
OG0000161	CIB43_RS03375	NB626_RS02630
OG0000163	CIB43_RS03370	NB626_RS02615
OG0000164	CIB43_RS02495	NB626_RS01715
OG0000165	CIB43_RS02840	NB626_RS02075
OG0000166	CIB43_RS02860	NB626_RS02090
OG0000167	CIB43_RS02875	NB626_RS02105
OG0000168	CIB43_RS02880	NB626_RS02110
OG0000169	CIB43_RS00130	NB626_RS03230
OG0000171	CIB43_RS00155	NB626_RS03255
OG0000172	CIB43_RS00160	NB626_RS03260
OG0000173	CIB43_RS00165	NB626_RS03265
OG0000174	CIB43_RS00170	NB626_RS03270
OG0000175	CIB43_RS00190	NB626_RS03290
OG0000176	CIB43_RS00235	NB626_RS03345
OG0000177	CIB43_RS00240	NB626_RS03350
OG0000178	CIB43_RS00245	NB626_RS03355
OG0000179	CIB43_RS00255	NB626_RS03365
OG0000180	CIB43_RS00260	NB626_RS03370
OG0000181	CIB43_RS00310	NB626_RS03410
OG0000182	CIB43_RS00320	NB626_RS03420
OG0000183	CIB43_RS00355	NB626_RS03455
OG0000184	CIB43_RS00430	NB626_RS03500
OG0000185	CIB43_RS00380	NB626_RS03485
OG0000186	CIB43_RS02400	NB626_RS01645
OG0000187	CIB43_RS02410	NB626_RS01660
OG0000188	CIB43_RS02425	NB626_RS01670
OG0000189	CIB43_RS03200	NB626_RS02460
OG0000190	CIB43_RS03195	NB626_RS02455
OG0000191	CIB43_RS03180	NB626_RS02430
OG0000192	CIB43_RS02085	NB626_RS01335
OG0000193	CIB43_RS02075	NB626_RS01320
OG0000194	CIB43_RS01560	NB626_RS00790
OG0000195	CIB43_RS01565	NB626_RS00795
OG0000196	CIB43_RS01585	NB626_RS00820
OG0000197	CIB43_RS01590	NB626_RS00830
OG0000198	CIB43_RS01605	NB626_RS00840
OG0000199	CIB43_RS01615	NB626_RS00845
OG0000200	CIB43_RS01630	NB626_RS00860
OG0000201	CIB43_RS01635	NB626_RS00870
OG0000202	CIB43_RS01690	NB626_RS00940
OG0000203	CIB43_RS01695	NB626_RS00945
OG0000204	CIB43_RS01700	NB626_RS00950
OG0000205	CIB43_RS01705	NB626_RS00955
OG0000206	CIB43_RS01735	NB626_RS00975
OG0000207	CIB43_RS01740	NB626_RS00990
OG0000208	CIB43_RS01745	NB626_RS00995
OG0000209	CIB43_RS01750	NB626_RS01000
OG0000210	CIB43_RS01800	NB626_RS01050
OG0000211	CIB43_RS01805	NB626_RS01065
OG0000212	CIB43_RS01815	NB626_RS01070
OG0000213	CIB43_RS01820	NB626_RS01075
OG0000214	CIB43_RS01825	NB626_RS01080
OG0000215	CIB43_RS01830	NB626_RS01085
OG0000216	CIB43_RS01835	NB626_RS01090
OG0000217	CIB43_RS01845	NB626_RS01095
OG0000218	CIB43_RS01850	NB626_RS01105
OG0000219	CIB43_RS01855	NB626_RS01110
OG0000220	CIB43_RS01860	NB626_RS01115
OG0000221	CIB43_RS01865	NB626_RS01120
OG0000222	CIB43_RS01870	NB626_RS01125
OG0000223	CIB43_RS01875	NB626_RS01130
OG0000225	CIB43_RS01895	NB626_RS01150
OG0000226	CIB43_RS01900	NB626_RS01155
OG0000227	CIB43_RS01905	NB626_RS01160
OG0000228	CIB43_RS01910	NB626_RS01165
OG0000229	CIB43_RS01915	NB626_RS01170
OG0000230	CIB43_RS01920	NB626_RS01180
OG0000231	CIB43_RS01935	NB626_RS01185
OG0000232	CIB43_RS01940	NB626_RS01195
OG0000233	CIB43_RS01965	NB626_RS01215
OG0000234	CIB43_RS02000	NB626_RS01250
OG0000235	CIB43_RS02005	NB626_RS01260
OG0000236	CIB43_RS02010	NB626_RS01265
OG0000237	CIB43_RS02015	NB626_RS01270
OG0000238	CIB43_RS02025	NB626_RS01275
OG0000239	CIB43_RS03860	NB626_RS03125
OG0000240	CIB43_RS03870	NB626_RS03130
OG0000241	CIB43_RS03875	NB626_RS03140
OG0000242	CIB43_RS03880	NB626_RS03145
OG0000243	CIB43_RS03885	NB626_RS03150
OG0000244	CIB43_RS03900	NB626_RS03160
OG0000245	CIB43_RS03905	NB626_RS03170
OG0000246	CIB43_RS00845	NB626_RS00140
OG0000247	CIB43_RS00850	NB626_RS00150
OG0000248	CIB43_RS00875	NB626_RS00160
OG0000250	CIB43_RS00885	NB626_RS00180
OG0000251	CIB43_RS00925	NB626_RS00215
OG0000252	CIB43_RS00930	NB626_RS00220
OG0000253	CIB43_RS00940	NB626_RS00225
OG0000254	CIB43_RS00950	NB626_RS00235
OG0000255	CIB43_RS00955	NB626_RS00240
OG0000256	CIB43_RS00960	NB626_RS00250
OG0000257	CIB43_RS00985	NB626_RS00270
OG0000258	CIB43_RS01015	NB626_RS00280
OG0000259	CIB43_RS01030	NB626_RS00310
OG0000260	CIB43_RS01045	NB626_RS00320
OG0000262	CIB43_RS01075	NB626_RS00350
OG0000263	CIB43_RS01080	NB626_RS00365
OG0000264	CIB43_RS01100	NB626_RS00380
OG0000265	CIB43_RS01110	NB626_RS00390
OG0000266	CIB43_RS01120	NB626_RS00405
OG0000267	CIB43_RS01135	NB626_RS00420
OG0000268	CIB43_RS01305	NB626_RS00520
OG0000269	CIB43_RS01320	NB626_RS00535
OG0000270	CIB43_RS00575	NB626_RS03700
OG0000271	CIB43_RS00570	NB626_RS03695
OG0000272	CIB43_RS00565	NB626_RS03690
OG0000273	CIB43_RS00560	NB626_RS03685
