Orthogroup	MHP_KM014_genes	MHP_MHP699_genes
OG0000112	CIB43_RS03280	DR100_RS02265
OG0000113	CIB43_RS03260	DR100_RS04875
OG0000114	CIB43_RS03245	DR100_RS03465
OG0000115	CIB43_RS03230	DR100_RS03475
OG0000116	CIB43_RS02165	DR100_RS00220
OG0000117	CIB43_RS02170	DR100_RS00225
OG0000118	CIB43_RS02205	DR100_RS00260
OG0000119	CIB43_RS02210	DR100_RS00265
OG0000120	CIB43_RS02230	DR100_RS00280
OG0000121	CIB43_RS02250	DR100_RS00305
OG0000122	CIB43_RS02255	DR100_RS00310
OG0000123	CIB43_RS02275	DR100_RS00330
OG0000124	CIB43_RS02280	DR100_RS00335
OG0000125	CIB43_RS02285	DR100_RS00345
OG0000126	CIB43_RS02295	DR100_RS02315
OG0000127	CIB43_RS02305	DR100_RS02325
OG0000128	CIB43_RS02320	DR100_RS02340
OG0000129	CIB43_RS02330	DR100_RS02345
OG0000130	CIB43_RS02335	DR100_RS02355
OG0000131	CIB43_RS02370	DR100_RS02385
OG0000132	CIB43_RS02385	DR100_RS04760
OG0000133	CIB43_RS01415	DR100_RS02665
OG0000134	CIB43_RS01425	DR100_RS02660
OG0000135	CIB43_RS01435	DR100_RS02645
OG0000136	CIB43_RS01440	DR100_RS02640
OG0000137	CIB43_RS01470	DR100_RS02610
OG0000138	CIB43_RS01495	DR100_RS00735
OG0000139	CIB43_RS01525	DR100_RS00765
OG0000140	CIB43_RS01540	DR100_RS00770
OG0000141	CIB43_RS03850	DR100_RS01655
OG0000142	CIB43_RS03845	DR100_RS04720
OG0000143	CIB43_RS03835	DR100_RS01685
OG0000144	CIB43_RS03815	DR100_RS01695
OG0000145	CIB43_RS03805	DR100_RS01705
OG0000146	CIB43_RS03790	DR100_RS01715
OG0000147	CIB43_RS03785	DR100_RS01720
OG0000148	CIB43_RS03780	DR100_RS01735
OG0000149	CIB43_RS03760	DR100_RS01745
OG0000150	CIB43_RS03745	DR100_RS01760
OG0000151	CIB43_RS03700	DR100_RS03315
OG0000152	CIB43_RS03695	DR100_RS03310
OG0000153	CIB43_RS03690	DR100_RS03305
OG0000154	CIB43_RS03680	DR100_RS03295
OG0000155	CIB43_RS03645	DR100_RS02500
OG0000156	CIB43_RS03635	DR100_RS02490
OG0000157	CIB43_RS03625	DR100_RS04790
OG0000158	CIB43_RS03620	DR100_RS04785
OG0000159	CIB43_RS03385	DR100_RS02730
OG0000160	CIB43_RS03380	DR100_RS02725
OG0000161	CIB43_RS03375	DR100_RS02720
OG0000163	CIB43_RS03370	DR100_RS02705
OG0000164	CIB43_RS02495	DR100_RS03410
OG0000165	CIB43_RS02840	DR100_RS01980
OG0000166	CIB43_RS02860	DR100_RS01960
OG0000167	CIB43_RS02875	DR100_RS02815
OG0000168	CIB43_RS02880	DR100_RS02810
OG0000169	CIB43_RS00130	DR100_RS01460
OG0000171	CIB43_RS00155	DR100_RS01485
OG0000172	CIB43_RS00160	DR100_RS01490
OG0000173	CIB43_RS00165	DR100_RS01495
OG0000174	CIB43_RS00170	DR100_RS01500
OG0000175	CIB43_RS00190	DR100_RS01515
OG0000176	CIB43_RS00235	DR100_RS03330
OG0000177	CIB43_RS00240	DR100_RS03335
OG0000178	CIB43_RS00245	DR100_RS03340
OG0000179	CIB43_RS00255	DR100_RS03350
OG0000180	CIB43_RS00260	DR100_RS03355
OG0000181	CIB43_RS00310	DR100_RS04825
OG0000182	CIB43_RS00320	DR100_RS03060
OG0000183	CIB43_RS00355	DR100_RS03095
OG0000184	CIB43_RS00430	DR100_RS03180
OG0000185	CIB43_RS00380	DR100_RS03195
OG0000186	CIB43_RS02400	DR100_RS04765
OG0000187	CIB43_RS02410	DR100_RS02425
OG0000188	CIB43_RS02425	DR100_RS02435
OG0000189	CIB43_RS03200	DR100_RS04845
OG0000190	CIB43_RS03195	DR100_RS03230
OG0000191	CIB43_RS03180	DR100_RS03210
OG0000192	CIB43_RS02085	DR100_RS00140
OG0000193	CIB43_RS02075	DR100_RS00125
OG0000194	CIB43_RS01560	DR100_RS00790
OG0000195	CIB43_RS01565	DR100_RS00795
OG0000196	CIB43_RS01585	DR100_RS00815
OG0000197	CIB43_RS01590	DR100_RS00820
OG0000198	CIB43_RS01605	DR100_RS00835
OG0000199	CIB43_RS01615	DR100_RS00840
OG0000200	CIB43_RS01630	DR100_RS00855
OG0000201	CIB43_RS01635	DR100_RS00865
OG0000202	CIB43_RS01690	DR100_RS00920
OG0000203	CIB43_RS01695	DR100_RS00925
OG0000204	CIB43_RS01700	DR100_RS00930
OG0000205	CIB43_RS01705	DR100_RS00935
OG0000206	CIB43_RS01735	DR100_RS00955
OG0000207	CIB43_RS01740	DR100_RS00970
OG0000208	CIB43_RS01745	DR100_RS00975
OG0000209	CIB43_RS01750	DR100_RS00980
OG0000210	CIB43_RS01800	DR100_RS01025
OG0000211	CIB43_RS01805	DR100_RS02965
OG0000212	CIB43_RS01815	DR100_RS02955
OG0000213	CIB43_RS01820	DR100_RS02950
OG0000214	CIB43_RS01825	DR100_RS02945
OG0000215	CIB43_RS01830	DR100_RS02940
OG0000216	CIB43_RS01835	DR100_RS02935
OG0000217	CIB43_RS01845	DR100_RS02930
OG0000218	CIB43_RS01850	DR100_RS02920
OG0000219	CIB43_RS01855	DR100_RS02915
OG0000220	CIB43_RS01860	DR100_RS02910
OG0000221	CIB43_RS01865	DR100_RS02905
OG0000222	CIB43_RS01870	DR100_RS02900
OG0000223	CIB43_RS01875	DR100_RS02895
OG0000225	CIB43_RS01895	DR100_RS02875
OG0000226	CIB43_RS01900	DR100_RS02870
OG0000227	CIB43_RS01905	DR100_RS02865
OG0000228	CIB43_RS01910	DR100_RS04935
OG0000229	CIB43_RS01915	DR100_RS02855
OG0000230	CIB43_RS01920	DR100_RS02850
OG0000231	CIB43_RS01935	DR100_RS02840
OG0000232	CIB43_RS01940	DR100_RS02830
OG0000233	CIB43_RS01965	DR100_RS00010
OG0000234	CIB43_RS02000	DR100_RS00045
OG0000235	CIB43_RS02005	DR100_RS00055
OG0000236	CIB43_RS02010	DR100_RS00060
OG0000237	CIB43_RS02015	DR100_RS00065
OG0000238	CIB43_RS02025	DR100_RS00075
OG0000239	CIB43_RS03860	DR100_RS03120
OG0000240	CIB43_RS03870	DR100_RS03125
OG0000241	CIB43_RS03875	DR100_RS03135
OG0000242	CIB43_RS03880	DR100_RS03140
OG0000243	CIB43_RS03885	DR100_RS03145
OG0000244	CIB43_RS03900	DR100_RS03155
OG0000245	CIB43_RS03905	DR100_RS03165
OG0000246	CIB43_RS00845	DR100_RS01055
OG0000247	CIB43_RS00850	DR100_RS00705
OG0000248	CIB43_RS00875	DR100_RS00695
OG0000250	CIB43_RS00885	DR100_RS00675
OG0000251	CIB43_RS00925	DR100_RS00640
OG0000252	CIB43_RS00930	DR100_RS00630
OG0000253	CIB43_RS00940	DR100_RS00625
OG0000254	CIB43_RS00950	DR100_RS00615
OG0000255	CIB43_RS00955	DR100_RS00605
OG0000256	CIB43_RS00960	DR100_RS00600
OG0000257	CIB43_RS00985	DR100_RS00575
OG0000258	CIB43_RS01015	DR100_RS00565
OG0000259	CIB43_RS01030	DR100_RS00535
OG0000260	CIB43_RS01045	DR100_RS00525
OG0000262	CIB43_RS01075	DR100_RS00500
OG0000263	CIB43_RS01080	DR100_RS00485
OG0000264	CIB43_RS01100	DR100_RS00470
OG0000265	CIB43_RS01110	DR100_RS00460
OG0000266	CIB43_RS01120	DR100_RS00445
OG0000267	CIB43_RS01135	DR100_RS00430
OG0000268	CIB43_RS01305	DR100_RS00425
OG0000269	CIB43_RS01320	DR100_RS00410
OG0000270	CIB43_RS00575	DR100_RS04660
OG0000271	CIB43_RS00570	DR100_RS01315
OG0000272	CIB43_RS00565	DR100_RS01320
OG0000273	CIB43_RS00560	DR100_RS01325
OG0000274	CIB43_RS00545	DR100_RS01345
OG0000275	CIB43_RS00535	DR100_RS04670
OG0000276	CIB43_RS00530	DR100_RS01355
OG0000277	CIB43_RS00525	DR100_RS01365
OG0000278	CIB43_RS00515	DR100_RS01370
OG0000279	CIB43_RS00510	DR100_RS01380
