Orthogroup	MHP_NCTC10127_genes	MHP_168L_genes
OG0000472	EXC50_RS02165	MHP168L_RS03315
OG0000473	EXC50_RS02340	MHP168L_RS03485
OG0000475	EXC50_RS02350	MHP168L_RS03490
OG0000476	EXC50_RS02535	MHP168L_RS01645
OG0000477	EXC50_RS01465	MHP168L_RS02650
OG0000478	EXC50_RS02285	MHP168L_RS03425
OG0000479	EXC50_RS02760	MHP168L_RS01420
OG0000480	EXC50_RS03895	MHP168L_RS03885
OG0000481	EXC50_RS03270	MHP168L_RS00850
OG0000482	EXC50_RS02875	MHP168L_RS01295
OG0000483	EXC50_RS01015	MHP168L_RS02240
OG0000484	EXC50_RS00205	MHP168L_RS00175
OG0000485	EXC50_RS02920	MHP168L_RS01150
OG0000486	EXC50_RS01155	MHP168L_RS02325
OG0000487	EXC50_RS00950	MHP168L_RS02095
OG0000488	EXC50_RS00985	MHP168L_RS02270
OG0000489	EXC50_RS00050	MHP168L_RS00050
OG0000490	EXC50_RS02450	MHP168L_RS03655
OG0000491	EXC50_RS02740	MHP168L_RS01440
OG0000492	EXC50_RS02665	MHP168L_RS01515
OG0000493	EXC50_RS03505	MHP168L_RS00565
OG0000495	EXC50_RS01675	MHP168L_RS02865
OG0000496	EXC50_RS01665	MHP168L_RS02855
OG0000497	EXC50_RS01660	MHP168L_RS02850
OG0000498	EXC50_RS01580	MHP168L_RS02770
OG0000499	EXC50_RS01545	MHP168L_RS02735
OG0000500	EXC50_RS00875	MHP168L_RS02020
OG0000501	EXC50_RS01905	MHP168L_RS03065
OG0000502	EXC50_RS02885	MHP168L_RS01285
OG0000503	EXC50_RS03325	MHP168L_RS00905
OG0000505	EXC50_RS03155	MHP168L_RS00725
OG0000506	EXC50_RS03145	MHP168L_RS00715
OG0000507	EXC50_RS03110	MHP168L_RS00685
OG0000508	EXC50_RS00260	MHP168L_RS00230
OG0000509	EXC50_RS00295	MHP168L_RS00265
OG0000510	EXC50_RS00305	MHP168L_RS00275
OG0000511	EXC50_RS03655	MHP168L_RS00410
OG0000512	EXC50_RS01400	MHP168L_RS02585
OG0000513	EXC50_RS02270	MHP168L_RS03410
OG0000514	EXC50_RS01700	MHP168L_RS02890
OG0000515	EXC50_RS02525, EXC50_RS00520	MHP168L_RS01655
OG0000516	EXC50_RS00955	MHP168L_RS02100
OG0000517	EXC50_RS00065	MHP168L_RS00065
OG0000518	EXC50_RS01945	MHP168L_RS03105
OG0000519	EXC50_RS03300	MHP168L_RS00880
OG0000520	EXC50_RS03175	MHP168L_RS00750
OG0000521	EXC50_RS00275	MHP168L_RS00245
OG0000522	EXC50_RS00310	MHP168L_RS00280
OG0000523	EXC50_RS02205	MHP168L_RS03350
OG0000524	EXC50_RS01515	MHP168L_RS02705
OG0000525	EXC50_RS02170	MHP168L_RS03320
OG0000526	EXC50_RS04005	MHP168L_RS03980
OG0000527	EXC50_RS00720	MHP168L_RS03975
OG0000528	EXC50_RS00960	MHP168L_RS02105
OG0000529	EXC50_RS01090	MHP168L_RS02150
OG0000530	EXC50_RS01200	MHP168L_RS02370
OG0000531	EXC50_RS02690	MHP168L_RS01490
OG0000532	EXC50_RS00575	MHP168L_RS01805
OG0000533	EXC50_RS03490	MHP168L_RS01060
OG0000534	EXC50_RS00395	MHP168L_RS00360
OG0000535	EXC50_RS00045	MHP168L_RS00045
OG0000536	EXC50_RS02385	MHP168L_RS03525
OG0000537	EXC50_RS03360	MHP168L_RS00935
OG0000538	EXC50_RS02965	MHP168L_RS01105
OG0000539	EXC50_RS00220	MHP168L_RS00190
OG0000540	EXC50_RS01485	MHP168L_RS02670
OG0000541	EXC50_RS01560	MHP168L_RS02750
OG0000542	EXC50_RS00365	MHP168L_RS00330
OG0000543	EXC50_RS03875	MHP168L_RS03870
OG0000543	EXC50_RS00505	MHP168L_RS03535
OG0000544	EXC50_RS02835	MHP168L_RS01335
OG0000545	EXC50_RS00770	MHP168L_RS01925
OG0000546	EXC50_RS01630	MHP168L_RS02820
OG0000547	EXC50_RS01750	MHP168L_RS02940
OG0000548	EXC50_RS00535	MHP168L_RS01840
OG0000549	EXC50_RS02160	MHP168L_RS03310
OG0000550	EXC50_RS02305	MHP168L_RS03445
OG0000551	EXC50_RS01825	MHP168L_RS03015
OG0000552	EXC50_RS01980	MHP168L_RS03140
OG0000553	EXC50_RS01530	MHP168L_RS02720
OG0000554	EXC50_RS01245	MHP168L_RS02415
OG0000555	EXC50_RS04055	MHP168L_RS02945
OG0000556	EXC50_RS03790, EXC50_RS03775	MHP168L_RS03560
OG0000557	EXC50_RS02825	MHP168L_RS01345
OG0000558	EXC50_RS02855	MHP168L_RS01315
OG0000559	EXC50_RS00655	MHP168L_RS01740
OG0000560	EXC50_RS00760	MHP168L_RS01915
OG0000561	EXC50_RS02980	MHP168L_RS01090
OG0000562	EXC50_RS00765	MHP168L_RS01920
OG0000563	EXC50_RS00750	MHP168L_RS01905
OG0000564	EXC50_RS04095	MHP168L_RS03955
OG0000565	EXC50_RS00810	MHP168L_RS01965
OG0000566	EXC50_RS00800	MHP168L_RS01955
OG0000567	EXC50_RS00775	MHP168L_RS01930
OG0000568	EXC50_RS03400	MHP168L_RS00975
OG0000569	EXC50_RS02850	MHP168L_RS01320
OG0000570	EXC50_RS02845	MHP168L_RS01325
OG0000571	EXC50_RS02840	MHP168L_RS01330
OG0000572	EXC50_RS02820	MHP168L_RS01350
OG0000573	EXC50_RS00650	MHP168L_RS01745
OG0000574	EXC50_RS02780	MHP168L_RS01395
OG0000575	EXC50_RS02865	MHP168L_RS01305
OG0000576	EXC50_RS00610	MHP168L_RS01780
OG0000577	EXC50_RS01505	MHP168L_RS02695
OG0000578	EXC50_RS01525	MHP168L_RS02715
OG0000579	EXC50_RS00740	MHP168L_RS01890
OG0000580	EXC50_RS04050	MHP168L_RS04050
OG0000581	EXC50_RS00725	MHP168L_RS01875
OG0000582	EXC50_RS04100	MHP168L_RS03935
OG0000583	EXC50_RS00640	MHP168L_RS01755
OG0000584	EXC50_RS03755	MHP168L_RS01245
OG0000586	EXC50_RS00625	MHP168L_RS01765
OG0000587	EXC50_RS03910	MHP168L_RS04085
OG0000588	EXC50_RS00600	MHP168L_RS01785
OG0000590	EXC50_RS03745	MHP168L_RS03550
OG0000591	EXC50_RS03890	MHP168L_RS04095
OG0000592	EXC50_RS01495	MHP168L_RS02680
OG0000593	EXC50_RS02370	MHP168L_RS03510
OG0000594	EXC50_RS02860	MHP168L_RS01310
OG0000598	EXC50_RS00690	MHP168L_RS01700
OG0000599	EXC50_RS00695	MHP168L_RS01695
OG0000600	EXC50_RS02480	MHP168L_RS01240
OG0000601	EXC50_RS00755	MHP168L_RS01910
OG0000602	EXC50_RS00980	MHP168L_RS02275
OG0000604	EXC50_RS04240	MHP168L_RS04100
OG0000605	EXC50_RS02495, EXC50_RS02490, EXC50_RS03770	MHP168L_RS01220
OG0000606	EXC50_RS00730	MHP168L_RS01880
OG0000609	EXC50_RS03905	MHP168L_RS03835
OG0000610	EXC50_RS04245	MHP168L_RS04075
OG0000612	EXC50_RS03995	MHP168L_RS04070
OG0000615	EXC50_RS01535	MHP168L_RS02725
OG0000616	EXC50_RS03795	MHP168L_RS03565
OG0000619	EXC50_RS00735	MHP168L_RS01885
OG0000620	EXC50_RS03885	MHP168L_RS03820
OG0000621	EXC50_RS04230	MHP168L_RS04090
