Orthogroup	MHP_NCTC10127_genes	MHP_168L_genes
OG0000445	EXC50_RS00235	MHP168L_RS00205
OG0000446	EXC50_RS00265	MHP168L_RS00235
OG0000447	EXC50_RS00270	MHP168L_RS00240
OG0000448	EXC50_RS00300	MHP168L_RS00270
OG0000449	EXC50_RS00325	MHP168L_RS00295
OG0000450	EXC50_RS00335	MHP168L_RS00305
OG0000451	EXC50_RS00380	MHP168L_RS00345
OG0000452	EXC50_RS00410	MHP168L_RS00370
OG0000453	EXC50_RS03660	MHP168L_RS00405
OG0000454	EXC50_RS03725, EXC50_RS03855, EXC50_RS03675	MHP168L_RS01670
OG0000455	EXC50_RS02355	MHP168L_RS03495
OG0000456	EXC50_RS02235	MHP168L_RS03380
OG0000457	EXC50_RS02210	MHP168L_RS03355
OG0000458	EXC50_RS01360	MHP168L_RS02545
OG0000459	EXC50_RS01385	MHP168L_RS02570
OG0000460	EXC50_RS01395	MHP168L_RS02580
OG0000461	EXC50_RS01440	MHP168L_RS02625
OG0000462	EXC50_RS01435	MHP168L_RS02620
OG0000463	EXC50_RS01430	MHP168L_RS02615
OG0000464	EXC50_RS01425	MHP168L_RS02610
OG0000465	EXC50_RS01420	MHP168L_RS02605
OG0000466	EXC50_RS00415	MHP168L_RS00375
OG0000467	EXC50_RS01520	MHP168L_RS02710
OG0000468	EXC50_RS00910	MHP168L_RS02055
OG0000469	EXC50_RS00970	MHP168L_RS02115
OG0000470	EXC50_RS03950	MHP168L_RS03850
OG0000471	EXC50_RS03165	MHP168L_RS00740
