Orthogroup	MFC_MF33_genes	MFC_ATCC27716_genes
OG0000073	DR085_RS02070	MFC_RS03395, MFC_RS03390
OG0000074	DR085_RS03690	MFC_RS03400
OG0000075	DR085_RS00175	MFC_RS02565
OG0000076	DR085_RS00190	MFC_RS02580
OG0000077	DR085_RS00275	MFC_RS02670
OG0000078	DR085_RS00755	MFC_RS03005
OG0000079	DR085_RS00860	MFC_RS02930, MFC_RS03120
OG0000080	DR085_RS03275	MFC_RS03315
OG0000081	DR085_RS00170	MFC_RS02560
OG0000082	DR085_RS00920	MFC_RS02870
OG0000083	DR085_RS03000	MFC_RS00040
OG0000084	DR085_RS02830	MFC_RS00070
OG0000085	DR085_RS02835	MFC_RS00075
OG0000086	DR085_RS03880	MFC_RS00085
OG0000087	DR085_RS02860	MFC_RS03320
OG0000088	DR085_RS02865	MFC_RS00105
OG0000089	DR085_RS02875	MFC_RS00115
OG0000090	DR085_RS02335	MFC_RS00165
OG0000091	DR085_RS02320	MFC_RS00180
OG0000092	DR085_RS02305	MFC_RS00195
OG0000093	DR085_RS02300	MFC_RS00200
OG0000094	DR085_RS02295	MFC_RS00205
OG0000095	DR085_RS02270	MFC_RS00230
OG0000096	DR085_RS02265	MFC_RS00235
OG0000097	DR085_RS02245	MFC_RS00255
OG0000098	DR085_RS02235	MFC_RS00265
OG0000099	DR085_RS02430	MFC_RS00320
OG0000100	DR085_RS02440	MFC_RS00335
OG0000101	DR085_RS02445	MFC_RS00340
OG0000102	DR085_RS02455	MFC_RS00350
OG0000103	DR085_RS01930	MFC_RS00405
OG0000104	DR085_RS01925	MFC_RS00410
OG0000105	DR085_RS01910	MFC_RS00425
OG0000106	DR085_RS01900	MFC_RS00435
OG0000107	DR085_RS01890	MFC_RS00445
OG0000108	DR085_RS01885	MFC_RS00450
OG0000109	DR085_RS01880	MFC_RS00455
OG0000110	DR085_RS01875	MFC_RS00460
OG0000111	DR085_RS01870	MFC_RS00465
