Orthogroup	MHP_ES2_genes	MHP_NCTC10127_genes
OG0000255	E5E95_RS00240	EXC50_RS00250
OG0000256	E5E95_RS00245	EXC50_RS00255
OG0000257	E5E95_RS00270	EXC50_RS00280
OG0000258	E5E95_RS00280	EXC50_RS00290
OG0000259	E5E95_RS00310	EXC50_RS00320
OG0000260	E5E95_RS00320	EXC50_RS00330
OG0000261	E5E95_RS00330	EXC50_RS00340
OG0000262	E5E95_RS00350	EXC50_RS00360
OG0000263	E5E95_RS00360	EXC50_RS00375
OG0000264	E5E95_RS00375	EXC50_RS00390
OG0000265	E5E95_RS00385	EXC50_RS00400
OG0000266	E5E95_RS00400	EXC50_RS00420
OG0000267	E5E95_RS00415	EXC50_RS00435
OG0000268	E5E95_RS00420	EXC50_RS03665
OG0000269	E5E95_RS00435	EXC50_RS03650
OG0000270	E5E95_RS03710	EXC50_RS02335
OG0000271	E5E95_RS03705	EXC50_RS02330
OG0000272	E5E95_RS03700	EXC50_RS02325
OG0000273	E5E95_RS03695	EXC50_RS02320
OG0000274	E5E95_RS03675	EXC50_RS02300
OG0000275	E5E95_RS03670	EXC50_RS02295
OG0000276	E5E95_RS03665	EXC50_RS02290
OG0000277	E5E95_RS03655	EXC50_RS02280
OG0000278	E5E95_RS03650	EXC50_RS02275
OG0000279	E5E95_RS03640	EXC50_RS02265
OG0000280	E5E95_RS03635	EXC50_RS02260
OG0000281	E5E95_RS03630	EXC50_RS02255
OG0000282	E5E95_RS03605	EXC50_RS02230
OG0000283	E5E95_RS03600	EXC50_RS02225
OG0000284	E5E95_RS03595	EXC50_RS02220
OG0000285	E5E95_RS03590	EXC50_RS02215
OG0000286	E5E95_RS04305	EXC50_RS01270
OG0000287	E5E95_RS02720	EXC50_RS01365
OG0000288	E5E95_RS02730	EXC50_RS01375
OG0000289	E5E95_RS02735	EXC50_RS01380
OG0000290	E5E95_RS02845	EXC50_RS01490
OG0000291	E5E95_RS02835	EXC50_RS01480
OG0000292	E5E95_RS02830	EXC50_RS01475
OG0000293	E5E95_RS02825	EXC50_RS01470
OG0000294	E5E95_RS02815	EXC50_RS01460
OG0000295	E5E95_RS02810	EXC50_RS01455
OG0000296	E5E95_RS02770	EXC50_RS01415
OG0000297	E5E95_RS02765	EXC50_RS01410
OG0000298	E5E95_RS00165	EXC50_RS00175
OG0000299	E5E95_RS00190	EXC50_RS00200
OG0000300	E5E95_RS00370	EXC50_RS00385
OG0000301	E5E95_RS00405	EXC50_RS00425
OG0000302	E5E95_RS00410	EXC50_RS00430
OG0000303	E5E95_RS00560	EXC50_RS03525
