Orthogroup	MHP_ES2_genes	MHP_NCTC10127_genes
OG0000496	E5E95_RS03025	EXC50_RS01665
OG0000497	E5E95_RS03020	EXC50_RS01660
OG0000500	E5E95_RS02045	EXC50_RS00875
OG0000501	E5E95_RS04280, E5E95_RS04275	EXC50_RS01905
OG0000502	E5E95_RS01220	EXC50_RS02885
OG0000503	E5E95_RS00760	EXC50_RS03325
OG0000504	E5E95_RS00895	EXC50_RS03190
OG0000506	E5E95_RS00960	EXC50_RS03145
OG0000508	E5E95_RS00250	EXC50_RS00260
OG0000509	E5E95_RS00285	EXC50_RS00295
OG0000510	E5E95_RS00295	EXC50_RS00305
OG0000511	E5E95_RS00430	EXC50_RS03655
OG0000512	E5E95_RS02755	EXC50_RS01400
OG0000513	E5E95_RS03645	EXC50_RS02270
OG0000514	E5E95_RS03060	EXC50_RS01700
OG0000516	E5E95_RS02130	EXC50_RS00955
OG0000517	E5E95_RS00065	EXC50_RS00065
OG0000518	E5E95_RS03315	EXC50_RS01945
OG0000519	E5E95_RS00785	EXC50_RS03300
OG0000520	E5E95_RS00910	EXC50_RS03175
OG0000521	E5E95_RS00265	EXC50_RS00275
OG0000522	E5E95_RS00300	EXC50_RS00310
OG0000523	E5E95_RS03580	EXC50_RS02205
OG0000525	E5E95_RS03545	EXC50_RS02170
OG0000526	E5E95_RS04020	EXC50_RS04005
OG0000527	E5E95_RS01880	EXC50_RS00720
OG0000528	E5E95_RS02135	EXC50_RS00960
OG0000529	E5E95_RS02355	EXC50_RS01090
OG0000531	E5E95_RS01415	EXC50_RS02690
OG0000532	E5E95_RS01740	EXC50_RS00575
OG0000533	E5E95_RS00600	EXC50_RS03490
OG0000534	E5E95_RS00380	EXC50_RS00395
OG0000535	E5E95_RS00045	EXC50_RS00045
OG0000536	E5E95_RS03765	EXC50_RS02385
OG0000537	E5E95_RS00725	EXC50_RS03360
OG0000538	E5E95_RS01140	EXC50_RS02965
OG0000539	E5E95_RS00210	EXC50_RS00220
OG0000540	E5E95_RS02840	EXC50_RS01485
OG0000541	E5E95_RS02920	EXC50_RS01560
OG0000543	E5E95_RS02460	EXC50_RS00505, EXC50_RS03730
OG0000544	E5E95_RS01270	EXC50_RS02835
OG0000545	E5E95_RS01945	EXC50_RS00770
OG0000546	E5E95_RS02990	EXC50_RS01630
OG0000547	E5E95_RS03110	EXC50_RS01750
OG0000548	E5E95_RS01615	EXC50_RS00535
OG0000549	E5E95_RS03535	EXC50_RS02160
OG0000550	E5E95_RS03680	EXC50_RS02305
OG0000553	E5E95_RS02890	EXC50_RS01530
OG0000554	E5E95_RS02600	EXC50_RS01245
OG0000555	E5E95_RS04170	EXC50_RS04055
OG0000556	E5E95_RS02515	EXC50_RS03790, EXC50_RS03775
OG0000557	E5E95_RS01280	EXC50_RS02825
OG0000558	E5E95_RS01250	EXC50_RS02855
OG0000559	E5E95_RS01810	EXC50_RS00655
OG0000560	E5E95_RS01930	EXC50_RS00760
OG0000561	E5E95_RS01125	EXC50_RS02980
OG0000562	E5E95_RS01935	EXC50_RS00765
OG0000563	E5E95_RS01920	EXC50_RS00750
OG0000564	E5E95_RS03980	EXC50_RS04095
OG0000565	E5E95_RS01985	EXC50_RS00810
OG0000566	E5E95_RS01975	EXC50_RS00800
OG0000567	E5E95_RS01950	EXC50_RS00775
OG0000568	E5E95_RS00685	EXC50_RS03400
OG0000569	E5E95_RS01255	EXC50_RS02850
OG0000570	E5E95_RS01260	EXC50_RS02845
OG0000571	E5E95_RS01265	EXC50_RS02840
OG0000572	E5E95_RS01285	EXC50_RS02820
OG0000573	E5E95_RS01805	EXC50_RS00650
OG0000574	E5E95_RS01325	EXC50_RS02780
OG0000575	E5E95_RS01240	EXC50_RS02865
OG0000576	E5E95_RS01765	EXC50_RS00610
OG0000577	E5E95_RS02860	EXC50_RS01505
OG0000578	E5E95_RS02885	EXC50_RS01525
OG0000579	E5E95_RS01900	EXC50_RS00740
OG0000580	E5E95_RS04160	EXC50_RS04050
OG0000581	E5E95_RS01885	EXC50_RS00725
OG0000582	E5E95_RS03970	EXC50_RS04100
OG0000583	E5E95_RS01795	EXC50_RS00640
OG0000584	E5E95_RS02485, E5E95_RS01705	EXC50_RS03755
OG0000586	E5E95_RS01780	EXC50_RS00625
OG0000587	E5E95_RS04030	EXC50_RS03910
OG0000588	E5E95_RS01755	EXC50_RS00600
OG0000590	E5E95_RS04210, E5E95_RS01715, E5E95_RS02475	EXC50_RS03745
OG0000591	E5E95_RS04205	EXC50_RS03890
OG0000592	E5E95_RS02850	EXC50_RS01495
OG0000593	E5E95_RS03745	EXC50_RS02370
OG0000594	E5E95_RS01245	EXC50_RS02860
OG0000598	E5E95_RS01850	EXC50_RS00690
OG0000599	E5E95_RS01855	EXC50_RS00695
OG0000600	E5E95_RS02490	EXC50_RS02480
OG0000601	E5E95_RS01925	EXC50_RS00755
OG0000602	E5E95_RS02155	EXC50_RS00980
OG0000603	E5E95_RS02495	EXC50_RS03765
OG0000604	E5E95_RS04220	EXC50_RS04240
OG0000605	E5E95_RS02500	EXC50_RS02495, EXC50_RS02490, EXC50_RS03770
OG0000606	E5E95_RS01890	EXC50_RS00730
OG0000607	E5E95_RS03855	EXC50_RS04105
OG0000608	E5E95_RS01940	EXC50_RS04000
OG0000609	E5E95_RS03860	EXC50_RS03905
OG0000610	E5E95_RS04190	EXC50_RS04245
OG0000612	E5E95_RS04010	EXC50_RS03995
OG0000615	E5E95_RS02895	EXC50_RS01535
OG0000618	E5E95_RS03500	EXC50_RS02125
OG0000619	E5E95_RS01895	EXC50_RS00735
OG0000620	E5E95_RS04025	EXC50_RS03885
