Orthogroup	MHP_154B_genes	MHP_112B_genes
OG0000120	NB624_RS01350	NBX26_RS01485
OG0000121	NB624_RS01375	NBX26_RS01515
OG0000122	NB624_RS01380	NBX26_RS01520
OG0000123	NB624_RS01400	NBX26_RS01540
OG0000124	NB624_RS01405	NBX26_RS01545
OG0000125	NB624_RS01410	NBX26_RS01550
OG0000126	NB624_RS01420	NBX26_RS01560
OG0000127	NB624_RS01430	NBX26_RS01570
OG0000128	NB624_RS01445	NBX26_RS01585
OG0000129	NB624_RS01450	NBX26_RS01590
OG0000130	NB624_RS01460	NBX26_RS01600
OG0000131	NB624_RS01490	NBX26_RS01630
OG0000132	NB624_RS01505	NBX26_RS01645
OG0000133	NB624_RS00525	NBX26_RS00530
OG0000134	NB624_RS00530	NBX26_RS00535
OG0000135	NB624_RS00545	NBX26_RS00550
OG0000136	NB624_RS00550	NBX26_RS00555
OG0000137	NB624_RS00580	NBX26_RS00595
OG0000138	NB624_RS01060	NBX26_RS00620
OG0000139	NB624_RS01030	NBX26_RS00650
OG0000140	NB624_RS01025	NBX26_RS00655
OG0000141	NB624_RS03090	NBX26_RS03105
OG0000142	NB624_RS03085	NBX26_RS03100
OG0000143	NB624_RS03070	NBX26_RS03085
OG0000144	NB624_RS03055	NBX26_RS03070
OG0000145	NB624_RS03045	NBX26_RS03060
OG0000146	NB624_RS03035	NBX26_RS03050
OG0000147	NB624_RS03030	NBX26_RS03045
OG0000148	NB624_RS03015	NBX26_RS03030
OG0000149	NB624_RS03005	NBX26_RS03020
OG0000150	NB624_RS02990	NBX26_RS03005
OG0000151	NB624_RS02945	NBX26_RS02955
OG0000152	NB624_RS02940	NBX26_RS02950
OG0000153	NB624_RS02935	NBX26_RS02945
OG0000154	NB624_RS02925	NBX26_RS02935
OG0000155	NB624_RS02885	NBX26_RS02895
OG0000156	NB624_RS02880	NBX26_RS02890
OG0000157	NB624_RS02870	NBX26_RS02880
OG0000158	NB624_RS02860	NBX26_RS02870
OG0000159	NB624_RS02610	NBX26_RS02625
OG0000160	NB624_RS02605	NBX26_RS02620
OG0000161	NB624_RS02600	NBX26_RS02615
OG0000162	NB624_RS02590	NBX26_RS02605
OG0000163	NB624_RS02585	NBX26_RS02600
OG0000164	NB624_RS01600	NBX26_RS01730
OG0000165	NB624_RS01945	NBX26_RS02160
OG0000166	NB624_RS01965	NBX26_RS02140
OG0000167	NB624_RS01980	NBX26_RS02125
OG0000168	NB624_RS01985	NBX26_RS02120
OG0000169	NB624_RS03205	NBX26_RS03215
OG0000170	NB624_RS03220	NBX26_RS03230
OG0000171	NB624_RS03230	NBX26_RS03240
OG0000172	NB624_RS03235	NBX26_RS03245
OG0000173	NB624_RS03240	NBX26_RS03250
OG0000174	NB624_RS03245	NBX26_RS03255
OG0000175	NB624_RS03265	NBX26_RS03270
OG0000176	NB624_RS03315	NBX26_RS03330
OG0000177	NB624_RS03320	NBX26_RS03335
OG0000178	NB624_RS03325	NBX26_RS03340
OG0000179	NB624_RS03335	NBX26_RS03350
OG0000180	NB624_RS03340	NBX26_RS03355
OG0000181	NB624_RS03380	NBX26_RS03395
OG0000182	NB624_RS03390	NBX26_RS03405
OG0000183	NB624_RS03425	NBX26_RS03440
OG0000184	NB624_RS03470	NBX26_RS03495
OG0000185	NB624_RS03455	NBX26_RS03480
OG0000186	NB624_RS01515	NBX26_RS01655
OG0000187	NB624_RS01530	NBX26_RS01670
OG0000188	NB624_RS01540	NBX26_RS01680
OG0000189	NB624_RS02440	NBX26_RS02455
OG0000190	NB624_RS02435	NBX26_RS02450
OG0000191	NB624_RS02410	NBX26_RS02425
OG0000192	NB624_RS01205	NBX26_RS01345
OG0000193	NB624_RS01195	NBX26_RS01330
OG0000194	NB624_RS00990	NBX26_RS00695
OG0000195	NB624_RS00985	NBX26_RS00700
OG0000196	NB624_RS00960	NBX26_RS00725
OG0000197	NB624_RS00955	NBX26_RS00735
OG0000198	NB624_RS00940	NBX26_RS00745
OG0000199	NB624_RS00935	NBX26_RS00750
OG0000200	NB624_RS00920	NBX26_RS00765
OG0000201	NB624_RS00910	NBX26_RS00775
OG0000202	NB624_RS00855	NBX26_RS00830
OG0000203	NB624_RS00850	NBX26_RS00835
OG0000204	NB624_RS00845	NBX26_RS00840
OG0000205	NB624_RS00840	NBX26_RS00845
OG0000206	NB624_RS00820	NBX26_RS00865
OG0000207	NB624_RS00805	NBX26_RS00880
OG0000208	NB624_RS00800	NBX26_RS00885
OG0000209	NB624_RS00795	NBX26_RS00890
OG0000210	NB624_RS00750	NBX26_RS00935
OG0000211	NB624_RS00740	NBX26_RS01080
OG0000212	NB624_RS00730	NBX26_RS01085
OG0000213	NB624_RS00725	NBX26_RS01090
OG0000214	NB624_RS00720	NBX26_RS01095
OG0000215	NB624_RS00715	NBX26_RS01100
OG0000216	NB624_RS00710	NBX26_RS01105
OG0000217	NB624_RS00705	NBX26_RS01110
OG0000218	NB624_RS00695	NBX26_RS01120
OG0000219	NB624_RS00690	NBX26_RS01125
OG0000220	NB624_RS00685	NBX26_RS01130
OG0000221	NB624_RS00680	NBX26_RS01135
OG0000222	NB624_RS00675	NBX26_RS01140
OG0000223	NB624_RS00670	NBX26_RS01145
