Orthogroup	MHP_154B_genes	MHP_112B_genes
OG0000540	NB624_RS02810, NB624_RS02805	NBX26_RS02805
OG0000543	NB624_RS02075	NBX26_RS01930
OG0000544	NB624_RS01240	NBX26_RS01380
OG0000545	NB624_RS01820	NBX26_RS02280
OG0000546	NB624_RS02950	NBX26_RS02960
OG0000551	NB624_RS03140	NBX26_RS03155
OG0000552	NB624_RS03305	NBX26_RS03320
OG0000553	NB624_RS02855	NBX26_RS02865
OG0000554	NB624_RS02535	NBX26_RS02545
OG0000555	NB624_RS03075	NBX26_RS03090
OG0000556	NB624_RS02120	NBX26_RS01975
OG0000557	NB624_RS01255	NBX26_RS01390
OG0000558	NB624_RS01220	NBX26_RS01360
OG0000559	NB624_RS01700	NBX26_RS01830
OG0000560	NB624_RS01810	NBX26_RS02300
OG0000561	NB624_RS01110	NBX26_RS01245
OG0000562	NB624_RS01815	NBX26_RS02290
OG0000563	NB624_RS01805	NBX26_RS02305
OG0000564	NB624_RS01280	NBX26_RS01410
OG0000565	NB624_RS01880	NBX26_RS02225
OG0000566	NB624_RS01860	NBX26_RS02245
OG0000567	NB624_RS01825	NBX26_RS02275
OG0000568	NB624_RS00995	NBX26_RS00690
OG0000569	NB624_RS01225	NBX26_RS01365
OG0000570	NB624_RS01230	NBX26_RS01370
OG0000571	NB624_RS01235	NBX26_RS01375
OG0000572	NB624_RS01260	NBX26_RS01395
OG0000573	NB624_RS01695	NBX26_RS01825
OG0000574	NB624_RS01300	NBX26_RS01430
OG0000575	NB624_RS01210	NBX26_RS01355
OG0000577	NB624_RS02830	NBX26_RS02830
OG0000578	NB624_RS02850	NBX26_RS02860
OG0000579	NB624_RS01790	NBX26_RS02315
OG0000580	NB624_RS02955	NBX26_RS02965
OG0000581	NB624_RS01775	NBX26_RS02320
OG0000582	NB624_RS01250	NBX26_RS01385
OG0000583	NB624_RS01685	NBX26_RS01815
OG0000584	NB624_RS02100	NBX26_RS01955
OG0000585	NB624_RS02345	NBX26_RS02360
OG0000586	NB624_RS01670	NBX26_RS01800
OG0000587	NB624_RS01885	NBX26_RS02220
OG0000588	NB624_RS01650	NBX26_RS01770
OG0000589	NB624_RS02255	NBX26_RS01005
OG0000590	NB624_RS02090	NBX26_RS01945
OG0000591	NB624_RS01900	NBX26_RS02205
OG0000592	NB624_RS02820	NBX26_RS02820
OG0000595	NB624_RS03165	NBX26_RS03175
OG0000597	NB624_RS03160	NBX26_RS03170
OG0000600	NB624_RS02105	NBX26_RS01960
OG0000602	NB624_RS02045	NBX26_RS02060
OG0000603	NB624_RS02110	NBX26_RS01965
OG0000605	NB624_RS02115	NBX26_RS01970
OG0000609	NB624_RS01840	NBX26_RS02260
OG0000610	NB624_RS01005	NBX26_RS00675
OG0000611	NB624_RS00095	NBX26_RS00100
OG0000614	NB624_RS02270	NBX26_RS00970
OG0000616	NB624_RS02125	NBX26_RS01980
OG0000617	NB624_RS01655	NBX26_RS01785
OG0000622	NB624_RS02320	NBX26_RS00955
OG0000624	NB624_RS03310	NBX26_RS03325
OG0000644	NB624_RS03170	NBX26_RS03180
OG0000650	NB624_RS03300	NBX26_RS03315
OG0000656	NB624_RS02420	NBX26_RS02435
OG0000657	NB624_RS02555	NBX26_RS02565
OG0000670	NB624_RS02165	NBX26_RS02035
